ping_time,target_hostname,target_label,sent,rcvd,loss_pct,rtt_min,rtt_avg,rtt_max,measurement_id
2026-06-10T10:36:46+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.314704,40.62569266666667,40.927961,178955540
2026-06-10T10:37:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.258241,40.59861933333334,40.938544,178955540
2026-06-10T10:38:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.539307,40.578483999999996,40.639076,178955540
2026-06-10T10:39:39+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.629155,40.696468333333335,40.812533,178955540
2026-06-10T10:40:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.491302,40.61104666666667,40.840775,178955540
2026-06-10T10:41:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,39.619232,40.296041333333335,40.698772,178955540
2026-06-10T10:42:48+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.677251,40.85348033333333,41.034084,178955540
2026-06-10T10:43:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.276733,40.62185866666667,41.136814,178955540
2026-06-10T10:44:39+00:00,dunyanews.tv,Dunya News,2,2,0.0,40.745098,40.812224,40.87935,178955540
2026-06-10T10:45:43+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.410425,40.875828000000006,41.146813,178955540
2026-06-10T10:46:40+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.515154,40.68501033333333,40.809262,178955540
2026-06-10T10:47:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.562439,40.69647799999999,40.89311,178955540
2026-06-10T10:48:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.619964,40.73496166666667,40.849026,178955540
2026-06-10T10:49:40+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.520435,40.70434566666666,40.861827,178955540
2026-06-10T10:50:50+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.371616,40.53955166666667,40.786135,178955540
2026-06-10T10:51:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.857822,40.929562,41.017117,178955540
2026-06-10T10:52:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.480347,40.62387966666667,40.898305,178955540
2026-06-10T10:53:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.570995,41.86471600000001,44.095965,178955540
2026-06-10T10:54:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,41.174412,41.302583,41.466998,178955540
2026-06-10T10:55:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.219415,40.64966866666666,40.979246,178955540
2026-06-10T10:56:37+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.503203,40.727836999999994,40.866837,178955540
2026-06-10T10:57:50+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.662738,40.815365,40.930602,178955540
2026-06-10T10:58:50+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.302045,40.62060833333333,40.799852,178955540
2026-06-10T10:59:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.726645,40.90759499999999,41.030033,178955540
2026-06-10T11:00:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.485104,40.71264433333334,41.112121,178955540
2026-06-10T11:01:38+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.627197,40.782731000000005,40.892421,178955540
2026-06-10T11:02:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,39.749196,40.150939666666666,40.917464,178955540
2026-06-10T11:03:40+00:00,dunyanews.tv,Dunya News,3,3,0.0,39.990814,40.523529,40.873054,178955540
2026-06-10T11:04:40+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.756084,40.93063333333333,41.236848,178955540
2026-06-10T11:05:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.502621,40.71525433333333,40.901618,178955540
2026-06-10T11:06:49+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.467018,40.61297833333333,40.828732,178955540
2026-06-10T11:07:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.387085,40.56816833333333,40.777841,178955540
2026-06-10T11:08:50+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.584704,40.646283,40.682953,178955540
2026-06-10T11:09:40+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.620467,40.783201999999996,41.015223,178955540
2026-06-10T11:10:43+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.32628,40.433436666666665,40.513818,178955540
2026-06-10T11:11:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.673349,40.74079566666666,40.839525,178955540
2026-06-10T11:12:49+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.57006,41.33317066666667,42.574325,178955540
2026-06-10T11:13:40+00:00,dunyanews.tv,Dunya News,3,2,33.3,40.535578,40.569541,40.603504,178955540
2026-06-10T11:14:39+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.651748,41.52708233333333,43.186382,178955540
2026-06-10T11:15:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.632707,40.80426933333334,41.087629,178955540
2026-06-10T11:16:41+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.449563,40.65571533333333,40.817277,178955540
2026-06-10T11:17:38+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.52085,40.600484,40.668624,178955540
2026-06-10T11:18:46+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.704868,40.84640033333333,41.043298,178955540
2026-06-10T11:19:46+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.160098,40.51895733333333,40.808397,178955540
2026-06-10T11:20:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.67207,40.78184033333333,40.979139,178955540
2026-06-10T11:21:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.586485,40.76223466666667,40.898834,178955540
2026-06-10T11:22:48+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.276536,40.498263333333334,40.659052,178955540
2026-06-10T11:23:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.358383,40.699108333333335,41.029246,178955540
2026-06-10T11:24:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.547447,40.637668999999995,40.698101,178955540
2026-06-10T11:25:43+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.58417,40.68415266666667,40.791309,178955540
2026-06-10T11:26:42+00:00,dunyanews.tv,Dunya News,2,2,0.0,40.345908,40.540366500000005,40.734825,178955540
2026-06-10T11:27:49+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.017718,40.39111233333333,40.604972,178955540
2026-06-10T11:28:39+00:00,dunyanews.tv,Dunya News,3,2,33.3,40.391353,40.568449,40.745545,178955540
2026-06-10T11:29:48+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.639594,40.852707,41.263652,178955540
2026-06-10T11:30:39+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.210755,40.54091866666666,40.735763,178955540
2026-06-10T11:31:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.636954,40.738109666666666,40.858334,178955540
2026-06-10T11:32:50+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.327245,40.572548000000005,40.725202,178955540
2026-06-10T11:33:39+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.69351,40.79778666666667,40.874407,178955540
2026-06-10T11:34:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.484531,40.77653133333333,41.063865,178955540
2026-06-10T11:35:49+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.244829,40.57037866666667,40.870246,178955540
2026-06-10T11:36:44+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.621743,42.06022266666667,44.719641,178955540
2026-06-10T11:37:47+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.785198,40.96441466666667,41.183395,178955540
2026-06-10T11:38:44+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.674788,40.72721966666666,40.813521,178955540
2026-06-10T11:39:51+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.176662,40.50119866666667,40.703831,178955540
2026-06-10T11:40:43+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.570539,40.898728999999996,41.086026,178955540
2026-06-10T11:41:37+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.246508,40.83400266666666,41.902662,178955540
2026-06-10T11:42:46+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.403167,40.612812999999996,40.791043,178955540
2026-06-10T11:43:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.728237,41.417340333333335,42.767705,178955540
2026-06-10T11:44:42+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.447571,40.68641933333333,40.907693,178955540
2026-06-10T11:45:45+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.557581,40.714742,40.802003,178955540
2026-06-10T11:46:44+00:00,dunyanews.tv,Dunya News,3,3,0.0,40.424772,40.53078166666666,40.720479,178955540
2026-06-10T11:47:49+00:00,dunyanews.tv,Dunya News,2,2,0.0,40.431653,40.615629999999996,40.799607,178955540
