target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,trace_time,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,1,192.168.18.1,0.905,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,2,100.89.32.1,2.706,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,3,172.27.0.29,2.353,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,4,172.27.0.22,2.503,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,5,172.31.5.170,2.932,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,6,110.93.202.134,22.558,,110.93.192.0/18,PK,TWA,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,7,110.93.252.84,22.412,,110.93.192.0/18,PK,TWA,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,8,110.93.252.201,39.783,,110.93.192.0/18,PK,TWA,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,9,110.93.197.229,39.718,38193,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,10,202.142.160.201,40.149,9260,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,11,125.209.73.226,40.723,9260,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:30:38+00:00,12,202.142.167.148,40.676,9260,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,1,192.168.18.1,1.078,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,2,100.89.32.1,2.521,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,3,172.27.0.29,2.942,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,4,172.27.0.22,2.528,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,5,172.31.5.170,2.773,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
dunyanews.tv,Dunya News,news,60223,23674,Islamabad,2026-06-10T10:45:44+00:00,6,110.93.202.134,22.365,,110.93.192.0/18,PK,TWA,False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,178952544
