hostname,exp,exp_category,category,host,where,asn
ntc.net.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
ntdc.gov.pk,1.4,gov/edu/utility,Pakistan,PKTELECOM-AS-PK,"Islamabad, PK",AS17557
nu.edu.pk,1.4,gov/edu/utility,Pakistan,COMSATS,"Islamabad, PK",AS7590
ogdcl.com,1.4,gov/edu/utility,Pakistan,COMSATS,"Islamabad, PK",AS7590
paec.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
pap.gov.pk,1.4,gov/edu/utility,Pakistan,PITB-PUNJAB-PK,"Lahore, PK",AS59323
parco.com.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-APII,"Karachi, PK",AS24440
pcsir.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
pcsw.punjab.gov.pk,1.4,gov/edu/utility,Pakistan,PITB-PUNJAB-PK,"Lahore, PK",AS59323
pdma.gop.pk,1.4,gov/edu/utility,Pakistan,PITB-PUNJAB-PK,"Lahore, PK",AS59323
pemra.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
petroleum.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
phc.org.pk,1.4,gov/edu/utility,Pakistan,NEXLINX-AS-AP,"Lahore, PK",AS17563
pims.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
pitb.gov.pk,1.4,gov/edu/utility,Pakistan,PITB-PUNJAB-PK,"Lahore, PK",AS59323
pmc.edu.pk,1.4,gov/edu/utility,Pakistan,COMSATS,"Islamabad, PK",AS7590
pmo.gov.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
ppaf.org.pk,1.4,gov/edu/utility,Pakistan,NAYATEL-PK,"Islamabad, PK",AS23674
ppra.gov.pk,1.4,gov/edu/utility,Pakistan,PKTELECOM-AS-PK,"Islamabad, PK",AS17557
