prefix,total_paths,pk_paths,pk_asns
124.29.244.0/24,356,0,
153.117.48.0/24,341,0,
2400:adc0:30::/48,330,0,
2400:addd:2000::/40,338,0,
2400:adc0:20::/48,329,0,
124.29.226.0/24,387,128,PTCL
2400:adc0:110::/48,329,0,
203.101.191.0/24,372,0,
2400:adce:5000::/40,366,366,PTCL
153.117.114.0/24,340,0,
36.255.34.0/24,366,0,
103.213.110.0/24,329,0,
58.65.212.0/24,349,0,
2400:adc0:4014::/48,330,0,
137.59.224.0/24,363,307,PTCL
175.107.213.0/24,353,0,
124.29.222.0/24,389,372,PTCL
2400:adc5:480::/42,332,0,
2400:adc0:21::/48,329,0,
124.29.247.0/24,354,0,
2400:adc1:100::/40,338,0,
101.53.242.0/24,367,0,
124.29.232.0/24,354,0,
175.107.252.0/24,327,0,
72.255.25.0/24,348,348,PTCL
202.163.125.0/24,372,0,
2400:adc0:4004::/48,330,0,
2400:addf:1100::/40,338,0,
2400:adc0:4002::/48,330,0,
202.47.43.0/24,353,0,
153.117.120.0/24,342,0,
202.47.48.0/21,346,3,PTCL
153.117.57.0/24,341,0,
203.101.169.0/24,372,0,
2400:adc5:100::/42,332,0,
2400:adc4:900::/40,348,0,
153.117.33.0/24,342,0,
202.47.44.0/22,346,3,PTCL
59.103.100.0/24,354,0,
2400:adc7:2900::/40,337,0,
61.5.144.0/24,373,0,
139.135.35.0/24,365,1,PTCL
2400:adc7:4800::/40,338,0,
206.135.172.0/24,42,2,PTCL
103.178.52.0/24,350,214,PTCL
139.135.59.0/24,365,97,PTCL
2400:adc0:4103::/48,329,0,
61.5.158.0/24,360,0,
202.163.86.0/24,368,0,
202.163.109.0/24,374,48,PTCL
2400:addf:1000::/40,338,0,
137.59.230.0/24,363,307,PTCL
203.101.186.0/24,352,0,
175.107.223.0/24,360,80,PTCL
175.107.207.0/24,340,0,
103.7.61.0/24,364,75,PTCL
2400:adc0:4901::/48,330,0,
202.47.49.0/24,366,0,
59.103.125.0/24,361,77,PTCL
153.117.118.0/24,341,0,
153.117.39.0/24,334,24,PTCL
72.255.57.0/24,328,0,
2400:adc0:4202::/48,330,0,
101.53.248.0/24,343,0,
103.245.195.0/24,378,0,
2400:adc5:100::/40,352,0,
68.165.108.0/24,56,16,PTCL
61.5.150.0/24,367,0,
2400:adc3:100::/40,348,0,
2400:addd:4900::/40,338,0,
103.150.105.0/24,344,344,PTCL
203.101.179.0/24,396,73,PTCL
2400:adcc:100::/40,338,0,
2400:addb:900::/40,348,0,
58.65.215.0/24,368,0,
2400:adc0:4211::/48,330,0,
153.117.20.0/24,342,0,
175.107.230.0/24,353,0,
124.29.253.0/24,342,0,
61.5.138.0/24,385,385,PTCL
58.65.194.0/24,367,0,
124.29.197.0/24,373,0,
202.163.73.0/24,349,3,PTCL
175.107.204.0/23,56,56,PTCL
144.48.133.0/24,349,0,
175.107.216.0/24,353,0,
124.29.209.0/24,367,0,
153.117.11.0/24,342,0,
209.101.25.0/24,42,0,
58.65.206.0/24,331,0,
58.65.222.0/24,348,348,PTCL
202.163.80.0/24,394,93,PTCL
2400:adc0:130::/48,329,0,
192.140.148.0/24,340,0,
2400:adc2::/40,371,371,PTCL
206.135.188.0/24,42,0,
124.29.224.0/24,389,372,PTCL
59.103.105.0/24,389,372,PTCL
72.255.44.0/24,362,313,PTCL
36.255.47.0/24,353,0,
2400:adc0:13::/48,330,0,
103.18.10.0/24,353,0,
72.255.38.0/24,366,0,
2400:adc3:800::/40,348,0,
72.255.49.0/24,349,0,
2400:adc0:200::/48,346,0,
72.255.61.0/24,354,0,
72.255.37.0/24,354,0,
103.245.134.0/24,348,0,
2400:add1::/40,371,300,PTCL
2400:adcc:2100::/40,338,0,
103.31.107.0/24,367,0,
72.255.60.0/24,350,3,PTCL
202.47.62.0/24,353,0,
103.31.103.0/24,378,0,
36.255.43.0/24,348,348,PTCL
2400:adc5:80::/42,332,0,
124.29.215.0/24,389,147,PTCL
2400:adc9:e000::/40,370,209,PTCL
2400:adc7:1100::/40,363,363,PTCL
72.255.21.0/24,371,72,PTCL
2400:adc7:4000::/40,366,366,PTCL
2400:adc0:211::/48,336,0,
36.255.46.0/24,362,307,PTCL
2400:addc::/40,366,366,PTCL
202.47.58.0/24,353,0,
72.255.34.0/24,366,0,
72.255.63.0/24,378,0,
202.47.52.0/24,366,0,
2400:adcc:1000::/40,338,0,
2400:adc0:4::/48,329,0,
124.29.212.0/24,354,0,
2400:adc0:7::/48,329,0,
124.29.213.0/24,378,0,
2400:adc0:8::/48,329,0,
103.209.126.0/24,354,0,
144.48.128.0/21,349,349,PTCL
144.48.123.0/24,368,0,
206.135.176.0/24,42,2,PTCL
2400:adde:100::/40,370,370,PTCL
72.255.7.0/24,365,1,PTCL
175.107.200.0/22,355,0,
61.5.159.0/24,367,0,
103.244.176.0/24,354,0,
103.7.62.0/24,380,28,PTCL
202.47.41.0/24,353,0,
72.255.23.0/24,341,0,
2400:adc0:c103::/48,335,0,
2400:adc0:4610::/48,329,0,
68.166.187.0/24,42,2,PTCL
202.163.75.0/24,388,150,PTCL
137.59.228.0/24,354,6,PTCL
2400:adc0:c130::/48,335,0,
202.163.81.0/24,340,0,
103.26.86.0/24,364,241,PTCL
202.163.115.0/24,327,0,
36.255.32.0/24,352,0,
175.107.217.0/24,354,0,
2400:adc9:c000::/48,364,364,PTCL
124.29.226.0/23,351,0,
144.48.134.0/24,354,0,
202.163.126.0/24,347,347,PTCL
72.255.2.0/24,346,0,
153.117.22.0/24,342,0,
202.163.70.0/24,368,0,
2400:adc0:32::/48,330,0,
72.255.20.0/24,351,351,PTCL
153.117.1.0/24,341,0,
2400:adc0:4101::/48,334,0,
2400:adc7:3800::/40,366,366,PTCL
59.103.96.0/24,351,351,PTCL
144.48.128.0/24,354,0,
58.65.216.0/24,367,0,
153.117.21.0/24,342,0,
202.163.111.0/24,354,0,
153.117.7.0/24,342,0,
61.5.148.0/24,387,221,PTCL
2400:add9:300::/40,338,0,
2400:adc0:c010::/48,350,0,
124.29.243.0/24,394,216,PTCL
2400:adc0:4300::/48,330,0,
202.47.32.0/24,342,0,
175.107.240.0/24,371,134,PTCL
192.140.150.0/24,340,0,
101.53.231.0/24,394,159,PTCL
72.255.14.0/24,350,226,PTCL
203.101.165.0/24,353,0,
202.163.74.0/24,377,0,
202.47.32.0/21,346,3,PTCL
2400:adc0:4811::/48,364,364,PTCL
66.167.147.0/24,8,8,PTCL
124.29.219.0/24,369,0,
202.163.104.0/24,372,0,
2400:adc5:1c0::/42,332,0,
2400:adc0:9::/48,329,0,
2400:adc0:4900::/48,335,0,
124.29.214.0/24,353,101,PTCL
2400:adc0:4041::/48,329,0,
203.101.174.0/24,372,0,
203.101.181.0/24,366,0,
124.29.242.0/24,398,104,PTCL
2400:adc0:102::/48,329,0,
124.29.252.0/24,389,373,PTCL
72.255.39.0/24,366,0,
72.255.62.0/24,354,0,
2400:adc1::/40,338,0,
2400:adc7:5900::/40,338,0,
202.70.139.0/24,352,2,PTCL
2400:adc0:201::/48,346,0,
