prefix,total_paths,pk_paths,pk_asns
206.168.201.0/24,3,3,PTCL
59.103.110.0/24,349,0,
72.255.11.0/24,367,0,
153.117.55.0/24,342,0,
59.103.118.0/24,350,350,PTCL
2400:adc0:4710::/48,335,0,
2400:adc0:4020::/48,329,0,
103.213.109.0/24,363,91,PTCL
103.31.101.0/24,353,0,
59.103.98.0/24,385,385,PTCL
203.101.160.0/24,373,0,
2400:adc0:4301::/48,330,0,
101.53.238.0/24,389,374,PTCL
202.47.39.0/24,354,0,
59.103.115.0/24,354,0,
72.255.16.0/24,354,0,
72.255.58.0/24,354,0,
202.47.53.0/24,367,0,
72.255.55.0/24,353,140,PTCL
2400:adc0:4700::/48,335,0,
139.135.47.0/24,354,0,
2400:adc5:4c0::/42,332,0,
59.103.106.0/24,363,319,PTCL
101.53.252.0/24,360,0,
124.29.206.0/24,375,47,PTCL
153.117.45.0/24,342,0,
124.29.210.0/24,328,0,
2400:adc0:5::/48,329,0,
103.31.104.0/24,372,58,PTCL
103.31.94.0/24,348,0,
72.255.54.0/24,341,0,
202.47.55.0/24,367,0,
124.29.233.0/24,398,103,PTCL
103.245.132.0/24,353,0,
124.29.194.0/24,348,348,PTCL
124.29.198.0/24,373,0,
103.31.106.0/24,373,0,
2400:adc5:440::/42,332,0,
2400:adda::/32,375,375,PTCL
61.5.151.0/24,341,0,
72.255.42.0/24,342,0,
59.103.108.0/24,354,0,
2400:adc0:c210::/48,334,0,
124.29.230.0/24,354,0,
36.255.44.0/24,353,0,
2400:adc0:4011::/48,347,0,
2400:adc0:4600::/48,330,0,
101.53.254.0/24,370,0,
153.117.119.0/24,342,0,
124.29.207.0/24,376,0,
124.29.195.0/24,373,0,
202.163.98.0/24,364,0,
202.163.101.0/24,378,0,
2400:adc0:c211::/48,334,0,
153.117.121.0/24,338,0,
137.59.231.0/24,354,0,
139.135.56.0/24,336,0,
2400:adc0:c110::/48,335,0,
124.29.254.0/24,351,351,PTCL
153.117.9.0/24,342,0,
153.117.116.0/24,342,0,
124.29.228.0/24,354,0,
153.117.10.0/24,342,0,
2400:adc0:40::/48,329,0,
2400:adc5:3c0::/42,332,0,
58.65.193.0/24,373,0,
2400:adc0:4210::/48,330,0,
202.163.113.0/24,366,0,
2400:adc0:111::/48,330,0,
144.48.130.0/24,343,325,PTCL
58.65.205.0/24,363,0,
2400:adc0:c510::/48,335,0,
2400:adc0:4003::/48,330,0,
68.166.185.0/24,42,2,PTCL
72.255.58.0/23,351,0,
2400:addf:3900::/40,369,208,PTCL
2400:adc5:180::/42,332,0,
72.255.0.0/24,354,0,
2400:adc0:4201::/48,330,0,
2400:adc0:4b10::/48,330,0,
2400:adcc:1900::/40,338,0,
137.59.226.0/24,370,0,
124.29.225.0/24,378,0,
206.135.165.0/24,42,2,PTCL
202.163.122.0/24,328,0,
103.18.20.0/24,367,0,
124.29.251.0/24,350,350,PTCL
202.163.121.0/24,395,93,PTCL
203.101.176.0/24,398,87,PTCL
67.102.189.0/24,3,1,PTCL
61.5.130.0/23,325,0,
175.107.220.0/24,354,0,
203.101.185.0/24,355,0,
206.135.174.0/24,56,18,PTCL
61.5.146.0/24,394,146,PTCL
2400:adc7:3900::/40,366,366,PTCL
209.101.31.0/24,42,2,PTCL
61.5.154.0/24,387,236,PTCL
103.245.192.0/24,378,0,
203.101.175.0/24,373,0,
175.107.234.0/24,341,0,
175.107.229.0/24,341,0,
72.255.48.0/24,341,0,
58.65.210.0/24,341,0,
175.107.210.0/24,341,0,
72.255.35.0/24,341,0,
175.107.209.0/24,341,0,
153.117.58.0/24,341,0,
153.117.112.0/24,363,0,
153.117.110.0/24,325,2,PTCL
153.117.60.0/24,341,0,
153.117.111.0/24,338,1,PTCL
153.117.61.0/24,342,0,
2400:adc0:c400::/48,336,0,
153.117.63.0/24,341,0,
2400:adc0:60::/48,345,0,
153.117.68.0/24,339,0,
153.117.67.0/24,0,0,
153.117.69.0/24,340,0,
153.117.66.0/24,0,0,
153.117.70.0/24,340,0,
153.117.65.0/24,0,0,
153.117.107.0/24,0,0,
153.117.108.0/24,340,3,PTCL
153.117.106.0/24,337,3,PTCL
153.117.109.0/24,340,3,PTCL
