measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
176988657,1015679,136174,Pakistan,Dawn News,news,dawn.com,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,20.933,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:12:27.579372
176988681,1015679,136174,Pakistan,Geo TV,news,geo.tv,104.16.218.243,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,22.232,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:13:06.855989
176988719,1015679,136174,Pakistan,ARY News,news,arynews.tv,172.67.72.246,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,22.556,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:13:17.058357
176988747,1015679,136174,Pakistan,Dunya News,news,dunyanews.tv,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,7,0,4.862,6327 > 38193 > 9260,CA > PK,2026-06-04T12:13:31.213514
176988779,1015679,136174,Pakistan,HamariWeb,news,hamariweb.com,104.20.40.53,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,22.334,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:13:52.926144
176988784,1015679,136174,Pakistan,Jang News,news,jang.com.pk,104.18.86.101,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,25.129,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:13:58.223911
176988785,1015679,136174,Pakistan,The News,news,thenews.com.pk,104.18.83.16,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,69.143,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:14:08.733717
176988788,1015679,136174,Pakistan,Express Tribune,news,express.com.pk,172.67.174.102,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,8,0,108.903,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:14:19.320361
176988789,1015679,136174,Pakistan,Bol News,news,bolnews.com,104.26.10.66,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,49.155,6327 > 38193 > 13335,CA > PK > US,2026-06-04T12:14:42.867822
176988805,1015210,17557,Pakistan,Dawn News,news,dawn.com,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,2,0,22.863,13335,US,2026-06-04T12:14:53.273027
176988809,1015210,17557,Pakistan,Geo TV,news,geo.tv,104.16.218.243,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,2,0,21.176,13335,US,2026-06-04T12:14:54.802620
