trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-11T13:31:23+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.7,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T13:46:34+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.789,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T14:01:21+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.834,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T14:16:29+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.817,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T14:31:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.829,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T14:46:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.957,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T15:01:25+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.659,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T15:16:31+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,5.594,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T15:31:34+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,10.053,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T15:46:26+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.552,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T16:01:34+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.757,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T16:16:24+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,25.61,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T16:31:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,26.713,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T16:46:25+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.563,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T17:01:29+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,39.267,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T17:16:34+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.483,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T17:31:26+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,23.689,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T17:46:28+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T18:01:32+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T18:16:33+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T18:31:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
