hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
zong.com.pk,Zong,telecom,60223,23674,148.72.244.140,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",2026-06-06T17:56:23.806489+00:00
zong.com.pk,Zong,telecom,62224,38193,148.72.244.140,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",2026-06-06T17:56:23.806742+00:00
zong.com.pk,Zong,telecom,7613,152605,148.72.244.140,26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",2026-06-06T17:56:23.806923+00:00
nayatel.com,Nayatel,telecom,60223,23674,124.109.50.84,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",2026-06-06T17:56:29.692571+00:00
nayatel.com,Nayatel,telecom,62224,38193,203.82.48.231,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",2026-06-06T17:56:31.940970+00:00
nayatel.com,Nayatel,telecom,7613,152605,188.166.22.60;203.82.48.231,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",2026-06-06T17:56:36.261387+00:00
stormfiber.com,StormFiber,telecom,60223,23674,203.101.172.139,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:56:40.099970+00:00
stormfiber.com,StormFiber,telecom,62224,38193,203.101.172.139,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:56:40.100223+00:00
stormfiber.com,StormFiber,telecom,7613,152605,203.101.172.139,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:56:40.100485+00:00
wateen.com,Wateen,telecom,60223,23674,91.108.117.126,47583,"AS-HOSTINGER - Hostinger International Limited, CY",2026-06-06T17:56:43.488293+00:00
wateen.com,Wateen,telecom,62224,38193,91.108.117.126,47583,"AS-HOSTINGER - Hostinger International Limited, CY",2026-06-06T17:56:43.488593+00:00
wateen.com,Wateen,telecom,7613,152605,91.108.117.126,47583,"AS-HOSTINGER - Hostinger International Limited, CY",2026-06-06T17:56:43.488822+00:00
brain.net.pk,Brain Telecom,telecom,60223,23674,5.161.30.49,213230,"HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE",2026-06-06T17:56:49.970346+00:00
brain.net.pk,Brain Telecom,telecom,62224,38193,5.161.30.49,213230,"HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE",2026-06-06T17:56:49.970672+00:00
brain.net.pk,Brain Telecom,telecom,7613,152605,5.161.30.49,213230,"HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE",2026-06-06T17:56:49.970871+00:00
nexlinx.net.pk,Nexlinx,telecom,60223,23674,202.59.80.26,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",2026-06-06T17:56:55.709804+00:00
nexlinx.net.pk,Nexlinx,telecom,62224,38193,202.59.80.26,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",2026-06-06T17:56:55.710082+00:00
nexlinx.net.pk,Nexlinx,telecom,7613,152605,202.59.80.26,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",2026-06-06T17:56:55.710281+00:00
supernet.com.pk,Supernet,telecom,60223,23674,,,,2026-06-06T17:56:56.900458+00:00
supernet.com.pk,Supernet,telecom,62224,38193,,,,2026-06-06T17:56:56.900807+00:00
supernet.com.pk,Supernet,telecom,7613,152605,,,,2026-06-06T17:56:56.901114+00:00
lums.edu.pk,LUMS,education,60223,23674,110.93.234.24;111.68.103.174;203.135.62.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",2026-06-06T17:57:02.275689+00:00
lums.edu.pk,LUMS,education,62224,38193,10.99.0.24,,,2026-06-06T17:57:04.526146+00:00
lums.edu.pk,LUMS,education,7613,152605,110.93.234.24;111.68.103.174;203.135.62.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",2026-06-06T17:57:04.526928+00:00
nust.edu.pk,NUST,education,60223,23674,104.26.2.7;104.26.3.7;172.67.68.211,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:57:08.216682+00:00
nust.edu.pk,NUST,education,62224,38193,104.26.2.7;104.26.3.7;172.67.68.211,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:57:08.217166+00:00
nust.edu.pk,NUST,education,7613,152605,104.26.2.7;104.26.3.7;172.67.68.211,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:57:08.217581+00:00
pu.edu.pk,Punjab University,education,60223,23674,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:57:11.705521+00:00
pu.edu.pk,Punjab University,education,62224,38193,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:57:11.707491+00:00
pu.edu.pk,Punjab University,education,7613,152605,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:57:11.707796+00:00
