trace_id,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout
37,1,192.168.100.1,0.327,,,,RFC1918,True,False
37,2,70.70.71.137,1.429,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
37,3,110.93.212.161,1.926,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
37,4,110.93.252.50,18.388,,110.93.192.0/18,PK,TWA,False,False
37,5,110.93.252.224,18.075,,110.93.192.0/18,PK,TWA,False,False
37,6,*,,,,,,False,True
37,7,*,,,,,,False,True
37,8,*,,,,,,False,True
37,9,*,,,,,,False,True
37,10,*,,,,,,False,True
37,255,47.246.167.168,98.437,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
118,1,192.168.100.1,0.317,,,,RFC1918,True,False
118,2,70.70.71.137,2.35,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
118,3,110.93.212.161,2.11,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
118,4,110.93.252.50,18.458,,110.93.192.0/18,PK,TWA,False,False
118,5,110.93.252.224,18.723,,110.93.192.0/18,PK,TWA,False,False
118,6,*,,,,,,False,True
118,7,198.11.129.117,94.474,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
118,8,*,,,,,,False,True
118,9,*,,,,,,False,True
118,10,*,,,,,,False,True
118,11,47.246.167.168,98.526,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
198,1,192.168.100.1,0.275,,,,RFC1918,True,False
198,2,70.70.71.137,1.435,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
198,3,110.93.212.161,2.2,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
198,4,110.93.252.50,20.931,,110.93.192.0/18,PK,TWA,False,False
198,5,110.93.252.224,20.699,,110.93.192.0/18,PK,TWA,False,False
198,6,*,,,,,,False,True
198,7,198.11.129.117,96.142,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
198,8,*,,,,,,False,True
198,9,*,,,,,,False,True
198,10,*,,,,,,False,True
198,11,47.246.167.168,100.788,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
278,1,192.168.100.1,0.317,,,,RFC1918,True,False
278,2,70.70.71.137,14.378,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
278,3,110.93.212.161,11.627,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
278,4,110.93.252.50,35.259,,110.93.192.0/18,PK,TWA,False,False
278,5,110.93.252.224,34.543,,110.93.192.0/18,PK,TWA,False,False
278,6,*,,,,,,False,True
278,7,198.11.129.117,97.145,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
278,8,*,,,,,,False,True
278,9,*,,,,,,False,True
278,10,*,,,,,,False,True
278,11,47.246.167.168,100.894,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
357,1,192.168.100.1,0.331,,,,RFC1918,True,False
357,2,70.70.71.137,4.631,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
357,3,110.93.212.161,7.663,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
357,4,110.93.252.50,22.301,,110.93.192.0/18,PK,TWA,False,False
357,5,110.93.252.224,27.468,,110.93.192.0/18,PK,TWA,False,False
357,6,*,,,,,,False,True
357,7,198.11.129.117,96.387,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
357,8,*,,,,,,False,True
357,9,*,,,,,,False,True
357,10,*,,,,,,False,True
357,11,47.246.167.168,100.717,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
439,1,192.168.100.1,0.322,,,,RFC1918,True,False
439,2,70.70.71.137,19.236,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
439,3,110.93.212.161,19.04,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
439,4,110.93.252.50,31.635,,110.93.192.0/18,PK,TWA,False,False
439,5,110.93.252.224,32.806,,110.93.192.0/18,PK,TWA,False,False
439,6,*,,,,,,False,True
439,7,*,,,,,,False,True
439,8,*,,,,,,False,True
439,9,*,,,,,,False,True
439,10,*,,,,,,False,True
439,255,47.246.167.168,101.211,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
517,1,192.168.100.1,0.344,,,,RFC1918,True,False
517,2,70.70.71.137,4.926,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
517,3,110.93.212.161,4.495,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
517,4,110.93.252.50,26.17,,110.93.192.0/18,PK,TWA,False,False
517,5,110.93.252.224,21.819,,110.93.192.0/18,PK,TWA,False,False
517,6,*,,,,,,False,True
517,7,*,,,,,,False,True
517,8,*,,,,,,False,True
517,9,*,,,,,,False,True
517,10,*,,,,,,False,True
517,255,47.246.167.168,104.308,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
599,1,192.168.100.1,0.36,,,,RFC1918,True,False
599,2,70.70.71.137,5.016,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
599,3,110.93.212.161,8.395,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
599,4,110.93.252.50,29.403,,110.93.192.0/18,PK,TWA,False,False
599,5,110.93.252.224,35.167,,110.93.192.0/18,PK,TWA,False,False
599,6,*,,,,,,False,True
599,7,198.11.129.117,106.509,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
599,8,*,,,,,,False,True
599,9,*,,,,,,False,True
599,10,*,,,,,,False,True
599,11,47.246.167.168,118.873,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
676,1,192.168.100.1,0.319,,,,RFC1918,True,False
676,2,70.70.71.137,12.338,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
676,3,110.93.212.161,13.676,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
676,4,110.93.252.50,34.419,,110.93.192.0/18,PK,TWA,False,False
676,5,110.93.252.224,37.617,,110.93.192.0/18,PK,TWA,False,False
676,6,*,,,,,,False,True
676,7,198.11.129.117,96.298,45102.0,198.11.128.0/18,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
676,8,*,,,,,,False,True
676,9,*,,,,,,False,True
676,10,*,,,,,,False,True
676,11,47.246.167.168,111.231,45102.0,47.246.160.0/21,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",False,False
759,1,192.168.100.1,0.335,,,,RFC1918,True,False
759,2,70.70.71.137,16.162,6327.0,70.68.0.0/14,CA,"SHAW - Shaw Communications, CA",False,False
