trace_id,trace_time,probe_id,site_id,probe_asn_measured,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
1,2026-06-14T14:25:33+00:00,62224,5,38193,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,180055861
2,2026-06-14T14:25:34+00:00,7613,4,152605,172.67.174.102,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,142.412,10,0,152605 > 38193 > 58453 > 13335,PK > HK > US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,180055870
3,2026-06-14T14:25:39+00:00,7764,1,17557,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,104.158,3,5,17557 > 45102,PK > US,"Singapore, North West, SG",server IP,True,180055878
4,2026-06-14T14:25:40+00:00,1016126,8,17557,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,226.0,8,0,17557 > 2914 > 30148,PK > SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,180055894
5,2026-06-14T14:25:41+00:00,60223,5,23674,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,6,6,,PK,"Islamabad, Islamabad, PK",server IP,False,180055861
6,2026-06-14T14:25:41+00:00,1015679,9,136174,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,170.877,14,0,6327 > 38193 > 174 > 6453 > 139309 > 20940,CA > PK > US > NL,"Gebze, Kocaeli, TR",handoff 64.7.118.1,True,180055898
7,2026-06-14T14:25:42+00:00,1015679,8,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,139.669,14,0,6327 > 38193 > 174 > 1299 > 20773 > 30148,CA > PK > US > SE > DE,"Cologne, North Rhine-Westphalia, DE",handoff 87.230.126.3,True,180055894
8,2026-06-14T14:25:43+00:00,7613,9,152605,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,169.045,13,0,152605 > 38193 > 174 > 6453 > 139309 > 20940,PK > US > CA > NL,"Gebze, Kocaeli, TR",handoff 64.7.118.1,True,180055898
9,2026-06-14T14:25:43+00:00,1016126,9,17557,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,242.052,13,4,17557 > 2914 > 6453 > 139309 > 20940,PK > SG > CA > US > NL,"Gebze, Kocaeli, TR",handoff 64.7.118.1,True,180055898
10,2026-06-14T14:25:48+00:00,7764,7,17557,45.60.109.176,19551,"INCAPSULA - Incapsula Inc, US",US,226.063,3,5,17557 > 19551,PK > US,"Lahore, Punjab, PK",handoff 203.135.63.1,True,180055882
11,2026-06-14T14:25:50+00:00,7764,9,17557,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,299.979,3,5,17557 > 20940,PK > NL,"Lahore, Punjab, PK",handoff 203.135.63.1,True,180055898
12,2026-06-14T14:26:03+00:00,1016036,1,9541,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,180.068,7,5,9541 > 45102,PK > US,"Singapore, North West, SG",server IP,True,180055878
13,2026-06-14T14:26:06+00:00,1015679,5,136174,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,5,6,6327 > 38193,CA > PK,"Islamabad, Islamabad, PK",server IP,False,180055861
14,2026-06-14T14:26:09+00:00,1016126,5,17557,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,6,6,17557,PK,"Islamabad, Islamabad, PK",server IP,False,180055861
15,2026-06-14T14:26:09+00:00,1016143,1,9541,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,80.703,7,5,45102,PK > US,"Singapore, North West, SG",server IP,True,180055878
16,2026-06-14T14:26:11+00:00,1015679,2,136174,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,39.533,7,0,6327 > 38193 > 13335,CA > PK > US,"Karachi, Sindh, PK",handoff 110.93.192.198,True,180055865
17,2026-06-14T14:26:13+00:00,1016126,2,17557,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,279.866,10,1,17557 > 3356 > 13335,PK > FR > GB > US,"Paris, Île-de-France, FR",handoff 213.19.217.10,True,180055865
18,2026-06-14T14:26:29+00:00,62224,6,38193,104.16.219.243,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,23.461,3,5,13335,US,,,True,180055868
19,2026-06-14T14:26:31+00:00,7764,5,17557,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,2,6,17557,PK,"Islamabad, Islamabad, PK",server IP,False,180055861
20,2026-06-14T14:26:35+00:00,60223,6,23674,104.16.219.243,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,3.224,8,0,23674 > 13335,PK > US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,180055868
21,2026-06-14T14:26:44+00:00,1016036,9,9541,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,176.201,15,3,9541 > 8529 > 6939 > 20940,PK > AE > US > NL,"Istanbul, Istanbul, TR",handoff 184.104.196.46,True,180055898
22,2026-06-14T14:26:54+00:00,1016143,9,9541,2.19.193.138,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,153.479,14,2,8529 > 6939 > 20940,PK > AE > US > TR > NL,"Istanbul, Istanbul, TR",handoff 185.1.48.74,True,180055898
23,2026-06-14T14:26:56+00:00,60223,2,23674,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,3.069,8,0,23674 > 13335,PK > US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,180055865
24,2026-06-14T14:26:56+00:00,62224,2,38193,172.67.72.98,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,22.579,3,5,13335,US,,,True,180055865
25,2026-06-14T14:27:15+00:00,7613,3,152605,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,5,6,152605 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,False,180055854
26,2026-06-14T14:27:15+00:00,1016036,5,9541,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,,8,7,9541 > 38193,PK,"Islamabad, Islamabad, PK",server IP,False,180055861
