trace_id,trace_time,isp,target_hostname,target_ip,observed_path,bgp_paths_found,validation,partial_type
13048,2026-06-16T09:45:10+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13049,2026-06-16T09:45:12+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13057,2026-06-16T09:46:15+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13059,2026-06-16T09:46:27+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13060,2026-06-16T09:46:33+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13063,2026-06-16T09:55:30+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13067,2026-06-16T09:55:44+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13068,2026-06-16T09:55:44+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13078,2026-06-16T09:56:09+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13082,2026-06-16T09:56:47+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13086,2026-06-16T09:57:13+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13099,2026-06-16T09:58:37+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13108,2026-06-16T09:59:49+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13112,2026-06-16T10:00:01+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13117,2026-06-16T10:00:09+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13121,2026-06-16T10:00:16+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13127,2026-06-16T10:01:21+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13129,2026-06-16T10:01:26+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13130,2026-06-16T10:01:28+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13133,2026-06-16T10:10:31+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13138,2026-06-16T10:10:46+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13139,2026-06-16T10:10:49+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13147,2026-06-16T10:11:17+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13152,2026-06-16T10:11:46+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13156,2026-06-16T10:12:11+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13166,2026-06-16T10:13:34+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13179,2026-06-16T10:14:53+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13180,2026-06-16T10:14:59+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13189,2026-06-16T10:15:09+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13190,2026-06-16T10:15:13+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13196,2026-06-16T10:16:20+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13199,2026-06-16T10:16:24+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
