isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,ratio_overlay_q_excl_p,ratio_overlay_q_incl_p,ratio_vs_best_old
nova,1015679,idc.net.pk,136.5,distant,1.16,1.069,1.069,1.161
cybernet,1016036,idc.net.pk,135.7,distant,1.15,1.052,1.052,1.154
ptcl,1016126,idc.net.pk,137.3,distant,1.17,1.167,1.167,1.168
cybernet,1016143,idc.net.pk,117.6,distant,1.0,0.962,1.0,1.0
cybernet,1016154,idc.net.pk,127.0,distant,1.08,1.08,1.08,1.08
ptcl,1016393,idc.net.pk,137.7,distant,1.17,1.084,1.084,1.171
zcom,7613,wancom.net.pk,91.5,distant,35.19,34.86,34.86,35.192
nayatel,60223,wancom.net.pk,2.8,local,1.08,0.53,1.0,1.077
transworld,62224,wancom.net.pk,94.6,distant,36.38,35.445,35.445,36.385
tes,64078,wancom.net.pk,97.1,distant,37.35,37.297,37.297,37.346
orbit,64535,wancom.net.pk,94.4,distant,36.31,25.094,25.094,36.308
tes,64722,wancom.net.pk,78.3,distant,30.12,19.086,19.086,30.115
nayatel,65892,wancom.net.pk,2.6,local,1.0,0.474,1.0,1.0
fasttel,1014872,wancom.net.pk,202.2,distant,77.77,69.772,69.772,77.769
nova,1015679,wancom.net.pk,92.9,distant,35.73,34.545,34.545,35.731
cybernet,1016036,wancom.net.pk,22.5,regional,8.65,7.181,7.181,8.654
ptcl,1016126,wancom.net.pk,262.7,distant,101.04,65.651,65.651,101.038
cybernet,1016143,wancom.net.pk,4.4,local,1.69,1.1,1.1,1.692
cybernet,1016154,wancom.net.pk,4.0,local,1.54,0.909,1.0,1.538
ptcl,1016393,wancom.net.pk,262.4,distant,100.92,56.908,56.908,100.923
zcom,7613,bnbwu.edu.pk,131.7,distant,1.26,1.232,1.232,1.263
nayatel,60223,bnbwu.edu.pk,128.0,distant,1.23,1.226,1.226,1.227
transworld,62224,bnbwu.edu.pk,138.3,distant,1.33,1.293,1.293,1.326
tes,64078,bnbwu.edu.pk,134.1,distant,1.29,1.254,1.254,1.286
orbit,64535,bnbwu.edu.pk,131.0,distant,1.26,1.228,1.228,1.256
tes,64722,bnbwu.edu.pk,118.2,distant,1.13,1.111,1.111,1.133
nayatel,65892,bnbwu.edu.pk,188.7,distant,1.81,1.765,1.765,1.809
fasttel,1014872,bnbwu.edu.pk,104.3,distant,1.0,0.901,1.0,1.0
nova,1015679,bnbwu.edu.pk,134.7,distant,1.29,1.259,1.259,1.291
cybernet,1016036,bnbwu.edu.pk,128.5,distant,1.23,1.227,1.227,1.232
ptcl,1016126,bnbwu.edu.pk,106.3,distant,1.02,0.967,1.0,1.019
cybernet,1016143,bnbwu.edu.pk,110.4,distant,1.06,1.039,1.039,1.058
cybernet,1016154,bnbwu.edu.pk,109.9,distant,1.05,1.034,1.034,1.054
ptcl,1016393,bnbwu.edu.pk,114.0,distant,1.09,1.075,1.075,1.093
zcom,7613,ibcc.edu.pk,16.3,regional,7.09,5.573,5.573,7.087
nayatel,60223,ibcc.edu.pk,2.3,local,1.0,0.412,1.0,1.0
transworld,62224,ibcc.edu.pk,18.9,regional,8.22,6.366,6.366,8.217
tes,64078,ibcc.edu.pk,22.8,regional,9.91,7.853,7.853,9.913
orbit,64535,ibcc.edu.pk,18.3,regional,7.96,4.505,4.505,7.957
tes,64722,ibcc.edu.pk,2.8,local,1.22,0.756,1.0,1.217
nayatel,65892,ibcc.edu.pk,2.9,local,1.26,0.581,1.0,1.261
fasttel,1014872,ibcc.edu.pk,21.2,regional,9.22,8.841,8.841,9.217
nova,1015679,ibcc.edu.pk,17.4,regional,7.57,5.821,5.821,7.565
cybernet,1016036,ibcc.edu.pk,22.8,regional,9.91,8.658,8.658,9.913
ptcl,1016126,ibcc.edu.pk,25.5,regional,11.09,8.781,8.781,11.087
cybernet,1016143,ibcc.edu.pk,4.2,local,1.83,1.447,1.447,1.826
cybernet,1016154,ibcc.edu.pk,3.6,local,1.57,1.24,1.24,1.565
ptcl,1016393,ibcc.edu.pk,24.9,regional,10.83,6.057,6.057,10.826
zcom,7613,uos.edu.pk,95.2,distant,39.67,32.549,32.549,39.667
nayatel,60223,uos.edu.pk,2.4,local,1.0,0.43,1.0,1.0
transworld,62224,uos.edu.pk,94.8,distant,39.5,31.931,31.931,39.5
tes,64078,uos.edu.pk,97.3,distant,40.54,33.512,33.512,40.542
orbit,64535,uos.edu.pk,94.4,distant,39.33,23.24,23.24,39.333
tes,64722,uos.edu.pk,77.9,distant,32.46,19.463,19.463,32.458
nayatel,65892,uos.edu.pk,2.9,local,1.21,0.57,1.0,1.208
fasttel,1014872,uos.edu.pk,125.4,distant,52.25,50.2,50.2,52.25
nova,1015679,uos.edu.pk,92.7,distant,38.62,31.012,31.012,38.625
cybernet,1016036,uos.edu.pk,22.1,regional,9.21,8.085,8.085,9.208
ptcl,1016126,uos.edu.pk,129.9,distant,54.13,33.295,33.295,54.125
cybernet,1016143,uos.edu.pk,4.3,local,1.79,1.102,1.102,1.792
cybernet,1016154,uos.edu.pk,3.9,local,1.62,0.907,1.0,1.625
ptcl,1016393,uos.edu.pk,129.8,distant,54.08,30.825,30.825,54.083
zcom,7613,zu.edu.pk,16.1,regional,6.71,5.909,5.909,6.708
nayatel,60223,zu.edu.pk,2.4,local,1.0,0.445,1.0,1.0
transworld,62224,zu.edu.pk,20.0,regional,8.33,7.223,7.223,8.333
tes,64078,zu.edu.pk,22.0,regional,9.17,8.138,8.138,9.167
orbit,64535,zu.edu.pk,19.0,regional,7.92,4.92,4.92,7.917
tes,64722,zu.edu.pk,2.7,local,1.13,0.658,1.0,1.125
nayatel,65892,zu.edu.pk,2.7,local,1.13,0.531,1.0,1.125
fasttel,1014872,zu.edu.pk,127.1,distant,52.96,50.88,50.88,52.958
nova,1015679,zu.edu.pk,17.3,regional,7.21,6.202,6.202,7.208
cybernet,1016036,zu.edu.pk,22.6,regional,9.42,8.268,8.268,9.417
ptcl,1016126,zu.edu.pk,129.8,distant,54.08,46.291,46.291,54.083
cybernet,1016143,zu.edu.pk,4.4,local,1.83,1.57,1.57,1.833
cybernet,1016154,zu.edu.pk,4.0,local,1.67,1.427,1.427,1.667
ptcl,1016393,zu.edu.pk,132.2,distant,55.08,31.395,31.395,55.083
zcom,7613,pesco.com.pk,91.1,distant,41.41,32.25,32.25,41.409
nayatel,60223,pesco.com.pk,2.2,local,1.0,0.401,1.0,1.0
transworld,62224,pesco.com.pk,96.4,distant,43.82,33.601,33.601,43.818
tes,64078,pesco.com.pk,97.4,distant,44.27,34.744,34.744,44.273
orbit,64535,pesco.com.pk,94.4,distant,42.91,23.827,23.827,42.909
tes,64722,pesco.com.pk,78.1,distant,35.5,19.037,19.037,35.5
nayatel,65892,pesco.com.pk,2.8,local,1.27,0.573,1.0,1.273
fasttel,1014872,pesco.com.pk,202.5,distant,92.05,88.119,88.119,92.045
nova,1015679,pesco.com.pk,92.7,distant,42.14,32.085,32.085,42.136
cybernet,1016036,pesco.com.pk,22.5,regional,10.23,8.882,8.882,10.227
ptcl,1016126,pesco.com.pk,272.4,distant,123.82,68.075,68.075,123.818
cybernet,1016143,pesco.com.pk,4.4,local,2.0,1.1,1.1,2.0
cybernet,1016154,pesco.com.pk,4.0,local,1.82,0.909,1.0,1.818
ptcl,1016393,pesco.com.pk,267.0,distant,121.36,66.568,66.568,121.364
zcom,7613,khushhalibank.com.pk,225.4,distant,1.46,1.456,1.456,1.456
nayatel,60223,khushhalibank.com.pk,170.6,distant,1.1,1.083,1.083,1.102
transworld,62224,khushhalibank.com.pk,314.4,distant,2.03,2.03,2.03,2.031
tes,64078,khushhalibank.com.pk,251.8,distant,1.63,1.627,1.627,1.627
orbit,64535,khushhalibank.com.pk,228.2,distant,1.47,1.463,1.463,1.474
tes,64722,khushhalibank.com.pk,282.9,distant,1.83,1.805,1.805,1.828
nayatel,65892,khushhalibank.com.pk,154.8,distant,1.0,0.95,1.0,1.0
fasttel,1014872,khushhalibank.com.pk,160.3,distant,1.04,1.018,1.018,1.036
nova,1015679,khushhalibank.com.pk,309.0,distant,2.0,1.995,1.995,1.996
cybernet,1016036,khushhalibank.com.pk,318.4,distant,2.06,2.018,2.018,2.057
ptcl,1016126,khushhalibank.com.pk,156.6,distant,1.01,0.95,1.0,1.012
cybernet,1016143,khushhalibank.com.pk,290.7,distant,1.88,1.856,1.856,1.878
cybernet,1016154,khushhalibank.com.pk,303.0,distant,1.96,1.935,1.935,1.957
ptcl,1016393,khushhalibank.com.pk,170.4,distant,1.1,1.081,1.081,1.101
zcom,7613,mcb.com.pk,126.0,distant,1.26,1.261,1.261,1.261
nayatel,60223,mcb.com.pk,126.4,distant,1.27,1.232,1.232,1.265
transworld,62224,mcb.com.pk,133.7,distant,1.34,1.337,1.337,1.338
tes,64078,mcb.com.pk,137.9,distant,1.38,1.38,1.38,1.38
orbit,64535,mcb.com.pk,130.9,distant,1.31,1.295,1.295,1.31
tes,64722,mcb.com.pk,113.6,distant,1.14,1.101,1.101,1.137
nayatel,65892,mcb.com.pk,99.9,distant,1.0,0.933,1.0,1.0
fasttel,1014872,mcb.com.pk,104.5,distant,1.05,1.02,1.02,1.046
nova,1015679,mcb.com.pk,132.8,distant,1.33,1.328,1.328,1.329
cybernet,1016036,mcb.com.pk,138.6,distant,1.39,1.347,1.347,1.387
ptcl,1016126,mcb.com.pk,103.1,distant,1.03,0.937,1.0,1.032
cybernet,1016143,mcb.com.pk,110.5,distant,1.11,1.072,1.072,1.106
cybernet,1016154,mcb.com.pk,119.4,distant,1.2,1.158,1.158,1.195
ptcl,1016393,mcb.com.pk,131.9,distant,1.32,1.284,1.284,1.32
zcom,7613,ajk.gov.pk,90.8,distant,39.48,39.057,39.057,39.478
nayatel,60223,ajk.gov.pk,2.3,local,1.0,0.461,1.0,1.0
transworld,62224,ajk.gov.pk,95.3,distant,41.43,40.229,40.229,41.435
tes,64078,ajk.gov.pk,97.4,distant,42.35,42.285,42.285,42.348
orbit,64535,ajk.gov.pk,94.1,distant,40.91,27.182,27.182,40.913
tes,64722,ajk.gov.pk,78.1,distant,33.96,19.513,19.513,33.957
nayatel,65892,ajk.gov.pk,2.3,local,1.0,0.461,1.0,1.0
fasttel,1014872,ajk.gov.pk,201.4,distant,87.57,83.986,83.986,87.565
nova,1015679,ajk.gov.pk,92.5,distant,40.22,38.716,38.716,40.217
cybernet,1016036,ajk.gov.pk,22.3,regional,9.7,8.468,8.468,9.696
ptcl,1016126,ajk.gov.pk,269.3,distant,117.09,69.025,69.025,117.087
cybernet,1016143,ajk.gov.pk,4.2,local,1.83,1.077,1.077,1.826
cybernet,1016154,ajk.gov.pk,3.9,local,1.7,0.928,1.0,1.696
ptcl,1016393,ajk.gov.pk,267.3,distant,116.22,65.022,65.022,116.217
zcom,7613,joinasf.gov.pk,91.3,distant,39.7,30.184,30.184,39.696
nayatel,60223,joinasf.gov.pk,2.3,local,1.0,0.404,1.0,1.0
transworld,62224,joinasf.gov.pk,95.4,distant,41.48,31.086,31.086,41.478
tes,64078,joinasf.gov.pk,98.3,distant,42.74,32.73,32.73,42.739
orbit,64535,joinasf.gov.pk,94.2,distant,40.96,22.634,22.634,40.957
tes,64722,joinasf.gov.pk,78.3,distant,34.04,20.064,20.064,34.043
nayatel,65892,joinasf.gov.pk,3.0,local,1.3,0.602,1.0,1.304
fasttel,1014872,joinasf.gov.pk,204.8,distant,89.04,85.404,85.404,89.043
nova,1015679,joinasf.gov.pk,92.5,distant,40.22,29.943,29.943,40.217
cybernet,1016036,joinasf.gov.pk,22.6,regional,9.83,8.582,8.582,9.826
ptcl,1016126,joinasf.gov.pk,271.1,distant,117.87,71.315,71.315,117.87
cybernet,1016143,joinasf.gov.pk,4.1,local,1.78,1.079,1.079,1.783
cybernet,1016154,joinasf.gov.pk,3.8,local,1.65,0.927,1.0,1.652
ptcl,1016393,joinasf.gov.pk,269.1,distant,117.0,65.46,65.46,117.0
zcom,7613,paknavy.gov.pk,16.0,regional,6.4,5.12,5.12,6.4
nayatel,60223,paknavy.gov.pk,2.5,local,1.0,0.432,1.0,1.0
transworld,62224,paknavy.gov.pk,20.2,regional,8.08,6.374,6.374,8.08
tes,64078,paknavy.gov.pk,22.9,regional,9.16,7.379,7.379,9.16
orbit,64535,paknavy.gov.pk,18.5,regional,7.4,4.341,4.341,7.4
tes,64722,paknavy.gov.pk,3.0,local,1.2,0.789,1.0,1.2
nayatel,65892,paknavy.gov.pk,3.1,local,1.24,0.598,1.0,1.24
fasttel,1014872,paknavy.gov.pk,21.7,regional,8.68,8.352,8.352,8.68
nova,1015679,paknavy.gov.pk,17.4,regional,6.96,5.456,5.456,6.96
cybernet,1016036,paknavy.gov.pk,23.3,regional,9.32,8.224,8.224,9.32
ptcl,1016126,paknavy.gov.pk,25.4,regional,10.16,8.183,8.183,10.16
cybernet,1016143,paknavy.gov.pk,4.4,local,1.76,1.419,1.419,1.76
cybernet,1016154,paknavy.gov.pk,3.7,local,1.48,1.193,1.193,1.48
ptcl,1016393,paknavy.gov.pk,25.1,regional,10.04,5.822,5.822,10.04
zcom,7613,pnmc.gov.pk,91.3,distant,38.04,33.507,33.507,38.042
nayatel,60223,pnmc.gov.pk,2.4,local,1.0,0.445,1.0,1.0
transworld,62224,pnmc.gov.pk,95.3,distant,39.71,34.418,34.418,39.708
tes,64078,pnmc.gov.pk,98.2,distant,40.92,36.325,36.325,40.917
orbit,64535,pnmc.gov.pk,94.1,distant,39.21,24.366,24.366,39.208
tes,64722,pnmc.gov.pk,78.3,distant,32.62,20.064,20.064,32.625
nayatel,65892,pnmc.gov.pk,2.7,local,1.13,0.531,1.0,1.125
fasttel,1014872,pnmc.gov.pk,201.0,distant,83.75,80.464,80.464,83.75
nova,1015679,pnmc.gov.pk,96.4,distant,40.17,34.562,34.562,40.167
cybernet,1016036,pnmc.gov.pk,22.0,regional,9.17,8.049,8.049,9.167
ptcl,1016126,pnmc.gov.pk,276.8,distant,115.33,72.814,72.814,115.333
cybernet,1016143,pnmc.gov.pk,4.2,local,1.75,1.105,1.105,1.75
cybernet,1016154,pnmc.gov.pk,3.8,local,1.58,0.905,1.0,1.583
ptcl,1016393,pnmc.gov.pk,265.1,distant,110.46,62.955,62.955,110.458
zcom,7613,gamcamedical.pk,91.4,distant,1.18,1.045,1.045,1.181
nayatel,60223,gamcamedical.pk,96.9,distant,1.25,1.094,1.094,1.252
transworld,62224,gamcamedical.pk,95.4,distant,1.23,1.09,1.09,1.233
tes,64078,gamcamedical.pk,98.1,distant,1.27,1.121,1.121,1.267
orbit,64535,gamcamedical.pk,94.8,distant,1.22,1.094,1.094,1.225
tes,64722,gamcamedical.pk,78.7,distant,1.02,1.015,1.015,1.017
nayatel,65892,gamcamedical.pk,98.3,distant,1.27,1.123,1.123,1.27
fasttel,1014872,gamcamedical.pk,96.7,distant,1.25,1.093,1.093,1.249
nova,1015679,gamcamedical.pk,93.0,distant,1.2,1.063,1.063,1.202
cybernet,1016036,gamcamedical.pk,256.3,distant,3.31,2.885,2.885,3.311
ptcl,1016126,gamcamedical.pk,107.5,distant,1.39,1.389,1.389,1.389
cybernet,1016143,gamcamedical.pk,77.4,distant,1.0,0.987,1.0,1.0
cybernet,1016154,gamcamedical.pk,78.4,distant,1.01,1.013,1.013,1.013
ptcl,1016393,gamcamedical.pk,102.2,distant,1.32,1.177,1.177,1.32
zcom,7613,airblue.com,16.1,regional,7.0,6.134,6.134,7.0
nayatel,60223,airblue.com,2.3,local,1.0,0.435,1.0,1.0
transworld,62224,airblue.com,19.9,regional,8.65,7.456,7.456,8.652
tes,64078,airblue.com,22.3,regional,9.7,8.566,8.566,9.696
orbit,64535,airblue.com,19.1,regional,8.3,5.077,5.077,8.304
tes,64722,airblue.com,2.8,local,1.22,0.666,1.0,1.217
nayatel,65892,airblue.com,2.6,local,1.13,0.521,1.0,1.13
fasttel,1014872,airblue.com,21.2,regional,9.22,8.841,8.841,9.217
nova,1015679,airblue.com,16.9,regional,7.35,6.284,6.284,7.348
cybernet,1016036,airblue.com,22.7,regional,9.87,8.62,8.62,9.87
ptcl,1016126,airblue.com,25.4,regional,11.04,8.747,8.747,11.043
cybernet,1016143,airblue.com,4.2,local,1.83,1.447,1.447,1.826
cybernet,1016154,airblue.com,4.1,local,1.78,1.413,1.413,1.783
ptcl,1016393,airblue.com,24.7,regional,10.74,6.008,6.008,10.739
