msm_id,target,probe_id,isp,sector,endtime,n_hops,trombone,exit_cc,handoff_isp,foreign_hop_index,as_path
189032884,careers635.com.pk,1014872,fasttel,Commercial Facilities,1783782053,12,False,,,,"[null, null, null, ""17557"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1015679,nova,Commercial Facilities,1783782046,13,False,,,,"[null, ""6327"", ""38193"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016036,cybernet,Commercial Facilities,1783782088,14,False,,,,"[null, ""9541"", null, null, ""9541"", null, null, ""9557"", null, null, null, null, null, null]"
189032884,careers635.com.pk,1016126,ptcl,Commercial Facilities,1783782053,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016143,cybernet,Commercial Facilities,1783782101,14,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016154,cybernet,Commercial Facilities,1783782053,9,False,,,,"[null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016393,ptcl,Commercial Facilities,1783781983,5,False,,,,"[null, ""17557"", null, null, null]"
189032884,careers635.com.pk,7613,zcom,Commercial Facilities,1783782085,13,False,,,,"[""152605"", ""38193"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64535,orbit,Commercial Facilities,1783782185,16,False,,,,"[null, null, null, null, ""174"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64722,tes,Commercial Facilities,1783782167,11,False,,,,"[null, ""135407"", ""38193"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,65892,nayatel,Commercial Facilities,1783782159,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,60223,nayatel,Commercial Facilities,1783785538,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,62224,transworld,Commercial Facilities,1783785472,4,False,,,,"[null, null, null, ""17557""]"
189032884,careers635.com.pk,64078,tes,Commercial Facilities,1783785526,12,False,,,,"[null, null, ""135407"", null, null, null, null, null, null, null, null, null]"
