isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
tes,64078,skyscanner.pk,37.6,regional,2.07,Amazon,own_network_direct_registry,7,TROMBONE,97.7
orbit,64535,skyscanner.pk,34.5,regional,1.9,Amazon,via_Transworld_registry,7,TROMBONE,95.1
tes,64722,skyscanner.pk,19.9,regional,1.09,Amazon,own_network_direct_registry,6,TROMBONE,79.0
nayatel,65892,skyscanner.pk,39.5,regional,2.17,Amazon,no_visible_handoff_short_path,3,TROMBONE,42.1
fasttel,1014872,skyscanner.pk,40.4,regional,2.22,Amazon,no_visible_handoff_short_path,5,TROMBONE,48.0
nova,1015679,skyscanner.pk,34.0,regional,1.87,Amazon,via_Transworld_registry,6,TROMBONE,111.2
cybernet,1016036,skyscanner.pk,37.3,regional,2.05,Amazon,own_network_direct,7,LOCAL,39.9
ptcl,1016126,skyscanner.pk,43.7,regional,2.4,Amazon,own_network_direct,6,TROMBONE,45.3
cybernet,1016143,skyscanner.pk,19.3,regional,1.06,Amazon,own_network_direct_registry,4,LOCAL,19.6
cybernet,1016154,skyscanner.pk,18.2,regional,1.0,Amazon,own_network_direct_registry,4,LOCAL,19.0
ptcl,1016393,skyscanner.pk,43.4,regional,2.38,Amazon,own_network_direct,5,TROMBONE,458.8
zcom,7613,thefrontierpost.com,91.1,distant,36.44,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,156.1
nayatel,60223,thefrontierpost.com,2.5,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
transworld,62224,thefrontierpost.com,95.5,distant,38.2,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,thefrontierpost.com,97.7,distant,39.08,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.7
orbit,64535,thefrontierpost.com,93.4,distant,37.36,Cloudflare,via_foreign_transit_China Mobile Intl (HK),13,TROMBONE,148.0
tes,64722,thefrontierpost.com,78.4,distant,31.36,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.0
nayatel,65892,thefrontierpost.com,2.9,local,1.16,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.0
fasttel,1014872,thefrontierpost.com,201.8,distant,80.72,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,144.9
nova,1015679,thefrontierpost.com,92.5,distant,37.0,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,105.7
cybernet,1016036,thefrontierpost.com,22.7,regional,9.08,Cloudflare,own_network_direct,8,LOCAL,26.4
ptcl,1016126,thefrontierpost.com,269.0,distant,107.6,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,132.1
cybernet,1016143,thefrontierpost.com,4.2,local,1.68,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,thefrontierpost.com,3.9,local,1.56,Cloudflare,own_network_direct_registry,4,LOCAL,3.8
ptcl,1016393,thefrontierpost.com,265.7,distant,106.28,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,488.3
zcom,7613,urbanbeauty.pk,16.0,regional,6.96,Cloudflare,via_Transworld_registry,5,LOCAL,16.5
nayatel,60223,urbanbeauty.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.3
transworld,62224,urbanbeauty.pk,19.2,regional,8.35,Cloudflare,no_visible_handoff_short_path,3,LOCAL,21.8
tes,64078,urbanbeauty.pk,22.8,regional,9.91,Cloudflare,own_network_direct_registry,7,LOCAL,23.5
orbit,64535,urbanbeauty.pk,18.4,regional,8.0,Cloudflare,via_Transworld_registry,7,LOCAL,21.1
tes,64722,urbanbeauty.pk,2.6,local,1.13,Cloudflare,own_network_direct_registry,6,LOCAL,3.2
nayatel,65892,urbanbeauty.pk,3.1,local,1.35,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.1
fasttel,1014872,urbanbeauty.pk,22.6,regional,9.83,Cloudflare,via_PTCL,8,LOCAL,29.1
nova,1015679,urbanbeauty.pk,16.9,regional,7.35,Cloudflare,via_Transworld_registry,6,LOCAL,18.5
cybernet,1016036,urbanbeauty.pk,127.6,distant,55.48,Cloudflare,own_network_direct,8,TROMBONE,121.0
ptcl,1016126,urbanbeauty.pk,25.1,regional,10.91,Cloudflare,own_network_direct,6,LOCAL,26.4
cybernet,1016143,urbanbeauty.pk,99.1,distant,43.09,Cloudflare,own_network_direct_registry,4,TROMBONE,100.2
cybernet,1016154,urbanbeauty.pk,98.4,distant,42.78,Cloudflare,own_network_direct_registry,4,TROMBONE,109.3
ptcl,1016393,urbanbeauty.pk,27.6,regional,12.0,Cloudflare,own_network_direct,6,TROMBONE,393.1
zcom,7613,vidmateapp.com.pk,91.9,distant,39.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,113.1
nayatel,60223,vidmateapp.com.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,2.9
transworld,62224,vidmateapp.com.pk,95.8,distant,41.65,Cloudflare,no_visible_handoff_short_path,3,LOCAL,0.8
tes,64078,vidmateapp.com.pk,98.1,distant,42.65,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.6
orbit,64535,vidmateapp.com.pk,94.3,distant,41.0,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,102.6
tes,64722,vidmateapp.com.pk,78.2,distant,34.0,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,176.0
nayatel,65892,vidmateapp.com.pk,2.9,local,1.26,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
fasttel,1014872,vidmateapp.com.pk,125.1,distant,54.39,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,279.3
nova,1015679,vidmateapp.com.pk,92.8,distant,40.35,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,102.2
cybernet,1016036,vidmateapp.com.pk,22.2,regional,9.65,Cloudflare,own_network_direct,9,LOCAL,26.1
ptcl,1016126,vidmateapp.com.pk,136.3,distant,59.26,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,293.2
cybernet,1016143,vidmateapp.com.pk,4.2,local,1.83,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,vidmateapp.com.pk,4.1,local,1.78,Cloudflare,own_network_direct_registry,3,LOCAL,3.8
ptcl,1016393,vidmateapp.com.pk,131.1,distant,57.0,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,492.7
zcom,7613,wbm.com.pk,15.7,regional,5.81,Cloudflare,via_Transworld_registry,5,LOCAL,16.2
nayatel,60223,wbm.com.pk,2.9,local,1.07,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
transworld,62224,wbm.com.pk,19.3,regional,7.15,Cloudflare,no_visible_handoff_short_path,3,LOCAL,20.2
tes,64078,wbm.com.pk,22.2,regional,8.22,Cloudflare,own_network_direct_registry,7,LOCAL,23.8
orbit,64535,wbm.com.pk,19.1,regional,7.07,Cloudflare,via_Transworld_registry,7,LOCAL,21.0
tes,64722,wbm.com.pk,2.7,local,1.0,Cloudflare,own_network_direct_registry,6,LOCAL,3.0
nayatel,65892,wbm.com.pk,2.8,local,1.04,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
fasttel,1014872,wbm.com.pk,22.1,regional,8.19,Cloudflare,via_PTCL,8,LOCAL,28.0
nova,1015679,wbm.com.pk,17.4,regional,6.44,Cloudflare,via_Transworld_registry,6,LOCAL,20.7
cybernet,1016036,wbm.com.pk,117.5,distant,43.52,Cloudflare,own_network_direct,9,TROMBONE,130.3
ptcl,1016126,wbm.com.pk,25.2,regional,9.33,Cloudflare,own_network_direct,6,LOCAL,26.3
cybernet,1016143,wbm.com.pk,99.2,distant,36.74,Cloudflare,own_network_direct_registry,4,TROMBONE,100.0
cybernet,1016154,wbm.com.pk,108.4,distant,40.15,Cloudflare,own_network_direct_registry,3,TROMBONE,99.8
ptcl,1016393,wbm.com.pk,26.2,regional,9.7,Cloudflare,own_network_direct,6,LOCAL,28.7
zcom,7613,zarajahan.pk,15.7,regional,6.83,Cloudflare,via_Transworld_registry,5,LOCAL,16.5
nayatel,60223,zarajahan.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.2
transworld,62224,zarajahan.pk,19.2,regional,8.35,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,zarajahan.pk,22.0,regional,9.57,Cloudflare,own_network_direct_registry,7,LOCAL,23.4
orbit,64535,zarajahan.pk,18.2,regional,7.91,Cloudflare,via_Transworld_registry,7,LOCAL,21.6
tes,64722,zarajahan.pk,2.8,local,1.22,Cloudflare,own_network_direct_registry,6,LOCAL,3.5
nayatel,65892,zarajahan.pk,2.7,local,1.17,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,zarajahan.pk,21.7,regional,9.43,Cloudflare,no_visible_handoff_short_path,6,LOCAL,30.4
nova,1015679,zarajahan.pk,17.3,regional,7.52,Cloudflare,via_Transworld_registry,6,LOCAL,21.3
cybernet,1016036,zarajahan.pk,117.5,distant,51.09,Cloudflare,own_network_direct,9,TROMBONE,120.7
ptcl,1016126,zarajahan.pk,25.1,regional,10.91,Cloudflare,own_network_direct,6,LOCAL,26.6
cybernet,1016143,zarajahan.pk,99.2,distant,43.13,Cloudflare,own_network_direct_registry,4,TROMBONE,110.2
cybernet,1016154,zarajahan.pk,108.7,distant,47.26,Cloudflare,own_network_direct_registry,3,TROMBONE,119.6
ptcl,1016393,zarajahan.pk,25.3,regional,11.0,Cloudflare,own_network_direct,6,TROMBONE,253.8
zcom,7613,zing.pk,15.8,regional,6.87,Cloudflare,via_Transworld_registry,5,LOCAL,18.2
nayatel,60223,zing.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.5
transworld,62224,zing.pk,19.4,regional,8.43,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,zing.pk,22.0,regional,9.57,Cloudflare,own_network_direct_registry,7,LOCAL,23.2
orbit,64535,zing.pk,18.1,regional,7.87,Cloudflare,via_Transworld_registry,7,LOCAL,21.5
tes,64722,zing.pk,2.8,local,1.22,Cloudflare,own_network_direct_registry,6,LOCAL,3.4
nayatel,65892,zing.pk,2.8,local,1.22,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.4
fasttel,1014872,zing.pk,21.6,regional,9.39,Cloudflare,via_PTCL,8,LOCAL,29.5
nova,1015679,zing.pk,17.1,regional,7.43,Cloudflare,via_Transworld_registry,6,TROMBONE,47.0
cybernet,1016036,zing.pk,117.1,distant,50.91,Cloudflare,own_network_direct,8,TROMBONE,130.4
ptcl,1016126,zing.pk,25.1,regional,10.91,Cloudflare,own_network_direct,6,LOCAL,26.8
cybernet,1016143,zing.pk,99.6,distant,43.3,Cloudflare,own_network_direct_registry,4,TROMBONE,110.2
cybernet,1016154,zing.pk,108.4,distant,47.13,Cloudflare,own_network_direct_registry,3,TROMBONE,109.1
ptcl,1016393,zing.pk,27.5,regional,11.96,Cloudflare,own_network_direct,6,TROMBONE,54.8
zcom,7613,glory-casino.net.pk,91.5,distant,41.59,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,106.6
nayatel,60223,glory-casino.net.pk,2.2,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
transworld,62224,glory-casino.net.pk,94.4,distant,42.91,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,glory-casino.net.pk,97.5,distant,44.32,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.7
orbit,64535,glory-casino.net.pk,94.7,distant,43.05,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,118.9
tes,64722,glory-casino.net.pk,78.2,distant,35.55,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.4
nayatel,65892,glory-casino.net.pk,2.8,local,1.27,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.1
fasttel,1014872,glory-casino.net.pk,201.4,distant,91.55,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,273.7
nova,1015679,glory-casino.net.pk,92.7,distant,42.14,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,109.3
cybernet,1016036,glory-casino.net.pk,22.9,regional,10.41,Cloudflare,own_network_direct,8,LOCAL,26.7
ptcl,1016126,glory-casino.net.pk,277.5,distant,126.14,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,294.1
cybernet,1016143,glory-casino.net.pk,4.2,local,1.91,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,glory-casino.net.pk,3.8,local,1.73,Cloudflare,own_network_direct_registry,3,LOCAL,5.2
ptcl,1016393,glory-casino.net.pk,271.7,distant,123.5,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,314.8
zcom,7613,idc.net.pk,137.0,distant,1.16,Google,via_foreign_transit_Seabone/TI Sparkle,9,TROMBONE,149.5
nayatel,60223,idc.net.pk,133.5,distant,1.14,Google,no_visible_handoff_short_path,3,TROMBONE,145.7
transworld,62224,idc.net.pk,149.9,distant,1.27,Google,no_visible_handoff_short_path,3,TROMBONE,141.2
tes,64078,idc.net.pk,138.6,distant,1.18,Google,via_foreign_transit_Seabone/TI Sparkle,11,TROMBONE,150.2
orbit,64535,idc.net.pk,136.2,distant,1.16,Google,via_foreign_transit_Seabone/TI Sparkle,11,TROMBONE,148.5
tes,64722,idc.net.pk,122.2,distant,1.04,Google,via_foreign_transit_Seabone/TI Sparkle,10,TROMBONE,132.0
nayatel,65892,idc.net.pk,134.0,distant,1.14,Google,no_visible_handoff_short_path,3,TROMBONE,142.5
fasttel,1014872,idc.net.pk,137.1,distant,1.17,Google,via_foreign_transit_Seabone/TI Sparkle,9,TROMBONE,148.1
nova,1015679,idc.net.pk,136.5,distant,1.16,Google,via_foreign_transit_Seabone/TI Sparkle,10,TROMBONE,152.1
cybernet,1016036,idc.net.pk,135.7,distant,1.15,Google,own_network_direct,7,TROMBONE,139.5
ptcl,1016126,idc.net.pk,137.3,distant,1.17,Google,via_foreign_transit_Arelion/Twelve99,10,TROMBONE,157.5
cybernet,1016143,idc.net.pk,117.6,distant,1.0,Google,own_network_direct_registry,4,TROMBONE,129.0
cybernet,1016154,idc.net.pk,127.0,distant,1.08,Google,own_network_direct_registry,4,TROMBONE,128.3
ptcl,1016393,idc.net.pk,137.7,distant,1.17,Google,via_foreign_transit_Arelion/Twelve99,11,TROMBONE,449.7
zcom,7613,wancom.net.pk,91.5,distant,35.19,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,157.4
nayatel,60223,wancom.net.pk,2.8,local,1.08,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.0
transworld,62224,wancom.net.pk,94.6,distant,36.38,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.2
tes,64078,wancom.net.pk,97.1,distant,37.35,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.5
orbit,64535,wancom.net.pk,94.4,distant,36.31,Cloudflare,via_foreign_transit_China Mobile Intl (HK),13,TROMBONE,119.0
tes,64722,wancom.net.pk,78.3,distant,30.12,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,174.9
nayatel,65892,wancom.net.pk,2.6,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.3
fasttel,1014872,wancom.net.pk,202.2,distant,77.77,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,274.0
nova,1015679,wancom.net.pk,92.9,distant,35.73,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,116.7
cybernet,1016036,wancom.net.pk,22.5,regional,8.65,Cloudflare,own_network_direct,8,LOCAL,26.7
ptcl,1016126,wancom.net.pk,262.7,distant,101.04,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,288.4
cybernet,1016143,wancom.net.pk,4.4,local,1.69,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,wancom.net.pk,4.0,local,1.54,Cloudflare,own_network_direct_registry,4,LOCAL,3.9
ptcl,1016393,wancom.net.pk,262.4,distant,100.92,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,282.0
zcom,7613,bnbwu.edu.pk,131.7,distant,1.26,Sucuri,no_cdn_hop_visible,11,TROMBONE,159.7
nayatel,60223,bnbwu.edu.pk,128.0,distant,1.23,Sucuri,no_cdn_hop_visible,2,LOCAL,2.9
transworld,62224,bnbwu.edu.pk,138.3,distant,1.33,Sucuri,no_visible_handoff_short_path,3,LOCAL,0.9
tes,64078,bnbwu.edu.pk,134.1,distant,1.29,Sucuri,no_cdn_hop_visible,13,TROMBONE,229.1
orbit,64535,bnbwu.edu.pk,131.0,distant,1.26,Sucuri,no_cdn_hop_visible,13,TROMBONE,167.9
tes,64722,bnbwu.edu.pk,118.2,distant,1.13,Sucuri,no_cdn_hop_visible,12,TROMBONE,144.3
nayatel,65892,bnbwu.edu.pk,188.7,distant,1.81,Sucuri,no_cdn_hop_visible,2,LOCAL,3.9
fasttel,1014872,bnbwu.edu.pk,104.3,distant,1.0,Sucuri,no_cdn_hop_visible,9,TROMBONE,297.4
nova,1015679,bnbwu.edu.pk,134.7,distant,1.29,Sucuri,no_cdn_hop_visible,12,TROMBONE,153.0
cybernet,1016036,bnbwu.edu.pk,128.5,distant,1.23,Sucuri,no_cdn_hop_visible,12,TROMBONE,164.0
ptcl,1016126,bnbwu.edu.pk,106.3,distant,1.02,Sucuri,no_cdn_hop_visible,6,TROMBONE,205.0
cybernet,1016143,bnbwu.edu.pk,110.4,distant,1.06,Sucuri,no_cdn_hop_visible,7,TROMBONE,143.9
cybernet,1016154,bnbwu.edu.pk,109.9,distant,1.05,Sucuri,no_cdn_hop_visible,6,TROMBONE,143.8
ptcl,1016393,bnbwu.edu.pk,114.0,distant,1.09,Sucuri,no_cdn_hop_visible,7,TROMBONE,438.6
zcom,7613,ibcc.edu.pk,16.3,regional,7.09,Cloudflare,via_Transworld,6,LOCAL,16.7
nayatel,60223,ibcc.edu.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
transworld,62224,ibcc.edu.pk,18.9,regional,8.22,Cloudflare,no_visible_handoff_short_path,3,LOCAL,0.9
tes,64078,ibcc.edu.pk,22.8,regional,9.91,Cloudflare,own_network_direct,8,LOCAL,24.2
orbit,64535,ibcc.edu.pk,18.3,regional,7.96,Cloudflare,via_Transworld,9,LOCAL,21.5
tes,64722,ibcc.edu.pk,2.8,local,1.22,Cloudflare,own_network_direct,7,LOCAL,4.0
nayatel,65892,ibcc.edu.pk,2.9,local,1.26,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
fasttel,1014872,ibcc.edu.pk,21.2,regional,9.22,Cloudflare,via_PTCL(Paknet),9,LOCAL,34.1
nova,1015679,ibcc.edu.pk,17.4,regional,7.57,Cloudflare,via_Transworld,7,LOCAL,22.1
cybernet,1016036,ibcc.edu.pk,22.8,regional,9.91,Cloudflare,own_network_direct,8,LOCAL,25.6
ptcl,1016126,ibcc.edu.pk,25.5,regional,11.09,Cloudflare,own_network_direct,7,LOCAL,26.5
cybernet,1016143,ibcc.edu.pk,4.2,local,1.83,Cloudflare,own_network_direct_registry,4,LOCAL,4.5
cybernet,1016154,ibcc.edu.pk,3.6,local,1.57,Cloudflare,own_network_direct_registry,4,LOCAL,4.0
ptcl,1016393,ibcc.edu.pk,24.9,regional,10.83,Cloudflare,own_network_direct,7,TROMBONE,441.4
zcom,7613,uos.edu.pk,95.2,distant,39.67,Cloudflare,via_foreign_transit_China Mobile Intl (HK),9,TROMBONE,146.8
nayatel,60223,uos.edu.pk,2.4,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.2
transworld,62224,uos.edu.pk,94.8,distant,39.5,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,uos.edu.pk,97.3,distant,40.54,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,108.4
orbit,64535,uos.edu.pk,94.4,distant,39.33,Cloudflare,via_foreign_transit_China Mobile Intl (HK),13,TROMBONE,136.5
tes,64722,uos.edu.pk,77.9,distant,32.46,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.6
nayatel,65892,uos.edu.pk,2.9,local,1.21,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,uos.edu.pk,125.4,distant,52.25,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,279.1
nova,1015679,uos.edu.pk,92.7,distant,38.62,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,99.1
cybernet,1016036,uos.edu.pk,22.1,regional,9.21,Cloudflare,own_network_direct,8,LOCAL,28.3
ptcl,1016126,uos.edu.pk,129.9,distant,54.13,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,286.9
cybernet,1016143,uos.edu.pk,4.3,local,1.79,Cloudflare,own_network_direct_registry,4,LOCAL,4.4
cybernet,1016154,uos.edu.pk,3.9,local,1.62,Cloudflare,own_network_direct_registry,3,LOCAL,4.2
ptcl,1016393,uos.edu.pk,129.8,distant,54.08,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,423.0
zcom,7613,zu.edu.pk,16.1,regional,6.71,Cloudflare,via_Transworld,6,LOCAL,17.0
nayatel,60223,zu.edu.pk,2.4,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.3
transworld,62224,zu.edu.pk,20.0,regional,8.33,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,zu.edu.pk,22.0,regional,9.17,Cloudflare,own_network_direct,8,LOCAL,24.0
orbit,64535,zu.edu.pk,19.0,regional,7.92,Cloudflare,via_Transworld,8,LOCAL,21.4
tes,64722,zu.edu.pk,2.7,local,1.13,Cloudflare,own_network_direct,7,LOCAL,4.1
nayatel,65892,zu.edu.pk,2.7,local,1.13,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,zu.edu.pk,127.1,distant,52.96,Cloudflare,no_visible_handoff_short_path,3,TROMBONE,138.1
nova,1015679,zu.edu.pk,17.3,regional,7.21,Cloudflare,via_Transworld,7,LOCAL,39.6
cybernet,1016036,zu.edu.pk,22.6,regional,9.42,Cloudflare,own_network_direct,8,LOCAL,26.4
ptcl,1016126,zu.edu.pk,129.8,distant,54.08,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,131.9
cybernet,1016143,zu.edu.pk,4.4,local,1.83,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,zu.edu.pk,4.0,local,1.67,Cloudflare,own_network_direct_registry,3,LOCAL,3.9
ptcl,1016393,zu.edu.pk,132.2,distant,55.08,Cloudflare,own_network_direct,7,TROMBONE,476.3
zcom,7613,pesco.com.pk,91.1,distant,41.41,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,163.5
nayatel,60223,pesco.com.pk,2.2,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.3
transworld,62224,pesco.com.pk,96.4,distant,43.82,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,pesco.com.pk,97.4,distant,44.27,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.7
orbit,64535,pesco.com.pk,94.4,distant,42.91,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,100.2
tes,64722,pesco.com.pk,78.1,distant,35.5,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.2
nayatel,65892,pesco.com.pk,2.8,local,1.27,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,pesco.com.pk,202.5,distant,92.05,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,278.1
nova,1015679,pesco.com.pk,92.7,distant,42.14,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,101.2
cybernet,1016036,pesco.com.pk,22.5,regional,10.23,Cloudflare,own_network_direct,8,LOCAL,26.3
ptcl,1016126,pesco.com.pk,272.4,distant,123.82,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,287.3
cybernet,1016143,pesco.com.pk,4.4,local,2.0,Cloudflare,own_network_direct_registry,4,LOCAL,4.7
cybernet,1016154,pesco.com.pk,4.0,local,1.82,Cloudflare,own_network_direct_registry,3,LOCAL,4.1
ptcl,1016393,pesco.com.pk,267.0,distant,121.36,Cloudflare,via_foreign_transit_Level3/Lumen,9,LOCAL,31.5
zcom,7613,khushhalibank.com.pk,225.4,distant,1.46,Amazon,via_domestic_artifact_Cogent(PK PoP),8,TROMBONE,275.5
nayatel,60223,khushhalibank.com.pk,170.6,distant,1.1,Amazon,no_visible_handoff_short_path,3,TROMBONE,174.8
transworld,62224,khushhalibank.com.pk,314.4,distant,2.03,Amazon,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,khushhalibank.com.pk,251.8,distant,1.63,Amazon,via_domestic_artifact_Cogent(PK PoP),10,TROMBONE,260.1
orbit,64535,khushhalibank.com.pk,228.2,distant,1.47,Amazon,via_domestic_artifact_Cogent(PK PoP),10,TROMBONE,261.4
tes,64722,khushhalibank.com.pk,282.9,distant,1.83,Amazon,via_domestic_artifact_Cogent(PK PoP),9,TROMBONE,299.6
nayatel,65892,khushhalibank.com.pk,154.8,distant,1.0,Amazon,no_visible_handoff_short_path,3,TROMBONE,170.2
fasttel,1014872,khushhalibank.com.pk,160.3,distant,1.04,Amazon,no_cdn_hop_visible,7,TROMBONE,133.6
nova,1015679,khushhalibank.com.pk,309.0,distant,2.0,Amazon,via_domestic_artifact_Cogent(PK PoP),8,TROMBONE,312.9
cybernet,1016036,khushhalibank.com.pk,318.4,distant,2.06,Amazon,via_domestic_artifact_Cogent(PK PoP),9,TROMBONE,314.9
ptcl,1016126,khushhalibank.com.pk,156.6,distant,1.01,Amazon,via_foreign_transit_NTT America,7,TROMBONE,176.8
cybernet,1016143,khushhalibank.com.pk,290.7,distant,1.88,Amazon,via_domestic_artifact_Cogent(PK PoP),6,TROMBONE,303.9
cybernet,1016154,khushhalibank.com.pk,303.0,distant,1.96,Amazon,own_network_direct_registry,3,TROMBONE,392.1
ptcl,1016393,khushhalibank.com.pk,170.4,distant,1.1,Amazon,via_foreign_transit_NTT America,6,LOCAL,28.2
zcom,7613,mcb.com.pk,126.0,distant,1.26,Sucuri,no_cdn_hop_visible,11,TROMBONE,160.1
nayatel,60223,mcb.com.pk,126.4,distant,1.27,Sucuri,no_cdn_hop_visible,2,LOCAL,3.1
transworld,62224,mcb.com.pk,133.7,distant,1.34,Sucuri,no_visible_handoff_short_path,3,LOCAL,1.2
tes,64078,mcb.com.pk,137.9,distant,1.38,Sucuri,no_cdn_hop_visible,13,TROMBONE,223.0
orbit,64535,mcb.com.pk,130.9,distant,1.31,Sucuri,no_cdn_hop_visible,13,TROMBONE,156.9
tes,64722,mcb.com.pk,113.6,distant,1.14,Sucuri,no_cdn_hop_visible,12,TROMBONE,140.7
nayatel,65892,mcb.com.pk,99.9,distant,1.0,Sucuri,no_cdn_hop_visible,2,LOCAL,3.4
fasttel,1014872,mcb.com.pk,104.5,distant,1.05,Sucuri,no_cdn_hop_visible,9,TROMBONE,206.3
nova,1015679,mcb.com.pk,132.8,distant,1.33,Sucuri,no_cdn_hop_visible,12,TROMBONE,174.9
