isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
cybernet,1016036,businesslist.pk,22.8,regional,9.5,Cloudflare,own_network_direct,8,LOCAL,27.6
ptcl,1016126,businesslist.pk,136.6,distant,56.92,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.9
cybernet,1016143,businesslist.pk,4.3,local,1.79,Cloudflare,own_network_direct_registry,4,LOCAL,4.7
cybernet,1016154,businesslist.pk,4.0,local,1.67,Cloudflare,own_network_direct_registry,3,LOCAL,4.0
ptcl,1016393,businesslist.pk,131.3,distant,54.71,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,491.2
zcom,7613,digikhata.pk,16.1,regional,6.44,Cloudflare,via_Transworld,6,LOCAL,17.1
nayatel,60223,digikhata.pk,2.5,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.2
transworld,62224,digikhata.pk,19.6,regional,7.84,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,digikhata.pk,22.6,regional,9.04,Cloudflare,own_network_direct,8,LOCAL,23.9
orbit,64535,digikhata.pk,18.4,regional,7.36,Cloudflare,via_Transworld,8,LOCAL,27.1
tes,64722,digikhata.pk,2.7,local,1.08,Cloudflare,own_network_direct,7,LOCAL,3.6
nayatel,65892,digikhata.pk,2.7,local,1.08,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
fasttel,1014872,digikhata.pk,127.5,distant,51.0,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,281.1
nova,1015679,digikhata.pk,17.1,regional,6.84,Cloudflare,via_Transworld,7,LOCAL,24.4
cybernet,1016036,digikhata.pk,22.6,regional,9.04,Cloudflare,own_network_direct,8,LOCAL,25.6
ptcl,1016126,digikhata.pk,130.0,distant,52.0,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,287.3
cybernet,1016143,digikhata.pk,4.1,local,1.64,Cloudflare,own_network_direct_registry,4,LOCAL,4.8
cybernet,1016154,digikhata.pk,4.0,local,1.6,Cloudflare,own_network_direct_registry,3,LOCAL,4.2
ptcl,1016393,digikhata.pk,131.2,distant,52.48,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,467.5
zcom,7613,dogar.com.pk,91.3,distant,33.81,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,155.6
nayatel,60223,dogar.com.pk,2.7,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.1
transworld,62224,dogar.com.pk,95.9,distant,35.52,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.2
tes,64078,dogar.com.pk,98.0,distant,36.3,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,131.2
orbit,64535,dogar.com.pk,95.0,distant,35.19,Cloudflare,via_foreign_transit_China Mobile Intl (HK),13,TROMBONE,100.2
tes,64722,dogar.com.pk,78.0,distant,28.89,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.4
nayatel,65892,dogar.com.pk,2.8,local,1.04,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,dogar.com.pk,201.0,distant,74.44,Cloudflare,via_PTCL,7,TROMBONE,217.4
nova,1015679,dogar.com.pk,92.3,distant,34.19,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,107.3
cybernet,1016036,dogar.com.pk,22.6,regional,8.37,Cloudflare,own_network_direct,8,LOCAL,25.7
ptcl,1016126,dogar.com.pk,269.5,distant,99.81,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.6
cybernet,1016143,dogar.com.pk,4.3,local,1.59,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,dogar.com.pk,3.8,local,1.41,Cloudflare,own_network_direct_registry,3,LOCAL,4.1
ptcl,1016393,dogar.com.pk,267.7,distant,99.15,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,462.7
zcom,7613,historicalpoint.pk,94.9,distant,37.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,117.6
nayatel,60223,historicalpoint.pk,2.5,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
transworld,62224,historicalpoint.pk,94.7,distant,37.88,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,historicalpoint.pk,97.7,distant,39.08,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,104.1
orbit,64535,historicalpoint.pk,93.9,distant,37.56,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,147.8
tes,64722,historicalpoint.pk,78.0,distant,31.2,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.4
nayatel,65892,historicalpoint.pk,2.7,local,1.08,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
fasttel,1014872,historicalpoint.pk,200.9,distant,80.36,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,270.1
nova,1015679,historicalpoint.pk,92.6,distant,37.04,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,108.4
cybernet,1016036,historicalpoint.pk,22.5,regional,9.0,Cloudflare,own_network_direct,8,LOCAL,26.2
ptcl,1016126,historicalpoint.pk,262.7,distant,105.08,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,301.8
cybernet,1016143,historicalpoint.pk,4.5,local,1.8,Cloudflare,own_network_direct_registry,4,LOCAL,4.7
cybernet,1016154,historicalpoint.pk,3.5,local,1.4,Cloudflare,own_network_direct_registry,3,LOCAL,4.0
ptcl,1016393,historicalpoint.pk,268.3,distant,107.32,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,459.3
zcom,7613,honda.com.pk,16.3,regional,7.41,Cloudflare,via_Transworld,6,LOCAL,17.0
