msm_id,target,probe_id,dest_rtt,gap,trombone,p05,p95,evidence_supported,final_verdict
189032884,careers635.com.pk,1016393,38.247,False,False,,,False,False
189032884,careers635.com.pk,7613,22.158,False,False,,,False,False
189032884,careers635.com.pk,64535,40.463,True,False,,,False,False
189032884,careers635.com.pk,64722,3.606,False,False,,,False,False
189032884,careers635.com.pk,65892,3.222,False,False,,,False,False
189032884,careers635.com.pk,60223,3.433,False,False,,,False,False
189032884,careers635.com.pk,62224,1009.866,True,False,,,False,False
189032884,careers635.com.pk,64078,24.47,False,False,,,False,False
189032884,careers635.com.pk,1015679,51.327,True,False,,,False,False
189032884,careers635.com.pk,1016036,191.311,False,False,,,False,False
189032884,careers635.com.pk,1016126,47.728,True,False,,,False,False
189032884,careers635.com.pk,1016143,27.038,True,False,,,False,False
189032884,careers635.com.pk,1016393,39.439,False,False,,,False,False
189032884,careers635.com.pk,7613,22.177,False,False,,,False,False
189032884,careers635.com.pk,64535,42.145,True,False,,,False,False
189032884,careers635.com.pk,64722,3.932,False,False,,,False,False
189032884,careers635.com.pk,65892,3.89,False,False,,,False,False
189032884,careers635.com.pk,60223,3.022,False,False,,,False,False
189032884,careers635.com.pk,62224,1003.815,True,False,,,False,False
189032884,careers635.com.pk,64078,23.795,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.376,False,False,,,False,False
189032884,careers635.com.pk,1016036,190.317,True,False,,,False,False
189032884,careers635.com.pk,1016126,47.325,False,False,,,False,False
189032884,careers635.com.pk,1016143,24.284,True,False,,,False,False
189032884,careers635.com.pk,1016393,38.518,False,False,,,False,False
189032884,careers635.com.pk,7613,22.234,False,False,,,False,False
189032884,careers635.com.pk,64535,42.179,True,False,,,False,False
189032884,careers635.com.pk,64722,3.063,False,False,,,False,False
189032884,careers635.com.pk,65892,3.409,False,False,,,False,False
189032884,careers635.com.pk,60223,2.855,False,False,,,False,False
189032884,careers635.com.pk,62224,0.785,False,False,,,False,False
189032884,careers635.com.pk,64078,24.077,False,False,,,False,False
189032884,careers635.com.pk,1014872,12.364,False,False,,,False,False
189032884,careers635.com.pk,1015679,33.244,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.26,True,False,,,False,False
189032884,careers635.com.pk,1016126,47.811,True,False,,,False,False
189032884,careers635.com.pk,1016143,26.934,True,False,,,False,False
189032884,careers635.com.pk,1016393,38.965,False,False,,,False,False
189032884,careers635.com.pk,7613,22.264,False,False,,,False,False
189032884,careers635.com.pk,64535,41.55,True,False,,,False,False
189032884,careers635.com.pk,64722,4.162,False,False,,,False,False
189032884,careers635.com.pk,65892,2.878,False,False,,,False,False
189032884,careers635.com.pk,60223,2.869,False,False,,,False,False
189032884,careers635.com.pk,62224,1007.222,True,False,,,False,False
189032884,careers635.com.pk,64078,23.809,False,False,,,False,False
189032884,careers635.com.pk,1014872,6.514,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.253,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.668,True,False,,,False,False
189032884,careers635.com.pk,1016126,47.878,False,False,,,False,False
189032884,careers635.com.pk,1016143,26.728,True,False,,,False,False
189032884,careers635.com.pk,1016393,0.817,False,False,,,False,False
189032884,careers635.com.pk,7613,22.286,True,False,,,False,False
189032884,careers635.com.pk,64535,42.329,True,False,,,False,False
189032884,careers635.com.pk,64722,2.671,False,False,,,False,False
189032884,careers635.com.pk,65892,3.397,False,False,,,False,False
189032884,careers635.com.pk,60223,2.727,False,False,,,False,False
189032884,careers635.com.pk,62224,1006.234,True,False,,,False,False
189032884,careers635.com.pk,64078,22.717,False,False,,,False,False
189032884,careers635.com.pk,1014872,10.224,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.353,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.156,True,False,,,False,False
189032884,careers635.com.pk,1016126,47.749,True,False,,,False,False
189032884,careers635.com.pk,1016143,24.549,True,False,,,False,False
189032884,careers635.com.pk,1016393,34.384,True,False,,,False,False
189032884,careers635.com.pk,7613,22.295,True,False,,,False,False
189032884,careers635.com.pk,64535,42.1,True,False,,,False,False
189032884,careers635.com.pk,64722,3.953,False,False,,,False,False
189032884,careers635.com.pk,65892,3.463,False,False,,,False,False
189032884,careers635.com.pk,60223,2.988,False,False,,,False,False
189032884,careers635.com.pk,62224,1.063,False,False,,,False,False
189032884,careers635.com.pk,64078,24.127,False,False,,,False,False
189032884,careers635.com.pk,1014872,9.05,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.235,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.209,True,False,,,False,False
