probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
1016143,cybernet,worldlinkisp.pk,Pakistan,1036.0,10.146,23.4,2.31,True
1016154,cybernet,worldlinkisp.pk,Pakistan,1035.9,10.145,21.4,2.11,True
1016393,ptcl,worldlinkisp.pk,Pakistan,285.3,2.794,22.3,7.98,True
7613,zcom,youth.cn,Abroad,4563.1,44.689,91.2,2.04,True
7764,ptcl,youth.cn,Abroad,4555.0,44.61,97.3,2.18,True
60223,nayatel,youth.cn,Abroad,4819.3,47.197,97.3,2.06,True
62224,transworld,youth.cn,Abroad,4555.2,44.611,96.5,2.16,True
64078,tes,youth.cn,Abroad,4562.4,44.682,97.9,2.19,True
64535,orbit,youth.cn,Abroad,4642.8,45.47,94.2,2.07,True
64722,tes,youth.cn,Abroad,4727.0,46.294,78.2,1.69,True
65892,nayatel,youth.cn,Abroad,4562.1,44.679,97.1,2.17,True
1014872,fasttel,youth.cn,Abroad,4812.5,47.131,96.5,2.05,True
1015491,zcom,youth.cn,Abroad,4565.0,44.707,96.2,2.15,True
1015679,nova,youth.cn,Abroad,4553.0,44.59,96.5,2.16,True
1016126,ptcl,youth.cn,Abroad,4737.4,46.395,107.9,2.33,True
1016143,cybernet,youth.cn,Abroad,4737.2,46.394,80.5,1.74,True
1016154,cybernet,youth.cn,Abroad,4737.3,46.394,76.8,1.66,True
1016393,ptcl,youth.cn,Abroad,4841.0,47.41,98.7,2.08,True
7613,zcom,zcomnetworks.com.pk,Pakistan,8.3,0.081,0.2,2.46,False
7764,ptcl,zcomnetworks.com.pk,Pakistan,14.8,0.145,6.0,41.31,False
60223,nayatel,zcomnetworks.com.pk,Pakistan,266.6,2.611,37.5,14.36,True
62224,transworld,zcomnetworks.com.pk,Pakistan,14.7,0.144,4.2,29.12,False
64078,tes,zcomnetworks.com.pk,Pakistan,7.5,0.073,38.1,520.44,False
64535,orbit,zcomnetworks.com.pk,Pakistan,116.4,1.14,35.4,31.04,True
64722,tes,zcomnetworks.com.pk,Pakistan,1035.6,10.142,18.5,1.82,True
65892,nayatel,zcomnetworks.com.pk,Pakistan,7.8,0.077,38.3,500.23,False
1014872,fasttel,zcomnetworks.com.pk,Pakistan,257.7,2.524,38.9,15.41,True
1015491,zcom,zcomnetworks.com.pk,Pakistan,4.3,0.042,4.5,107.99,False
1015679,nova,zcomnetworks.com.pk,Pakistan,16.6,0.163,2.1,12.9,False
1016126,ptcl,zcomnetworks.com.pk,Pakistan,1035.9,10.145,41.3,4.07,True
1016143,cybernet,zcomnetworks.com.pk,Pakistan,1036.0,10.146,95.8,9.44,True
1016154,cybernet,zcomnetworks.com.pk,Pakistan,1035.9,10.145,94.4,9.3,True
1016393,ptcl,zcomnetworks.com.pk,Pakistan,285.3,2.794,14.1,5.05,True
