probe_id,target,frac,n
7613,efulife.com,0.9880952380952381,168
64078,efulife.com,0.9940476190476191,168
64722,efulife.com,0.9821428571428571,168
1014872,efulife.com,0.9811320754716981,159
1014872,fgeha.gov.pk,0.9811320754716981,159
1014872,sonic.pk,0.03773584905660377,159
1014872,trax.pk,0.018867924528301886,159
1014872,ztbl.com.pk,0.9811320754716981,159
1015679,efulife.com,0.9940476190476191,168
1016036,sonic.pk,0.005952380952380952,168
1016036,zcomnetworks.com.pk,0.9940476190476191,168
1016126,sonic.pk,0.03571428571428571,168
1016126,trax.pk,0.02976190476190476,168
