isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
nayatel,60223,logoofficial.com,2.5,local,1.0
transworld,62224,logoofficial.com,19.4,regional,7.76
tes,64078,logoofficial.com,22.5,regional,9.0
orbit,64535,logoofficial.com,18.5,regional,7.4
tes,64722,logoofficial.com,2.8,local,1.12
nayatel,65892,logoofficial.com,2.6,local,1.04
fasttel,1014872,logoofficial.com,22.2,regional,8.88
nova,1015679,logoofficial.com,17.3,regional,6.92
cybernet,1016036,logoofficial.com,127.6,distant,51.04
ptcl,1016126,logoofficial.com,25.2,regional,10.08
cybernet,1016143,logoofficial.com,99.4,distant,39.76
cybernet,1016154,logoofficial.com,99.1,distant,39.64
ptcl,1016393,logoofficial.com,28.4,regional,11.36
zcom,7613,meerzah.pk,15.7,regional,6.54
nayatel,60223,meerzah.pk,2.4,local,1.0
transworld,62224,meerzah.pk,19.0,regional,7.92
tes,64078,meerzah.pk,22.0,regional,9.17
orbit,64535,meerzah.pk,18.5,regional,7.71
tes,64722,meerzah.pk,2.4,local,1.0
nayatel,65892,meerzah.pk,2.7,local,1.13
fasttel,1014872,meerzah.pk,21.5,regional,8.96
nova,1015679,meerzah.pk,17.1,regional,7.13
cybernet,1016036,meerzah.pk,117.3,distant,48.88
ptcl,1016126,meerzah.pk,25.2,regional,10.5
cybernet,1016143,meerzah.pk,99.1,distant,41.29
cybernet,1016154,meerzah.pk,108.7,distant,45.29
ptcl,1016393,meerzah.pk,27.6,regional,11.5
zcom,7613,mepcoebillcheck.pk,91.0,distant,39.57
nayatel,60223,mepcoebillcheck.pk,2.3,local,1.0
transworld,62224,mepcoebillcheck.pk,95.0,distant,41.3
tes,64078,mepcoebillcheck.pk,97.7,distant,42.48
orbit,64535,mepcoebillcheck.pk,93.9,distant,40.83
tes,64722,mepcoebillcheck.pk,78.1,distant,33.96
nayatel,65892,mepcoebillcheck.pk,2.9,local,1.26
fasttel,1014872,mepcoebillcheck.pk,202.9,distant,88.22
nova,1015679,mepcoebillcheck.pk,96.4,distant,41.91
cybernet,1016036,mepcoebillcheck.pk,23.1,regional,10.04
ptcl,1016126,mepcoebillcheck.pk,265.5,distant,115.43
cybernet,1016143,mepcoebillcheck.pk,4.3,local,1.87
cybernet,1016154,mepcoebillcheck.pk,3.8,local,1.65
ptcl,1016393,mepcoebillcheck.pk,269.4,distant,117.13
zcom,7613,motifz.com.pk,15.7,regional,7.14
nayatel,60223,motifz.com.pk,2.2,local,1.0
transworld,62224,motifz.com.pk,20.1,regional,9.14
tes,64078,motifz.com.pk,21.9,regional,9.95
orbit,64535,motifz.com.pk,18.6,regional,8.45
tes,64722,motifz.com.pk,2.8,local,1.27
nayatel,65892,motifz.com.pk,2.9,local,1.32
fasttel,1014872,motifz.com.pk,21.8,regional,9.91
nova,1015679,motifz.com.pk,17.4,regional,7.91
cybernet,1016036,motifz.com.pk,117.5,distant,53.41
ptcl,1016126,motifz.com.pk,25.2,regional,11.45
cybernet,1016143,motifz.com.pk,99.4,distant,45.18
cybernet,1016154,motifz.com.pk,108.7,distant,49.41
ptcl,1016393,motifz.com.pk,27.7,regional,12.59
zcom,7613,pesconlinebill.pk,91.3,distant,43.48
nayatel,60223,pesconlinebill.pk,2.1,local,1.0
transworld,62224,pesconlinebill.pk,95.2,distant,45.33
tes,64078,pesconlinebill.pk,98.1,distant,46.71
orbit,64535,pesconlinebill.pk,93.4,distant,44.48
tes,64722,pesconlinebill.pk,78.1,distant,37.19
nayatel,65892,pesconlinebill.pk,2.7,local,1.29
fasttel,1014872,pesconlinebill.pk,127.1,distant,60.52
nova,1015679,pesconlinebill.pk,92.3,distant,43.95
cybernet,1016036,pesconlinebill.pk,22.6,regional,10.76
ptcl,1016126,pesconlinebill.pk,129.8,distant,61.81
cybernet,1016143,pesconlinebill.pk,4.3,local,2.05
cybernet,1016154,pesconlinebill.pk,3.7,local,1.76
ptcl,1016393,pesconlinebill.pk,129.9,distant,61.86
zcom,7613,pinkpetals.pk,91.9,distant,39.96
nayatel,60223,pinkpetals.pk,2.3,local,1.0
transworld,62224,pinkpetals.pk,94.2,distant,40.96
tes,64078,pinkpetals.pk,97.3,distant,42.3
orbit,64535,pinkpetals.pk,93.8,distant,40.78
tes,64722,pinkpetals.pk,78.1,distant,33.96
nayatel,65892,pinkpetals.pk,3.1,local,1.35
fasttel,1014872,pinkpetals.pk,200.3,distant,87.09
nova,1015679,pinkpetals.pk,92.8,distant,40.35
cybernet,1016036,pinkpetals.pk,22.3,regional,9.7
ptcl,1016126,pinkpetals.pk,262.9,distant,114.3
cybernet,1016143,pinkpetals.pk,4.5,local,1.96
cybernet,1016154,pinkpetals.pk,3.9,local,1.7
ptcl,1016393,pinkpetals.pk,268.2,distant,116.61
zcom,7613,reading.pk,91.4,distant,33.85
nayatel,60223,reading.pk,2.8,local,1.04
transworld,62224,reading.pk,95.1,distant,35.22
tes,64078,reading.pk,98.3,distant,36.41
orbit,64535,reading.pk,93.7,distant,34.7
tes,64722,reading.pk,78.1,distant,28.93
nayatel,65892,reading.pk,2.7,local,1.0
fasttel,1014872,reading.pk,203.9,distant,75.52
nova,1015679,reading.pk,92.3,distant,34.19
cybernet,1016036,reading.pk,22.0,regional,8.15
ptcl,1016126,reading.pk,276.9,distant,102.56
cybernet,1016143,reading.pk,4.6,local,1.7
cybernet,1016154,reading.pk,3.3,local,1.22
ptcl,1016393,reading.pk,267.6,distant,99.11
zcom,7613,sarazcollection.pk,15.7,regional,7.85
nayatel,60223,sarazcollection.pk,2.0,local,1.0
transworld,62224,sarazcollection.pk,19.7,regional,9.85
tes,64078,sarazcollection.pk,22.3,regional,11.15
orbit,64535,sarazcollection.pk,18.9,regional,9.45
tes,64722,sarazcollection.pk,2.9,local,1.45
nayatel,65892,sarazcollection.pk,2.7,local,1.35
fasttel,1014872,sarazcollection.pk,21.6,regional,10.8
nova,1015679,sarazcollection.pk,17.1,regional,8.55
cybernet,1016036,sarazcollection.pk,117.3,distant,58.65
ptcl,1016126,sarazcollection.pk,25.2,regional,12.6
cybernet,1016143,sarazcollection.pk,99.3,distant,49.65
cybernet,1016154,sarazcollection.pk,108.6,distant,54.3
ptcl,1016393,sarazcollection.pk,25.7,regional,12.85
zcom,7613,skyscanner.pk,30.5,regional,1.68
nayatel,60223,skyscanner.pk,40.1,regional,2.2
transworld,62224,skyscanner.pk,35.6,regional,1.96
tes,64078,skyscanner.pk,37.6,regional,2.07
orbit,64535,skyscanner.pk,34.5,regional,1.9
tes,64722,skyscanner.pk,19.9,regional,1.09
nayatel,65892,skyscanner.pk,39.5,regional,2.17
fasttel,1014872,skyscanner.pk,40.4,regional,2.22
nova,1015679,skyscanner.pk,34.0,regional,1.87
cybernet,1016036,skyscanner.pk,37.3,regional,2.05
ptcl,1016126,skyscanner.pk,43.7,regional,2.4
cybernet,1016143,skyscanner.pk,19.3,regional,1.06
cybernet,1016154,skyscanner.pk,18.2,regional,1.0
ptcl,1016393,skyscanner.pk,43.4,regional,2.38
zcom,7613,thefrontierpost.com,91.1,distant,36.44
nayatel,60223,thefrontierpost.com,2.5,local,1.0
transworld,62224,thefrontierpost.com,95.5,distant,38.2
tes,64078,thefrontierpost.com,97.7,distant,39.08
orbit,64535,thefrontierpost.com,93.4,distant,37.36
tes,64722,thefrontierpost.com,78.4,distant,31.36
nayatel,65892,thefrontierpost.com,2.9,local,1.16
fasttel,1014872,thefrontierpost.com,201.8,distant,80.72
nova,1015679,thefrontierpost.com,92.5,distant,37.0
cybernet,1016036,thefrontierpost.com,22.7,regional,9.08
ptcl,1016126,thefrontierpost.com,269.0,distant,107.6
cybernet,1016143,thefrontierpost.com,4.2,local,1.68
cybernet,1016154,thefrontierpost.com,3.9,local,1.56
ptcl,1016393,thefrontierpost.com,265.7,distant,106.28
zcom,7613,urbanbeauty.pk,16.0,regional,6.96
nayatel,60223,urbanbeauty.pk,2.3,local,1.0
transworld,62224,urbanbeauty.pk,19.2,regional,8.35
tes,64078,urbanbeauty.pk,22.8,regional,9.91
orbit,64535,urbanbeauty.pk,18.4,regional,8.0
tes,64722,urbanbeauty.pk,2.6,local,1.13
nayatel,65892,urbanbeauty.pk,3.1,local,1.35
fasttel,1014872,urbanbeauty.pk,22.6,regional,9.83
nova,1015679,urbanbeauty.pk,16.9,regional,7.35
cybernet,1016036,urbanbeauty.pk,127.6,distant,55.48
ptcl,1016126,urbanbeauty.pk,25.1,regional,10.91
cybernet,1016143,urbanbeauty.pk,99.1,distant,43.09
cybernet,1016154,urbanbeauty.pk,98.4,distant,42.78
ptcl,1016393,urbanbeauty.pk,27.6,regional,12.0
zcom,7613,vidmateapp.com.pk,91.9,distant,39.96
nayatel,60223,vidmateapp.com.pk,2.3,local,1.0
transworld,62224,vidmateapp.com.pk,95.8,distant,41.65
tes,64078,vidmateapp.com.pk,98.1,distant,42.65
orbit,64535,vidmateapp.com.pk,94.3,distant,41.0
tes,64722,vidmateapp.com.pk,78.2,distant,34.0
nayatel,65892,vidmateapp.com.pk,2.9,local,1.26
fasttel,1014872,vidmateapp.com.pk,125.1,distant,54.39
nova,1015679,vidmateapp.com.pk,92.8,distant,40.35
cybernet,1016036,vidmateapp.com.pk,22.2,regional,9.65
ptcl,1016126,vidmateapp.com.pk,136.3,distant,59.26
cybernet,1016143,vidmateapp.com.pk,4.2,local,1.83
cybernet,1016154,vidmateapp.com.pk,4.1,local,1.78
ptcl,1016393,vidmateapp.com.pk,131.1,distant,57.0
zcom,7613,wbm.com.pk,15.7,regional,5.81
nayatel,60223,wbm.com.pk,2.9,local,1.07
transworld,62224,wbm.com.pk,19.3,regional,7.15
tes,64078,wbm.com.pk,22.2,regional,8.22
orbit,64535,wbm.com.pk,19.1,regional,7.07
tes,64722,wbm.com.pk,2.7,local,1.0
nayatel,65892,wbm.com.pk,2.8,local,1.04
fasttel,1014872,wbm.com.pk,22.1,regional,8.19
nova,1015679,wbm.com.pk,17.4,regional,6.44
cybernet,1016036,wbm.com.pk,117.5,distant,43.52
ptcl,1016126,wbm.com.pk,25.2,regional,9.33
cybernet,1016143,wbm.com.pk,99.2,distant,36.74
cybernet,1016154,wbm.com.pk,108.4,distant,40.15
ptcl,1016393,wbm.com.pk,26.2,regional,9.7
zcom,7613,zarajahan.pk,15.7,regional,6.83
nayatel,60223,zarajahan.pk,2.3,local,1.0
transworld,62224,zarajahan.pk,19.2,regional,8.35
tes,64078,zarajahan.pk,22.0,regional,9.57
orbit,64535,zarajahan.pk,18.2,regional,7.91
tes,64722,zarajahan.pk,2.8,local,1.22
nayatel,65892,zarajahan.pk,2.7,local,1.17
fasttel,1014872,zarajahan.pk,21.7,regional,9.43
nova,1015679,zarajahan.pk,17.3,regional,7.52
cybernet,1016036,zarajahan.pk,117.5,distant,51.09
ptcl,1016126,zarajahan.pk,25.1,regional,10.91
cybernet,1016143,zarajahan.pk,99.2,distant,43.13
cybernet,1016154,zarajahan.pk,108.7,distant,47.26
ptcl,1016393,zarajahan.pk,25.3,regional,11.0
zcom,7613,zing.pk,15.8,regional,6.87
nayatel,60223,zing.pk,2.3,local,1.0
transworld,62224,zing.pk,19.4,regional,8.43
tes,64078,zing.pk,22.0,regional,9.57
orbit,64535,zing.pk,18.1,regional,7.87
tes,64722,zing.pk,2.8,local,1.22
nayatel,65892,zing.pk,2.8,local,1.22
fasttel,1014872,zing.pk,21.6,regional,9.39
nova,1015679,zing.pk,17.1,regional,7.43
cybernet,1016036,zing.pk,117.1,distant,50.91
ptcl,1016126,zing.pk,25.1,regional,10.91
cybernet,1016143,zing.pk,99.6,distant,43.3
cybernet,1016154,zing.pk,108.4,distant,47.13
ptcl,1016393,zing.pk,27.5,regional,11.96
zcom,7613,glory-casino.net.pk,91.5,distant,41.59
nayatel,60223,glory-casino.net.pk,2.2,local,1.0
transworld,62224,glory-casino.net.pk,94.4,distant,42.91
tes,64078,glory-casino.net.pk,97.5,distant,44.32
orbit,64535,glory-casino.net.pk,94.7,distant,43.05
tes,64722,glory-casino.net.pk,78.2,distant,35.55
nayatel,65892,glory-casino.net.pk,2.8,local,1.27
fasttel,1014872,glory-casino.net.pk,201.4,distant,91.55
nova,1015679,glory-casino.net.pk,92.7,distant,42.14
cybernet,1016036,glory-casino.net.pk,22.9,regional,10.41
ptcl,1016126,glory-casino.net.pk,277.5,distant,126.14
cybernet,1016143,glory-casino.net.pk,4.2,local,1.91
cybernet,1016154,glory-casino.net.pk,3.8,local,1.73
ptcl,1016393,glory-casino.net.pk,271.7,distant,123.5
zcom,7613,idc.net.pk,137.0,distant,1.16
nayatel,60223,idc.net.pk,133.5,distant,1.14
transworld,62224,idc.net.pk,149.9,distant,1.27
tes,64078,idc.net.pk,138.6,distant,1.18
orbit,64535,idc.net.pk,136.2,distant,1.16
tes,64722,idc.net.pk,122.2,distant,1.04
nayatel,65892,idc.net.pk,134.0,distant,1.14
fasttel,1014872,idc.net.pk,137.1,distant,1.17
nova,1015679,idc.net.pk,136.5,distant,1.16
cybernet,1016036,idc.net.pk,135.7,distant,1.15
ptcl,1016126,idc.net.pk,137.3,distant,1.17
cybernet,1016143,idc.net.pk,117.6,distant,1.0
cybernet,1016154,idc.net.pk,127.0,distant,1.08
ptcl,1016393,idc.net.pk,137.7,distant,1.17
zcom,7613,wancom.net.pk,91.5,distant,35.19
nayatel,60223,wancom.net.pk,2.8,local,1.08
transworld,62224,wancom.net.pk,94.6,distant,36.38
tes,64078,wancom.net.pk,97.1,distant,37.35
orbit,64535,wancom.net.pk,94.4,distant,36.31
tes,64722,wancom.net.pk,78.3,distant,30.12
nayatel,65892,wancom.net.pk,2.6,local,1.0
fasttel,1014872,wancom.net.pk,202.2,distant,77.77
