isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
zcom,7613,paknavy.gov.pk,16.0,regional,6.4
nayatel,60223,paknavy.gov.pk,2.5,local,1.0
transworld,62224,paknavy.gov.pk,20.2,regional,8.08
tes,64078,paknavy.gov.pk,22.9,regional,9.16
orbit,64535,paknavy.gov.pk,18.5,regional,7.4
tes,64722,paknavy.gov.pk,3.0,local,1.2
nayatel,65892,paknavy.gov.pk,3.1,local,1.24
fasttel,1014872,paknavy.gov.pk,21.7,regional,8.68
nova,1015679,paknavy.gov.pk,17.4,regional,6.96
cybernet,1016036,paknavy.gov.pk,23.3,regional,9.32
ptcl,1016126,paknavy.gov.pk,25.4,regional,10.16
cybernet,1016143,paknavy.gov.pk,4.4,local,1.76
cybernet,1016154,paknavy.gov.pk,3.7,local,1.48
ptcl,1016393,paknavy.gov.pk,25.1,regional,10.04
zcom,7613,pnmc.gov.pk,91.3,distant,38.04
nayatel,60223,pnmc.gov.pk,2.4,local,1.0
transworld,62224,pnmc.gov.pk,95.3,distant,39.71
tes,64078,pnmc.gov.pk,98.2,distant,40.92
orbit,64535,pnmc.gov.pk,94.1,distant,39.21
tes,64722,pnmc.gov.pk,78.3,distant,32.62
nayatel,65892,pnmc.gov.pk,2.7,local,1.13
fasttel,1014872,pnmc.gov.pk,201.0,distant,83.75
nova,1015679,pnmc.gov.pk,96.4,distant,40.17
cybernet,1016036,pnmc.gov.pk,22.0,regional,9.17
ptcl,1016126,pnmc.gov.pk,276.8,distant,115.33
cybernet,1016143,pnmc.gov.pk,4.2,local,1.75
cybernet,1016154,pnmc.gov.pk,3.8,local,1.58
ptcl,1016393,pnmc.gov.pk,265.1,distant,110.46
zcom,7613,gamcamedical.pk,91.4,distant,1.18
nayatel,60223,gamcamedical.pk,96.9,distant,1.25
transworld,62224,gamcamedical.pk,95.4,distant,1.23
tes,64078,gamcamedical.pk,98.1,distant,1.27
orbit,64535,gamcamedical.pk,94.8,distant,1.22
tes,64722,gamcamedical.pk,78.7,distant,1.02
nayatel,65892,gamcamedical.pk,98.3,distant,1.27
fasttel,1014872,gamcamedical.pk,96.7,distant,1.25
nova,1015679,gamcamedical.pk,93.0,distant,1.2
cybernet,1016036,gamcamedical.pk,256.3,distant,3.31
ptcl,1016126,gamcamedical.pk,107.5,distant,1.39
cybernet,1016143,gamcamedical.pk,77.4,distant,1.0
cybernet,1016154,gamcamedical.pk,78.4,distant,1.01
ptcl,1016393,gamcamedical.pk,102.2,distant,1.32
zcom,7613,airblue.com,16.1,regional,7.0
nayatel,60223,airblue.com,2.3,local,1.0
transworld,62224,airblue.com,19.9,regional,8.65
tes,64078,airblue.com,22.3,regional,9.7
orbit,64535,airblue.com,19.1,regional,8.3
tes,64722,airblue.com,2.8,local,1.22
nayatel,65892,airblue.com,2.6,local,1.13
fasttel,1014872,airblue.com,21.2,regional,9.22
nova,1015679,airblue.com,16.9,regional,7.35
cybernet,1016036,airblue.com,22.7,regional,9.87
ptcl,1016126,airblue.com,25.4,regional,11.04
cybernet,1016143,airblue.com,4.2,local,1.83
cybernet,1016154,airblue.com,4.1,local,1.78
ptcl,1016393,airblue.com,24.7,regional,10.74
