ip,asn,registered_cc,org,geoip_city,times_qualified,times_first_foreign_hop,n_probes,rtt_median_ms,rtt_min_ms,rtt_max_ms,incr_rtt_median_ms,incr_rtt_p10_ms,incr_rtt_p90_ms,incr_negative_pct,incr_samples,no_preceding_hop,ixp_peering_lan,ixp_prefix
2.21.120.152,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,35,0,3,102.6,101.2,117.8,3.6,-9.3,4.0,22.9,35,0,,
2.21.120.88,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,28,2,3,98.8,97.9,344.4,0.1,-0.2,0.5,42.9,28,0,,
223.120.3.165,58453,HK,"CMI-INT-HK - China Mobile International Limited, HK",,26,26,1,275.4,270.0,278.5,272.7,248.8,274.5,0.0,26,0,,
206.148.22.141,7578,US,"GSL - Global Secure Layer, AU",New York,26,0,1,118.9,118.5,119.8,8.0,7.5,8.3,0.0,26,0,,
160.202.164.165,137409,NZ,"GSLNETWORKS-AS-AP - GSL Networks Pty LTD, AU",Los Angeles,26,0,1,113.6,112.4,114.7,-5.2,-6.3,-4.7,100.0,26,0,,
223.118.6.222,58453,HK,"CMI-INT-HK - China Mobile International Limited, HK",,25,25,1,272.0,268.5,274.0,248.1,246.3,270.1,0.0,25,0,,
2.21.120.57,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,23,0,3,102.2,96.6,277.2,-1.0,-17.7,-0.1,95.7,23,0,,
2.21.120.187,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,23,0,2,115.7,97.8,149.5,-6.4,-9.8,15.4,65.2,23,0,,
134.0.220.234,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",Muscat,20,0,2,129.7,111.5,473.2,-2.7,-82.5,17.2,65.0,20,0,,
172.69.244.96,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",Karachi,19,9,2,61.1,43.9,202.5,5.1,-15.1,75.2,26.3,19,0,,
213.202.6.197,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",Muscat,17,0,2,121.0,111.7,364.2,-62.4,-98.5,13.2,70.6,17,0,,
213.202.6.202,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",,17,0,1,115.8,113.8,118.1,0.0,-1.9,2.9,47.1,17,0,,
223.120.23.37,58453,HK,"CMI-INT-HK - China Mobile International Limited, HK",,15,0,1,194.8,192.0,196.3,-80.8,-82.8,-75.4,100.0,15,0,,
213.202.6.217,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",,15,0,1,116.0,115.1,132.8,2.5,1.8,10.8,0.0,15,0,,
