class,target,cisa_sector,isp_cdn,tranco_rank,ahrefs_rank,ahrefs_category,validated_ip,resolve,source
CDN,idc.net.pk,Communications,Google,727218,,,,probe,exp07_original
CDN,wancom.net.pk,Communications,Cloudflare,173018,,,,probe,exp07_original
Abroad,en.dailypakistan.com.pk,Communications,"LEASEWEB-DE-FRA-10 - Leaseweb Deutschland GmbH, DE",51303,,,,probe,exp07_original
Pakistan,bbise.edu.pk,Education,Wateen Telecom Limited,102173,,,,probe,exp07_original
Pakistan,iub.edu.pk,Education,HEC,294518,,,,probe,exp07_original
Pakistan,iulms.edu.pk,Education,Iqra University,215354,,,,probe,exp07_original
Pakistan,pefsis.edu.pk,Education,PTCL Triple Play Project,95138,,,,probe,exp07_original
CDN,bnbwu.edu.pk,Education,Sucuri,666388,,,,probe,exp07_original
CDN,ibcc.edu.pk,Education,Cloudflare,607569,,,,probe,exp07_original
CDN,uos.edu.pk,Education,Cloudflare,602396,,,,probe,exp07_original
CDN,zu.edu.pk,Education,Cloudflare,384473,,,,probe,exp07_original
Abroad,duet.edu.pk,Education,Limestone Networks (US),555488,,,,probe,exp07_original
Abroad,uvas.edu.pk,Education,HOSTINGER (SG),340898,,,,probe,exp07_original
Pakistan,mepco.com.pk,Energy,PITC,,,,,probe,exp07_original
CDN,pesco.com.pk,Energy,Cloudflare,,,,,probe,exp07_original
Abroad,ke.com.pk,Energy,ManagedWay (US),173002,,,,probe,exp07_original
Pakistan,efulife.com,Financial Services,EFU LIFE Assurance Ltd,567489,,,,probe,exp07_original
Pakistan,ztbl.com.pk,Financial Services,Cyber Internet Services (Private) Limited,853941,,,,probe,exp07_original
CDN,khushhalibank.com.pk,Financial Services,AWS CloudFront,,,,,probe,exp07_original
CDN,mcb.com.pk,Financial Services,Sucuri,276384,,,,probe,exp07_original
Pakistan,cmu.gov.pk,Government Services & Facilities,Nayatel (Pvt) Ltd,770706,,,,probe,exp07_original
Pakistan,epads.gov.pk,Government Services & Facilities,Pakistan Telecommuication company limited,208609,,,,probe,exp07_original
Pakistan,fgeha.gov.pk,Government Services & Facilities,Cyber Internet Services (Private) Limited,,,,,probe,exp07_original
Pakistan,sindh.gov.pk,Government Services & Facilities,National Telecommunication Corporation,353152,,,,probe,exp07_original
CDN,ajk.gov.pk,Government Services & Facilities,Cloudflare,178981,,,,probe,exp07_original
CDN,joinasf.gov.pk,Government Services & Facilities,Cloudflare,794308,,,,probe,exp07_original
CDN,paknavy.gov.pk,Government Services & Facilities,Cloudflare,288229,,,,probe,exp07_original
CDN,pnmc.gov.pk,Government Services & Facilities,Cloudflare,636332,,,,probe,exp07_original
Abroad,gbappsup.org.pk,Government Services & Facilities,Telkom Internet LTD (AZ),635270,,,,probe,exp07_original
Abroad,kppsc.gov.pk,Government Services & Facilities,Hetzner Online GmbH (DE),186459,,,,probe,exp07_original
Abroad,ptea.org.pk,Government Services & Facilities,WHG Hosting Services Ltd (GB),818906,,,,probe,exp07_original
Pakistan,cpsp.edu.pk,Healthcare & Public Health,HEC,70696,,,,probe,exp07_original
CDN,gamcamedical.pk,Healthcare & Public Health,Google,783831,,,,probe,exp07_original
Abroad,serenepharma.com.pk,Healthcare & Public Health,Hetzner Online GmbH (FI),825423,,,,probe,exp07_original
Pakistan,roadmaster.pk,Transportation Systems,Pakistan Telecommuication company limited,,,,,probe,exp07_original
CDN,airblue.com,Transportation Systems,Cloudflare,76915,,,,probe,exp07_original
