kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
trace,64078,tes.lhe,1016143,cybernet.khi,103.244.174.231,local,,,,,23.2,23.2,10,False,,,,,204225222
trace,64722,tes.khi,7613,zcom.lhe,157.20.147.16,local,,,,,18.9,19.1,7,True,,,,,204225224
trace,64722,tes.khi,60223,nayatel.isb,154.192.15.243,local,,,,,22.9,22.9,12,False,,,,,204225227
trace,64722,tes.khi,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=986 max_rtt=1007,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,1006.6,1006.6,9,True,,,,,204225228
trace,64722,tes.khi,64078,tes.lhe,149.40.243.172,local,,,,,3.5,3.7,9,False,,,,,204225231
trace,64722,tes.khi,65892,nayatel.lhe,154.192.116.198,local,,,,,23.9,24.0,12,False,,,,,204225234
trace,64722,tes.khi,1014872,fasttel.isb,103.189.68.92,local,,,,,23.9,24.1,12,False,,,,,204225236
trace,64722,tes.khi,1015210,ptcl.khi,182.185.145.65,local,,,,,19.6,20.4,12,False,,,,,204225240
trace,64722,tes.khi,1015679,nova.lhe,103.184.1.10,local,,,,,20.3,20.6,12,False,,,,,204225245
trace,64722,tes.khi,1016036,cybernet.hrp,72.255.54.129,local,,,,,4.2,4.3,11,False,,,,,204225248
trace,64722,tes.khi,1016126,ptcl.khi,39.39.112.114,local,,,,,3.2,3.6,10,False,,,,,204225250
trace,64722,tes.khi,1016143,cybernet.khi,103.244.174.231,local,,,,,4.4,5.2,11,False,,,,,204225254
trace,65892,nayatel.lhe,7613,zcom.lhe,157.20.147.16,local,,,,,39.5,39.6,8,True,,,,,204225255
trace,65892,nayatel.lhe,60223,nayatel.isb,154.192.15.243,local,,,,,5.1,5.3,12,False,,,,,204225257
trace,65892,nayatel.lhe,62224,transworld.lhe,110.93.235.222,local,,,,,3.6,3.9,8,False,,,,,204225267
trace,65892,nayatel.lhe,64078,tes.lhe,149.40.243.172,local,,,,,3.6,3.9,8,False,,,,,204225270
trace,65892,nayatel.lhe,64722,tes.khi,119.73.97.135,local,,,,,4.1,4.8,8,False,,,,,204225271
trace,65892,nayatel.lhe,1014872,fasttel.isb,103.189.68.92,local,,,,,4.7,5.8,8,False,,,,,204225275
trace,65892,nayatel.lhe,1015210,ptcl.khi,182.185.145.65,local,,,,,2.4,3.6,8,False,,,,,204225277
trace,65892,nayatel.lhe,1015679,nova.lhe,103.184.1.10,local,,,,,3.5,4.1,8,False,,,,,204225278
trace,65892,nayatel.lhe,1016036,cybernet.hrp,72.255.54.129,local,,,,,3.3,3.3,8,False,,,,,204225281
trace,65892,nayatel.lhe,1016126,ptcl.khi,39.39.112.114,local,,,,,3.5,3.6,8,False,,,,,204225282
trace,65892,nayatel.lhe,1016143,cybernet.khi,103.244.174.231,local,,,,,3.1,3.6,8,False,,,,,204225284
trace,1014872,fasttel.isb,7613,zcom.lhe,157.20.147.16,local,,,,,44.3,43.9,8,True,,,,,204225286
trace,1014872,fasttel.isb,60223,nayatel.isb,154.192.15.243,local,,,,,10.2,8.5,15,False,,,,,204225288
trace,1014872,fasttel.isb,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=994 max_rtt=1038,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,1038.3,1038.3,10,True,,,,,204225290
trace,1014872,fasttel.isb,64078,tes.lhe,149.40.243.172,local,,,,,18.8,8.5,12,False,,,,,204225292
trace,1014872,fasttel.isb,64722,tes.khi,119.73.97.135,local,,,,,28.6,31.1,14,False,,,,,204225294
trace,1014872,fasttel.isb,65892,nayatel.lhe,154.192.116.198,local,,,,,9.9,4.5,16,False,,,,,204225295
trace,1014872,fasttel.isb,1015210,ptcl.khi,182.185.145.65,local,,,,,17.4,18.4,14,False,,,,,204225298
