hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
pakistan.gov.pk,Pakistan Govt Portal,government,60223,23674,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:00:26.007120+00:00
pakistan.gov.pk,Pakistan Govt Portal,government,62224,38193,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:00:26.007472+00:00
pakistan.gov.pk,Pakistan Govt Portal,government,7613,152605,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:00:26.007726+00:00
punjab.gov.pk,Punjab Govt,government,60223,23674,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",2026-06-06T17:00:31.076826+00:00
punjab.gov.pk,Punjab Govt,government,62224,38193,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",2026-06-06T17:00:31.077073+00:00
punjab.gov.pk,Punjab Govt,government,7613,152605,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",2026-06-06T17:00:31.077247+00:00
sindh.gov.pk,Sindh Govt,government,60223,23674,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:36.299589+00:00
sindh.gov.pk,Sindh Govt,government,62224,38193,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:36.299823+00:00
sindh.gov.pk,Sindh Govt,government,7613,152605,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:36.299918+00:00
kp.gov.pk,KPK Govt,government,60223,23674,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:39.409759+00:00
kp.gov.pk,KPK Govt,government,62224,38193,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:39.410604+00:00
kp.gov.pk,KPK Govt,government,7613,152605,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:39.411207+00:00
balochistan.gov.pk,Balochistan Govt,government,60223,23674,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",2026-06-06T17:00:44.586385+00:00
balochistan.gov.pk,Balochistan Govt,government,62224,38193,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",2026-06-06T17:00:44.586722+00:00
balochistan.gov.pk,Balochistan Govt,government,7613,152605,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",2026-06-06T17:00:44.586974+00:00
pta.gov.pk,PTA,government,60223,23674,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:47.648463+00:00
pta.gov.pk,PTA,government,62224,38193,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:47.648775+00:00
pta.gov.pk,PTA,government,7613,152605,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:00:47.649012+00:00
fbr.gov.pk,FBR,government,60223,23674,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",2026-06-06T17:00:52.853038+00:00
fbr.gov.pk,FBR,government,62224,38193,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",2026-06-06T17:00:52.853386+00:00
fbr.gov.pk,FBR,government,7613,152605,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",2026-06-06T17:00:52.853634+00:00
nadra.gov.pk,NADRA,government,60223,23674,23.206.197.50;23.206.197.72,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",2026-06-06T17:00:58.166135+00:00
nadra.gov.pk,NADRA,government,62224,38193,2.19.193.138;2.19.193.169,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",2026-06-06T17:01:00.220459+00:00
nadra.gov.pk,NADRA,government,7613,152605,2.23.84.10;2.23.84.46;23.48.214.75;23.48.214.80,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",2026-06-06T17:01:02.472526+00:00
hec.gov.pk,HEC,government,60223,23674,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:01:07.996851+00:00
hec.gov.pk,HEC,government,62224,38193,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:01:07.997150+00:00
hec.gov.pk,HEC,government,7613,152605,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",2026-06-06T17:01:07.997358+00:00
secp.gov.pk,SECP,government,60223,23674,104.20.33.223;172.66.157.118,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:01:13.268685+00:00
secp.gov.pk,SECP,government,62224,38193,104.20.33.223;172.66.157.118,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:01:13.269252+00:00
secp.gov.pk,SECP,government,7613,152605,104.20.33.223;172.66.157.118,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:01:13.269663+00:00
