hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
propakistani.pk,ProPakistani,news,60223,23674,104.26.12.229;104.26.13.229;172.67.71.114,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:26.653052+00:00
propakistani.pk,ProPakistani,news,62224,38193,104.26.12.229;104.26.13.229;172.67.71.114,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:26.654193+00:00
propakistani.pk,ProPakistani,news,7613,152605,104.26.12.229;104.26.13.229;172.67.71.114,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:26.655026+00:00
tribune.com.pk,Tribune,news,60223,23674,104.18.193.13;104.18.194.13,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:30.063654+00:00
tribune.com.pk,Tribune,news,62224,38193,104.18.193.13;104.18.194.13,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:30.064000+00:00
tribune.com.pk,Tribune,news,7613,152605,104.18.193.13;104.18.194.13,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:30.064281+00:00
24newshd.tv,24 News HD,news,60223,23674,65.21.69.178,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:35.793356+00:00
24newshd.tv,24 News HD,news,62224,38193,65.21.69.178,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:35.793793+00:00
24newshd.tv,24 News HD,news,7613,152605,65.21.69.178,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:35.794118+00:00
such.tv,Such TV,news,60223,23674,13.248.169.48;76.223.54.146,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:24:41.168433+00:00
such.tv,Such TV,news,62224,38193,13.248.169.48;76.223.54.146,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:24:41.169267+00:00
such.tv,Such TV,news,7613,152605,13.248.169.48;76.223.54.146,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:24:41.169864+00:00
urdupoint.com,UrduPoint,news,60223,23674,104.26.6.27;104.26.7.27;172.67.68.78,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:44.607318+00:00
urdupoint.com,UrduPoint,news,62224,38193,104.26.6.27;104.26.7.27;172.67.68.78,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:44.607932+00:00
urdupoint.com,UrduPoint,news,7613,152605,104.26.6.27;104.26.7.27;172.67.68.78,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:24:44.608477+00:00
nawaiwaqt.com.pk,Nawa-i-Waqt,news,60223,23674,65.109.88.147,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:47.890529+00:00
nawaiwaqt.com.pk,Nawa-i-Waqt,news,62224,38193,65.109.88.147,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:47.890776+00:00
nawaiwaqt.com.pk,Nawa-i-Waqt,news,7613,152605,65.109.88.147,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:47.890957+00:00
dailypakistan.com.pk,Daily Pakistan,news,62224,38193,65.109.77.254,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:51.364082+00:00
dailypakistan.com.pk,Daily Pakistan,news,7613,152605,65.109.77.254,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:51.364336+00:00
dailypakistan.com.pk,Daily Pakistan,news,60223,23674,65.109.77.254,24940,"HETZNER-AS - Hetzner Online GmbH, DE",2026-06-06T17:24:51.364435+00:00
businessrecorder.com,Business Recorder,news,60223,23674,,,,2026-06-06T17:24:52.395051+00:00
businessrecorder.com,Business Recorder,news,62224,38193,,,,2026-06-06T17:24:52.395073+00:00
businessrecorder.com,Business Recorder,news,7613,152605,,,,2026-06-06T17:24:52.395187+00:00
hbl.com,HBL Bank,banking,60223,23674,45.60.109.176;45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",2026-06-06T17:24:58.000629+00:00
hbl.com,HBL Bank,banking,62224,38193,45.60.109.176;45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",2026-06-06T17:24:58.000959+00:00
hbl.com,HBL Bank,banking,7613,152605,45.60.109.176;45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",2026-06-06T17:24:58.001258+00:00
mcb.com.pk,MCB Bank,banking,60223,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",2026-06-06T17:25:03.700224+00:00
mcb.com.pk,MCB Bank,banking,62224,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",2026-06-06T17:25:03.700485+00:00
mcb.com.pk,MCB Bank,banking,7613,152605,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",2026-06-06T17:25:03.700658+00:00
