domain,ip,status
sparklinks.pk,37.27.111.123,EXISTS (HTTP 200)
ses.net.pk,192.250.235.74,EXISTS (HTTP 200)
superfast.net.pk,66.45.245.11,EXISTS (HTTP 200)
scpl.pk,127.0.0.1,EXISTS (HTTP 200)
supernetglobal.com,203.130.2.162,EXISTS (HTTP 200)
tech3speed.com.pk,217.196.54.127,"EXISTS (DNS only, HTTP failed)"
telecard.com.pk,116.0.56.100,"EXISTS (DNS only, HTTP failed)"
teleco-solutions.com,210.2.169.190,EXISTS (HTTP 200)
nexlinx.net.pk,202.59.80.26,EXISTS (HTTP 200)
tw1.com,162.159.136.54,EXISTS (HTTP 200)
teznet.com.pk,65.21.166.30,"EXISTS (DNS only, HTTP failed)"
nova.net.pk,104.21.25.16,EXISTS (HTTP 200)
wateen.com,91.108.117.126,EXISTS (HTTP 200)
topcity-1.com,101.50.107.196,EXISTS (HTTP 200)
worldcall.net.pk,156.67.75.8,EXISTS (HTTP 200)
uconnect.net.pk,167.235.114.61,"EXISTS (DNS only, HTTP failed)"
upnet.com.pk,103.186.78.10,EXISTS (HTTP 200)
visiontelecom.com.pk,188.245.36.238,EXISTS (HTTP 200)
wancom.net.pk,172.67.154.217,EXISTS (HTTP 200)
wavecomm.com.pk,216.198.79.1,EXISTS (HTTP 200)
waylink.com.pk,94.136.168.173,EXISTS (HTTP 200)
wcpl.com.pk,15.204.150.217,EXISTS (HTTP 200)
winet.com.pk,76.76.21.21,EXISTS (HTTP 200)
wideband.com.pk,103.49.69.6,"EXISTS (DNS only, HTTP failed)"
wisecomm.net.pk,217.160.0.220,"EXISTS (DNS only, HTTP failed)"
worldcall.pk,117.102.19.21,EXISTS (HTTP 200)
xfiber.pk,95.217.116.67,"EXISTS (DNS only, HTTP failed)"
xtreamfiber.net.pk,172.67.201.82,EXISTS (HTTP 200)
ylinx.pk,172.67.218.186,EXISTS (HTTP 200)
