# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
libertybooks.com,CDN,Cloudflare,132098
khazanay.pk,CDN,Cloudflare,175712
samsung.com,Abroad,SamsungSDS Inc. (KR),94
priceoye.pk,CDN,Cloudflare,9438
whatmobile.com.pk,CDN,Cloudflare,21341
saya.pk,CDN,Cloudflare,9371
junaidjamshed.com,CDN,Cloudflare,10269
zellbury.com,CDN,Cloudflare,9822
edenrobe.com,CDN,Cloudflare,23017
stylo.pk,CDN,Cloudflare,22137
nishatlinen.com,CDN,Cloudflare,9973
gulahmedshop.com,CDN,Cloudflare,63182
outfitters.com.pk,CDN,Cloudflare,83839
beechtree.pk,CDN,Cloudflare,21551
nutrifactor.com.pk,CDN,Cloudflare,82477
jenpharm.com,CDN,Cloudflare,86037
exportleftovers.com,CDN,Cloudflare,66349
dawlance.com.pk,Abroad,Vodafone Net Iletisim Hizmetleri A.S. (TR),86815
sapphireonline.pk,Abroad,easyDNS Technologies  Inc. (CA),9831
limelight.pk,CDN,Cloudflare,10615
khaadi.com,CDN,AWS CloudFront,22433
breakout.com.pk,CDN,Cloudflare,90736
audionic.co,CDN,Cloudflare,88406
ndure.com,CDN,Cloudflare,82535
engine.com.pk,CDN,Cloudflare,87906
bachaaparty.com,CDN,Cloudflare,60688
mistore.pk,CDN,Cloudflare,80717
crossstitch.pk,CDN,Cloudflare,84930
alfatah.pk,CDN,Cloudflare,70640
bonanzasatrangi.com,CDN,Cloudflare,74067
czone.com.pk,CDN,Cloudflare,552131
asimjofa.com,CDN,Cloudflare,83526
metro-online.pk,Abroad,WHG Hosting Services Ltd (SG),556388
bata.com.pk,CDN,Cloudflare,84915
unze.com.pk,CDN,Cloudflare,87301
chasevalue.pk,CDN,Cloudflare,76212
paklap.pk,CDN,Cloudflare,178170
alkaramstudio.com,CDN,Cloudflare,67384
haier.com,Abroad,IDC  China Telecommunications Corporation (CN),26822
shopecs.com,CDN,Cloudflare,85421
zahcomputers.pk,CDN,Cloudflare,520826
mariab.pk,CDN,Cloudflare,83520
peekaboo.guru,CDN,Cloudflare,346563
generation.com.pk,CDN,Cloudflare,198954
alladin.pk,CDN,Cloudflare,209133
alfamall.com,CDN,AWS,598079
saeedghani.pk,CDN,Cloudflare,84648
diners.com.pk,CDN,Cloudflare,91639
eezepc.com,CDN,Cloudflare,423549
zeenwoman.com,CDN,Cloudflare,82003
minnieminors.com,CDN,Cloudflare,86453
cougar.com.pk,CDN,Cloudflare,612891
logoofficial.com,CDN,Cloudflare,91746
cliveshoes.com,CDN,Cloudflare,72975
ronin.pk,CDN,Cloudflare,209734
w11stop.com,CDN,Cloudflare,170942
sanasafinaz.com,CDN,Cloudflare,85333
myvitaminstore.pk,CDN,Cloudflare,449550
wellshop.pk,Abroad,Namecheap  Inc. (US),395905
telemart.pk,CDN,Cloudflare,441765
xcessorieshub.com,CDN,Cloudflare,593751
scentsnstories.pk,CDN,Cloudflare,66738
phonecase.pk,CDN,Cloudflare,167571
motifz.com.pk,CDN,Cloudflare,180276
surmawala.pk,CDN,Cloudflare,662974
furorjeans.com,CDN,Cloudflare,198947
tclpakistan.com,CDN,AWS,212755
mega.pk,CDN,Cloudflare,158359
insignia.com.pk,CDN,Cloudflare,86346
gracestore.pk,CDN,Cloudflare,89866
urbansole.com.pk,CDN,Cloudflare,205688

# ===== Airlines [CDN 3 · Abroad 2 · PK 0] =====
piac.com.pk,CDN,Cloudflare,108094
airblue.com,CDN,Cloudflare,76915
sereneair.com,Abroad,Namecheap  Inc. (US),
airsial.com,Abroad,Namecheap  Inc. (US),178333
flyjinnah.com,CDN,Microsoft/Azure,172361

# ===== Bus / Public Transport [CDN 0 · Abroad 4 · PK 1] =====
daewoo.com.pk,Abroad,Hetzner Online GmbH (DE),608094
niaziexpress.com.pk,Abroad,WHG Hosting Services Ltd (US),
skyways.pk,Abroad,20i Limited (GB),
roadmaster.pk,Pakistani,Pakistan Telecommuication company limited,
faisalmovers.com,Abroad,Hostinger MY (MY),780572

# ===== Insurance [CDN 5 · Abroad 5 · PK 3] =====
asiainsurance.com.pk,Abroad,Hetzner Online GmbH (FI),
efulife.com,Pakistani,EFU LIFE Assurance Ltd,567489
atlas.pk,Abroad,pair Networks (US),761144
