# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
ndu.edu.pk,Pakistani,National Telecommunication Corporation,606704
ibcc.edu.pk,CDN,Cloudflare,607569
kiet.edu.pk,CDN,Cloudflare,607770
bisebwp.edu.pk,Pakistani,Pakistan Telecommuication company limited,610540
riphahfsd.edu.pk,Abroad,Host Europe GmbH (GB),611370
awkum.edu.pk,CDN,Cloudflare,623496
kpbte.edu.pk,Pakistani,LINKdotNET Telecom Limited,626004
dsu.edu.pk,CDN,Google,630408
pac.edu.pk,CDN,Cloudflare,634054
bisekt.edu.pk,CDN,Cloudflare,634739
isp.edu.pk,CDN,Cloudflare,635557
kohat.edu.pk,Pakistani,HEC,635744
beaconhouse.edu.pk,CDN,Cloudflare,654179
tuf.edu.pk,CDN,Cloudflare,659605
cuiatd.edu.pk,CDN,Cloudflare,662600
seecs.edu.pk,Pakistani,HEC,664261
bnbwu.edu.pk,CDN,Sucuri,666388
lahoreschool.edu.pk,Abroad,Hetzner Online GmbH (DE),668284
scholastic.edu.pk,Abroad,HOSTINGER (SG),672869
isra.edu.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,714488
bisemdn.edu.pk,Abroad,Hetzner Online GmbH (FI),723983
giu.edu.pk,CDN,Cloudflare,730981
nca.edu.pk,Abroad,HostDime.com  Inc. (US),731047
mmi.edu.pk,Abroad,DigitalOcean  LLC (SG),732602
ayubmed.edu.pk,Abroad,Liquid Web  L.L.C (US),733315
must.edu.pk,CDN,Cloudflare,743812
smiu.edu.pk,Abroad,HostGator.com LLC (US),744471
beaconlightacademy.edu.pk,CDN,AWS,744510
biserawalpindi.edu.pk,CDN,Cloudflare,746580
rihs.edu.pk,Pakistani,LINKdotNET Telecom Limited,747851
aror.edu.pk,CDN,Microsoft/Azure,760401
aust.edu.pk,Pakistani,LINKdotNET Telecom Limited,761391
baraniinstitute.edu.pk,CDN,Cloudflare,762721
bgnu.edu.pk,Abroad,Hetzner Online GmbH (DE),764372
bisedik.edu.pk,Abroad,Hetzner Online GmbH (DE),764991
bisemalakand.edu.pk,Abroad,Hetzner Online AG (DE),764992
bisess.edu.pk,Abroad,20i Limited (GB),764994
brightvision.edu.pk,Abroad,Namecheap  Inc. (US),766470
bsek.edu.pk,Abroad,Hetzner Online GmbH (DE),766662
cuiwah.edu.pk,Pakistani,COMSATS,772668
fuuast.edu.pk,CDN,Cloudflare,783415
ilmauniversity.edu.pk,Abroad,org.interserver.net (US),790911
jdihs.edu.pk,CDN,Cloudflare,793493
kasbit.edu.pk,Abroad,GoDaddy.com  LLC (SG),795706
lnh.edu.pk,Abroad,Contabo GmbH (FR),800517
maju.edu.pk,Pakistani,Wateen Telecom Limited,802558
millenniumschools.edu.pk,Pakistani,CIS Islamabad,805438
ngss.edu.pk,Abroad,Hetzner Online GmbH (FI),810163
pbte.edu.pk,Pakistani,Punjab Information Technology Board,814984
pef.edu.pk,Pakistani,National Telecom Corporation,815174
pgc.edu.pk,CDN,Cloudflare,815666
pmei.edu.pk,Abroad,GoDaddy.com  LLC (US),817037
pmfpunjab.edu.pk,Pakistani,Punjab Information Technology Board,817038
quest.edu.pk,Pakistani,HEC,819761
rills.edu.pk,Abroad,Hostinger MY (MY),821930
rmur.edu.pk,Abroad,Hetzner Online GmbH (FI),822161
szabmu.edu.pk,CDN,Cloudflare,831419
ubas.edu.pk,CDN,Cloudflare,836811
ucs.edu.pk,CDN,Cloudflare,836891
unique.edu.pk,Abroad,GD MASS Network (FR),837637
upr.edu.pk,Abroad,Oracle Corporation (US),837962
zueb.edu.pk,CDN,Cloudflare,845698
bims.edu.pk,Abroad,Hostinger International Limited (SG),870543
case.edu.pk,Pakistani,COMSATS,871082
dps.edu.pk,CDN,Cloudflare,872285
sundarstem.edu.pk,Abroad,The Constant Company (SG),880980
uchenab.edu.pk,Abroad,Hostinger International Limited (US),882033
uetmardan.edu.pk,Abroad,GoDaddy.com  LLC (US),882058
stbb.edu.pk,CDN,Cloudflare,884252
tu.edu.pk,CDN,Cloudflare,921202
fjwu.edu.pk,CDN,Cloudflare,926007
kemu.edu.pk,Abroad,Hostinger International Limited (SG),955028
uo.edu.pk,CDN,AWS,979372
pct.edu.pk,CDN,Cloudflare,982944

# ===== Tranco .pk: Commercial [CDN 200 · Abroad 114 · PK 27 · unresolved 7] =====
google.com.pk,CDN,Google,3963
ogomovies1.com.pk,CDN,Cloudflare,10087
olx.com.pk,CDN,AWS CloudFront,14547
watch-movies.com.pk,CDN,Cloudflare,22080
psx.com.pk,Abroad,Dosarrest Internet Security LTD (US),62082
host.com.pk,Abroad,Oracle Corporation (US),64504
tes.com.pk,CDN,Cloudflare,75628
express.com.pk,CDN,Cloudflare,77218
borjan.com.pk,CDN,Cloudflare,86723
batik.com.pk,CDN,Cloudflare,88769
missrose.com.pk,CDN,Cloudflare,89907
capcutapkdownload.com.pk,Abroad,PUSHPKT OU (EE),90451
almirah.com.pk,CDN,Cloudflare,90509
zarr.com.pk,CDN,Cloudflare,93345
castleapk.com.pk,Abroad,PUSHPKT OU (NL),93989
cll.com.pk,Pakistani,NEXLINX,94036
maxfun.com.pk,Abroad,,94860
hushpuppies.com.pk,CDN,Cloudflare,96908
app.com.pk,CDN,Cloudflare,97113
simosa.com.pk,CDN,Cloudflare,98794
plinko.com.pk,CDN,Cloudflare,119140
ubuy.com.pk,CDN,Cloudflare,134881
ypel.com.pk,CDN,Cloudflare,150492
nbp.com.pk,CDN,Cloudflare,156541
logon.com.pk,Pakistani,Logon Broadband Pvt. Limited,158595
pcb.com.pk,CDN,Cloudflare,170868
kkn.com.pk,Pakistani,AMBITIONS COMMUNICATION SYSTEM (SMC-PRIVATE) LIMITED,171971
japanelectronics.com.pk,CDN,Cloudflare,172779
springs.com.pk,CDN,Cloudflare,180453
ssgc.com.pk,unresolved,,184179
royaltag.com.pk,CDN,Cloudflare,185074
mepco-it.com.pk,Pakistani,PITC,193482
shell.com.pk,CDN,Microsoft/Azure,193651
rollover.com.pk,CDN,Cloudflare,194978
atlashonda.com.pk,CDN,Sucuri,197220
herbiotics.com.pk,CDN,Cloudflare,198970
miniclub.com.pk,CDN,Cloudflare,199693
colgate-palmolive.com.pk,unresolved,,208413
calza.com.pk,CDN,Cloudflare,209617
alahmar.com.pk,Abroad,Hostinger International Limited (US),213640
cocobee.com.pk,CDN,Cloudflare,214197
dakkhana.com.pk,Pakistani,Nayatel (Pvt) Ltd,214362
gepcoerp.com.pk,Pakistani,Pakistan Telecommuication company limited,214973
hrd1902.com.pk,Pakistani,HEC,215205
mgacs.com.pk,Pakistani,Connect Communication,215983
moltyfoam.com.pk,CDN,Cloudflare,216060
ourelitehealth.com.pk,CDN,Cloudflare,216421
apkjackpot.com.pk,Abroad,Namecheap  Inc. (US),227628
castleapp.com.pk,CDN,Cloudflare,227792
datacorporation.com.pk,CDN,Cloudflare,227884
ipaddress.com.pk,CDN,Cloudflare,232717
mostbet.com.pk,CDN,AWS,248678
kknetworks.com.pk,Pakistani,KK Networks (Pvt) Ltd.,252690
shopatshams.com.pk,CDN,Cloudflare,263604
jazzesl.com.pk,Pakistani,Nayatel (Pvt) Ltd,277572
nawaiwaqt.com.pk,Abroad,Hetzner Online GmbH (FI),294028
generations.com.pk,CDN,Cloudflare,307694
twinkl.com.pk,CDN,Imperva/Incapsula,324877
zcomnetworks.com.pk,Pakistani,Z COM NETWORKS,326580
armored.com.pk,Abroad,UK Dedicated Servers Limited (GB),347924
minutemirror.com.pk,CDN,Cloudflare,350039
hblibank.com.pk,CDN,Imperva/Incapsula,354625
rawayat.com.pk,CDN,Cloudflare,356521
elb.com.pk,Pakistani,Z COM NETWORKS,371462
apkshoot.com.pk,CDN,Cloudflare,372065
phoneworld.com.pk,CDN,Cloudflare,373441
youtube.com.pk,CDN,Google,383314
connectel.com.pk,Abroad,OVH SAS (US),393449
alfatah.com.pk,Abroad,Hostinger International Limited (ID),395212
readings.com.pk,CDN,AWS CloudFront,400219
tgtstore.com.pk,CDN,Cloudflare,410687
oup.com.pk,Abroad,Hetzner Online GmbH (FI),428926
apkshoots.com.pk,CDN,Cloudflare,432686
home360.com.pk,CDN,Cloudflare,445673
homenet.com.pk,Abroad,OVH SAS (AU),448896
sngpl.com.pk,Pakistani,Wateen Telecom Limited,450507
honda.com.pk,CDN,Cloudflare,465788
dailyaaj.com.pk,CDN,Cloudflare,467050
babiesworld.com.pk,CDN,Cloudflare,472401
onic.com.pk,CDN,Cloudflare,475445
thesiswritinghelp.com.pk,Abroad,Hostinger International Limited (GB),485009
medicalstore.com.pk,CDN,Cloudflare,496446
dogar.com.pk,CDN,Cloudflare,503389
dnd.com.pk,CDN,Cloudflare,525890
charaghdinrice.com.pk,Abroad,Hetzner Online GmbH (DE),526719
ptv.com.pk,CDN,Cloudflare,533233
opendata.com.pk,CDN,AWS,541449
islamabadairport.com.pk,Pakistani,Pakistan Telecommuication company limited,542722
max.com.pk,Abroad,Hostinger International Limited (GB),545852
brandedcutpieces.com.pk,CDN,Cloudflare,546547
pgf.com.pk,Abroad,SoftLayer (US),549696
fasttel.com.pk,Abroad,Namecheap  Inc. (US),552423
extremesportswear.com.pk,Abroad,Namecheap  Inc. (US),554462
qeemat.com.pk,CDN,Cloudflare,557463
sundaybazar.com.pk,CDN,Cloudflare,560694
vs.com.pk,CDN,Cloudflare,560714
almumtaz.com.pk,CDN,Cloudflare,560917
accountancy.com.pk,CDN,Cloudflare,562423
mgmotors.com.pk,Abroad,Hetzner Online GmbH (DE),564516
pakhome.com.pk,Abroad,FranTech Solutions (LU),566282
albaraka.com.pk,CDN,Sucuri,566495
essentia.com.pk,CDN,Cloudflare,582099
philips.com.pk,CDN,Cloudflare,584302
lahoreairport.com.pk,Pakistani,Pakistan Telecommuication company limited,588109
metroshoes.com.pk,Pakistani,COMSATS,592654
tanabana.com.pk,CDN,Cloudflare,593439
monark.com.pk,CDN,Cloudflare,593842
broadwaypizza.com.pk,CDN,AWS,596636
shifa.com.pk,CDN,Cloudflare,597497
safrinskincare.com.pk,CDN,Cloudflare,597987
thehijabeez.com.pk,CDN,Cloudflare,598249
lifestyle-collection.com.pk,CDN,Cloudflare,599957
nlc.com.pk,CDN,Cloudflare,600016
ijc.com.pk,Abroad,WEBSITEWELCOME.COM (US),603101
callcourier.com.pk,Pakistani,Gerrys Information Technology (PVT) Ltd,613351
list.com.pk,CDN,Cloudflare,613780
ffc.com.pk,CDN,Cloudflare,615451
dominos.com.pk,CDN,AWS,616528
laptab.com.pk,Abroad,Hostinger International Limited (LT),618850
hianime.com.pk,CDN,Cloudflare,620065
gotest.com.pk,CDN,Cloudflare,625335
skmei.com.pk,CDN,Cloudflare,629601
trovit.com.pk,Abroad,COLT Technology Services Group Limited (ES),629621
ppl.com.pk,CDN,AWS,629900
apricot.com.pk,CDN,Cloudflare,633903
goldenpearl.com.pk,CDN,Cloudflare,634018
dex.com.pk,Abroad,Alibaba (US) Technology Co.  Ltd. (SG),635026
glaxydollars.com.pk,Abroad,WHG Hosting Services Ltd (US),635311
okla.com.pk,Abroad,GoDaddy.com  LLC (US),636183
qalamkar.com.pk,CDN,Cloudflare,636402
recruitments.com.pk,CDN,Cloudflare,636451
sapphirestudio.com.pk,CDN,Cloudflare,636545
mns.com.pk,CDN,Cloudflare,641679
watchprice.com.pk,Abroad,Ultahost  Inc. (NL),659099
tulips.com.pk,CDN,Cloudflare,662978
powerhouseexpress.com.pk,CDN,Cloudflare,663507
mustaqbel.com.pk,Abroad,Oracle Corporation (US),667207
boe.com.pk,CDN,Cloudflare,668005
pagalworld.com.pk,CDN,Cloudflare,668116
skygames.com.pk,CDN,Cloudflare,668153
ipcgamess.com.pk,unresolved,,676865
miraalrestaurant.com.pk,CDN,Cloudflare,679331
hub.com.pk,CDN,Cloudflare,679587
wbm.com.pk,CDN,Cloudflare,684068
ntdc.com.pk,unresolved,,686489
paradigmshift.com.pk,CDN,Cloudflare,689557
nuinternet.com.pk,Abroad,OVH SAS (GB),691854
purchaser.com.pk,CDN,Cloudflare,693467
flickbizz.com.pk,Pakistani,INNOKAT (PVT.) LIMITED,697482
charcoal.com.pk,CDN,Cloudflare,698797
cssprep.com.pk,CDN,Cloudflare,703951
cdcaccess.com.pk,CDN,Cloudflare,705545
hustlenholla.com.pk,CDN,Cloudflare,705722
bankislami.com.pk,CDN,Cloudflare,709290
humsub.com.pk,CDN,Cloudflare,716145
qict.com.pk,unresolved,,722516
islamabadpost.com.pk,CDN,Cloudflare,729886
hostpro.com.pk,Abroad,WHG Hosting Services Ltd (SG),733597
ubl.com.pk,Pakistani,Linkdotnet Telecom Limited,739787
pk365.com.pk,Abroad,Namecheap  Inc. (HK),746392
friendscables.com.pk,Abroad,Hostinger International Limited (LT),747643
wisemarket.com.pk,CDN,AWS,749280
multipec.com.pk,Abroad,Interserver  Inc (US),749574
0gomovies.com.pk,CDN,Cloudflare,751194
123movies.com.pk,Abroad,IP Connect Inc (NL),751503
3pattibonuszone.com.pk,CDN,Cloudflare,752835
3pattigoldgame.com.pk,Abroad,OVH SAS (DE),752838
666-wgame.com.pk,Abroad,Namecheap  Inc. (US),753779
6666d.com.pk,Abroad,OVH SAS (CA),753781
666p.com.pk,Abroad,Namecheap (US),753807
777-ad.com.pk,Abroad,OVH SAS (FR),754285
777cx.com.pk,Abroad,OVH SAS (PL),754333
92pkr.com.pk,Abroad,Namecheap  Inc. (US),755507
999.com.pk,CDN,Cloudflare,755655
aaenterprises.com.pk,Abroad,Namecheap  Inc. (US),756168
adore.com.pk,CDN,Cloudflare,756953
ajtraders.com.pk,CDN,Cloudflare,757728
alaqsa.com.pk,Abroad,WHG Hosting Services Ltd (US),757961
allpkrgames.com.pk,CDN,Cloudflare,758325
aof.com.pk,Abroad,1515 ROUNDTABLE DR PROPERTY  LLC (US),759552
apkamazon.com.pk,CDN,Cloudflare,759681
apkcheers.com.pk,Abroad,OVH SAS (FR),759687
apkearn.com.pk,Abroad,Namecheap  Inc. (US),759691
apkjeeto.com.pk,Abroad,Namecheap (US),759703
applepakistan.com.pk,Abroad,Namecheap  Inc. (US),759875
ar999.com.pk,Abroad,Namecheap  Inc. (US),760063
asktech.com.pk,Pakistani,Nayatel (Pvt) Ltd,760758
baroque.com.pk,CDN,Cloudflare,762787
bet939app.com.pk,CDN,Cloudflare,764024
bioaqua.com.pk,CDN,Cloudflare,764875
booksvilla.com.pk,CDN,Cloudflare,765917
burgeroclock.com.pk,CDN,Cloudflare,766936
butterfly.com.pk,CDN,Cloudflare,767045
californiapizza.com.pk,CDN,Cloudflare,767502
cartonhouse.com.pk,Abroad,HOSTINGER (SG),768104
chemistry.com.pk,CDN,Cloudflare,769315
crimson.com.pk,CDN,Cloudflare,772307
currenwatches.com.pk,CDN,Cloudflare,772751
dcode.com.pk,CDN,Microsoft/Azure,773696
dhaga.com.pk,CDN,Cloudflare,774502
dhanak.com.pk,CDN,Cloudflare,774516
dreamnet.com.pk,CDN,Cloudflare,776010
durafoam.com.pk,CDN,Cloudflare,776401
efashion.com.pk,CDN,Cloudflare,777697
elegantyou.com.pk,CDN,Cloudflare,778126
enc.com.pk,Pakistani,PITC,778620
esspl.com.pk,CDN,Cloudflare,779441
fantasygms.com.pk,CDN,Cloudflare,780696
farahtalibaziz.com.pk,CDN,Cloudflare,780718
fg.com.pk,unresolved,,781328
fikrfree.com.pk,Abroad,Huawei International Pte. LTD (SG),781467
forex.com.pk,CDN,Cloudflare,782486
freshbasket.com.pk,CDN,Cloudflare,782916
fullstop.com.pk,CDN,Cloudflare,783191
g555app.com.pk,CDN,Cloudflare,783576
gamenow.com.pk,Abroad,DigitalOcean  LLC (SG),783894
gamestop.com.pk,CDN,Cloudflare,783943
gdl.com.pk,Abroad,OVH SAS (CA),784356
hajwarinetzone.com.pk,Abroad,WholeSale Internet (US),787455
heritagejewels.com.pk,CDN,Cloudflare,788314
highnoon.com.pk,Pakistani,Wateen Telecom Limited,788561
hydrisupermarket.com.pk,CDN,Cloudflare,789971
hyundaipower.com.pk,CDN,Cloudflare,790019
iescoebill.com.pk,CDN,Cloudflare,790638
imtiaz.com.pk,CDN,Akamai,791152
iwc.com.pk,CDN,Cloudflare,792748
jalalsons.com.pk,CDN,Google,793156
joystickicelolly.com.pk,CDN,Cloudflare,794463
jw8game.com.pk,Abroad,OVH SAS (DE),794922
k666.com.pk,Abroad,Namecheap  Inc. (US),795097
kaprang.com.pk,CDN,Cloudflare,795578
kayseria.com.pk,CDN,Cloudflare,795838
kb.com.pk,Pakistani,Pakistan Telecommuication company limited,795870
kdramasmaza.com.pk,CDN,Cloudflare,795948
keduplicatebill.com.pk,CDN,Cloudflare,795974
kjunction.com.pk,CDN,Cloudflare,796972
kk333.com.pk,Abroad,SpectraIP B.V. (NL),796980
laservision.com.pk,Abroad,wix com inc (US),798967
login.com.pk,CDN,Cloudflare,800651
londonbridge.com.pk,CDN,Cloudflare,800838
masoodstore.com.pk,CDN,Cloudflare,803351
mcsol.com.pk,Abroad,Unlimited Web Hosting UK LTD (GB),803974
mnptracking.com.pk,Abroad,Hetzner Online GmbH (DE),806144
mocciani.com.pk,CDN,Cloudflare,806279
mrstore.com.pk,CDN,Cloudflare,807303
mulphilog.com.pk,Abroad,HostGator.com LLC (US),807583
mygsm.com.pk,Abroad,Hostinger International Limited (LT),808271
n999.com.pk,Abroad,Namecheap  Inc. (US),808844
naeemelectronics.com.pk,unresolved,,808913
navigator.com.pk,Pakistani,GCS (Private) Limited,809352
netmirror.com.pk,Abroad,Telkom Internet LTD (AZ),809775
nexton.com.pk,CDN,Cloudflare,810076
npcn.com.pk,Abroad,Interserver  Inc (US),811055
onedegree.com.pk,CDN,Cloudflare,812450
orient.com.pk,CDN,Cloudflare,813131
oxford.com.pk,CDN,Cloudflare,813647
pakarmy.com.pk,CDN,Cloudflare,814057
paksuzuki.com.pk,CDN,Cloudflare,814096
pbc.com.pk,Abroad,GoDaddy.com  LLC (SG),814968
pel.com.pk,CDN,Cloudflare,815208
pharmahealth.com.pk,CDN,Cloudflare,815821
philipspersonalcare.com.pk,CDN,Cloudflare,815885
pifraregistration.com.pk,Abroad,OVH SAS (CA),816154
pizzamax.com.pk,Abroad,Unified Layer (US),816424
pk8888.com.pk,Abroad,Namecheap  Inc. (US),816468
pkapps.com.pk,Abroad,HOSTINGER (SG),816473
pkrbet.com.pk,Abroad,OVH SAS (DE),816504
postextracking.com.pk,Abroad,SpectraIP B.V. (NL),817757
psosahulat.com.pk,Pakistani,Pakistan State Oil Company Limited,818854
ptclspeed.com.pk,CDN,Cloudflare,818900
q789.com.pk,Abroad,Namecheap  Inc. (US),819350
rangrasiya.com.pk,CDN,Cloudflare,820478
revoo-ev.com.pk,Abroad,Alibaba.com Singapore E-Commerce Private Limited (DE),821687
rollnoslip.com.pk,Abroad,HOSTINGER IN (IN),822369
safoora.com.pk,CDN,Cloudflare,823506
sageleather.com.pk,CDN,Cloudflare,823529
sapt.com.pk,CDN,Microsoft/Azure,824157
savourfoods.com.pk,CDN,Google,824454
seccap.com.pk,CDN,Cloudflare,824942
selecto.com.pk,CDN,Cloudflare,825183
seran.com.pk,CDN,Cloudflare,825411
serenepharma.com.pk,Abroad,Hetzner Online GmbH (FI),825423
simtek.com.pk,Abroad,GoDaddy.com  LLC (US),826956
sindhbank.com.pk,CDN,Google,826987
skfans.com.pk,Abroad,Hostinger International Limited (LT),827414
skinsciences.com.pk,CDN,Cloudflare,827452
supers9game.com.pk,CDN,AWS,830792
trafficsigntest.com.pk,Abroad,Contabo GmbH (FR),835369
ullu.com.pk,Abroad,KnownSRV Ltd. (NL),837260
unitedmotorcycle.com.pk,Abroad,Namecheap  Inc. (US),837682
vidmateapp.com.pk,CDN,Cloudflare,839505
wc777.com.pk,Abroad,Namecheap  Inc. (US),841202
x-777.com.pk,Abroad,Namecheap  Inc. (US),842688
y888.com.pk,Abroad,SpectraIP B.V. (NL),843876
yacinetvs.com.pk,CDN,Cloudflare,843916
yadea.com.pk,Abroad,Hetzner Online GmbH (FI),843920
zed.com.pk,CDN,Cloudflare,845132
zh888.com.pk,Abroad,OVH SAS (CA),845289
zs-999.com.pk,Abroad,OVH SAS (AU),845661
3dm.com.pk,Abroad,HOSTINGER (SG),848735
nipponpaint.com.pk,CDN,Sucuri,857555
zerodegree.com.pk,CDN,Cloudflare,863279
777-cb.com.pk,CDN,Cloudflare,868930
777.com.pk,Abroad,Namecheap  Inc. (SG),868931
apkbloom.com.pk,Abroad,Namecheap  Inc. (HK),869719
e-bike.com.pk,CDN,Cloudflare,872384
easytoearn.com.pk,Abroad,WHG Hosting Services Ltd (US),872444
gepcobill.com.pk,CDN,Cloudflare,873613
h-555.com.pk,CDN,Cloudflare,873988
m666.com.pk,CDN,Cloudflare,876347
mepcobillz.com.pk,CDN,Cloudflare,876792
pakngos.com.pk,Abroad,WHG Hosting Services Ltd (US),878304
pk3.com.pk,Abroad,HOSTINGER BR (BR),878714
pkrgame.com.pk,CDN,Cloudflare,878721
sidathyder.com.pk,Abroad,InMotion Hosting  Inc (US),880342
tiensmember.com.pk,Abroad,Contabo GmbH (FR),881566
zongengage.com.pk,Abroad,velia.net Internetdienste GmbH (FR),883373
leadpakistan.com.pk,Abroad,Hetzner Online GmbH (DE),888063
callperks.com.pk,CDN,Cloudflare,904277
careers635.com.pk,Pakistani,Pakistan Telecommuication company limited,904351
citaevcharger.com.pk,Abroad,Hetzner Online GmbH (FI),904783
css-pitb.com.pk,Abroad,Hostinger International Limited (LT),905153
css-pitc.com.pk,Abroad,Hostinger International Limited (LT),905155
ct999apk.com.pk,CDN,Cloudflare,905156
fist.com.pk,Abroad,Hostinger International Limited (LT),907199
gamez.com.pk,Abroad,OVH SAS (FI),907744
insta.com.pk,Abroad,Interserver  Inc (US),909638
n7.com.pk,CDN,Cloudflare,914035
npftas.com.pk,Abroad,Hostinger International Limited (LT),914585
p999apk.com.pk,CDN,Cloudflare,915224
pakrummyapp.com.pk,CDN,Cloudflare,915463
punjabprogram.com.pk,Abroad,Hostinger International Limited (LT),916753
readinfo.com.pk,CDN,Cloudflare,917333
suigas.com.pk,CDN,Cloudflare,919713
x5555.com.pk,Abroad,OVH SAS (FR),922801
ultimate-solution.com.pk,Abroad,Contabo GmbH (FR),936786
winnet.com.pk,Abroad,20i Limited (GB),942309
businesstrends.com.pk,CDN,Cloudflare,949176
techlogic.com.pk,Abroad,Contabo GmbH (FR),958600
jobs.com.pk,CDN,Cloudflare,960297
crowngroup.com.pk,CDN,Cloudflare,966545
sehat.com.pk,CDN,Cloudflare,967761
globalconnectsynergy.com.pk,Pakistani,GCS (Private) Limited,971258
zamaka.com.pk,CDN,Cloudflare,979223
dongfang.com.pk,Abroad,A2 Hosting  Inc. (US),985733
hadielectronics.com.pk,Abroad,HOSTINGER ID (ID),988525
digitalsystems.com.pk,Abroad,Hetzner Online GmbH (DE),991675
ainakpoint.com.pk,Abroad,HOSTINGER US (US),991722

# ===== Tranco .pk: Network/ISP [CDN 20 · Abroad 18 · PK 13 · unresolved 6] =====
ptcl.net.pk,unresolved,,14908
link.net.pk,unresolved,,26618
connect.net.pk,Pakistani,Connect Communication Karachi,52685
worldcall.net.pk,Abroad,HOSTINGER US (US),96365
comsats.net.pk,Pakistani,COMSATS,101013
glory-casino.net.pk,CDN,Cloudflare,121930
multi.net.pk,Pakistani,Multinet Broadband,140173
aviator.net.pk,CDN,Cloudflare,152352
stp.net.pk,unresolved,,157729
dsl.net.pk,unresolved,,159370
fiberish.net.pk,CDN,Cloudflare,174431
sts.net.pk,CDN,AWS,178369
ebone.net.pk,CDN,Cloudflare,194876
zefoy.net.pk,CDN,Cloudflare,210684
fscobill.net.pk,CDN,Cloudflare,214891
getlinks.net.pk,Abroad,GoDaddy.com  LLC (SG),214979
brain.net.pk,Abroad,Hetzner Online GmbH (US),236785
gointernet.net.pk,Pakistani,Logon Broadband Pvt. Limited,247522
prime.net.pk,Abroad,20i Limited (US),263287
pknic.net.pk,CDN,Cloudflare,364193
cubexs.net.pk,unresolved,,370127
ges.net.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,373193
nwnetworks.net.pk,Pakistani,TRANSWORLD ASSOCIATES (PVT) LIMITED,373579
microtech.net.pk,Abroad,Hostinger International Limited (LT),380414
galaxy.net.pk,Pakistani,Galaxy Broadband (pvt.) Ltd.,393636
waves.net.pk,Abroad,OVH SAS (CA),456665
nasstecairnet.net.pk,Abroad,Namecheap (US),470907
lmp.net.pk,Pakistani,Login.Me (Pvt) Ltd,487275
snms.net.pk,Abroad,Oracle Corporation (US),522696
dnt.net.pk,Abroad,Leaseweb Singapore Pte. Ltd. (US),624892
simowner.net.pk,Abroad,Hostinger International Limited (ID),628831
nation.net.pk,Pakistani,Connect Communication Karachi,636094
stn.net.pk,Abroad,Unified Layer (US),657488
geo.net.pk,Pakistani,Digicom Pakistan (private) Limited,679648
idc.net.pk,CDN,Google,727218
accesson.net.pk,Abroad,Oracle Corporation (US),756567
alburakinternet.net.pk,CDN,Cloudflare,758002
betrupees.net.pk,CDN,Cloudflare,764196
cnicinformation.net.pk,CDN,Cloudflare,770741
cosmic.net.pk,Pakistani,Connect Communication Karachi,771851
falconbroadband.net.pk,Abroad,Namecheap  Inc. (US),780598
gbn.net.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,784286
jj77.net.pk,Abroad,OVH SAS (FR),793936
mst.net.pk,Pakistani,Delta Networks,807413
npcn.net.pk,Abroad,Interserver  Inc (US),811056
pak-game.net.pk,CDN,Cloudflare,814043
pak92.net.pk,CDN,Cloudflare,814050
pkr98game.net.pk,CDN,Cloudflare,816500
bn55.net.pk,Abroad,SpectraIP B.V. (NL),870645
game.net.pk,CDN,Cloudflare,873474
lucky33.net.pk,Abroad,HOSTINGER US (US),876278
winpkr.net.pk,CDN,Cloudflare,882846
apnakhetapnarozgar.net.pk,CDN,Cloudflare,902122
bet939.net.pk,Abroad,Abelohost BV (NL),903208
zt777.net.pk,CDN,Cloudflare,923673
whatmobiles.net.pk,CDN,Cloudflare,950483
my.net.pk,unresolved,,977393

# ===== Tranco .pk: Organization [CDN 21 · Abroad 24 · PK 6] =====
nts.org.pk,CDN,Cloudflare,81193
pts.org.pk,Pakistani,Cyber Internet Services (Private) Limited,91647
chickenroad.org.pk,CDN,Cloudflare,119898
icap.org.pk,CDN,Microsoft/Azure,165385
shaukatkhanum.org.pk,CDN,Cloudflare,166907
ahpc.org.pk,Pakistani,COMSATS,213609
ots.org.pk,CDN,Cloudflare,231040
pec.org.pk,CDN,Cloudflare,265619
spin.org.pk,Abroad,WHG Hosting Services Ltd (SG),285619
fims.org.pk,CDN,Cloudflare,366191
nepra.org.pk,CDN,Cloudflare,368966
pide.org.pk,CDN,Cloudflare,383372
jpma.org.pk,Abroad,Hetzner Online GmbH (DE),394886
reap.org.pk,CDN,Cloudflare,459232
akhuwat.org.pk,CDN,Microsoft/Azure,494071
psdf.org.pk,Pakistani,Million Web Services Private Limited,571631
epr.org.pk,CDN,Cloudflare,598361
ctsp.org.pk,Abroad,Hetzner Online GmbH (DE),634960
gbappsup.org.pk,Abroad,Telkom Internet LTD (AZ),635270
88ef.org.pk,Abroad,OVH SAS (CA),755193
fauji.org.pk,Pakistani,Nayatel (Pvt) Ltd,780919
hecgovt.org.pk,Abroad,SpectraIP B.V. (NL),788095
hunarmandpunjab.org.pk,Abroad,HOSTINGER ID (ID),789863
jjwin.org.pk,Abroad,OVH SAS (CA),793969
ke.org.pk,CDN,AWS,795953
