ts_utc,ts_pkt,kind,src_probe_id,src,dst_probe_id,dst,rtt_min,loss,hop_count,tromboned,status,exit_cc,transit,trace_rtt_ms
2026-08-30 09:02:59,2026-08-30 14:02:59,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 10:02:56,2026-08-30 15:02:56,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 11:02:58,2026-08-30 16:02:58,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 12:03:08,2026-08-30 17:03:08,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 13:02:57,2026-08-30 18:02:57,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 14:02:58,2026-08-30 19:02:58,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 15:03:02,2026-08-30 20:03:02,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 16:02:59,2026-08-30 21:02:59,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 17:03:05,2026-08-30 22:03:05,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 18:02:55,2026-08-30 23:02:55,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 19:03:05,2026-08-31 00:03:05,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 20:00:56,2026-08-31 01:00:56,trace,1016143,cybernet.1016143,1016036,cybernet.1016036,,,3,False,local,,,4.2
2026-08-30 20:03:07,2026-08-31 01:03:07,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 21:03:03,2026-08-31 02:03:03,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 22:03:01,2026-08-31 03:03:01,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 23:02:55,2026-08-31 04:02:55,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 00:03:05,2026-08-31 05:03:05,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 01:02:55,2026-08-31 06:02:55,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 02:02:59,2026-08-31 07:02:59,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 03:02:58,2026-08-31 08:02:58,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 04:02:53,2026-08-31 09:02:53,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 05:03:06,2026-08-31 10:03:06,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 06:02:56,2026-08-31 11:02:56,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 07:03:06,2026-08-31 12:03:06,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 08:00:52,2026-08-31 13:00:52,trace,1016143,cybernet.1016143,1016036,cybernet.1016036,,,3,False,local,,,4.1
2026-08-31 08:02:56,2026-08-31 13:02:56,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 09:02:56,2026-08-31 14:02:56,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 10:03:04,2026-08-31 15:03:04,ping,1016143,cybernet.1016143,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 20:01:25,2026-08-29 01:01:25,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,7,False,local,,,8.0
2026-08-28 20:03:00,2026-08-29 01:03:00,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 21:02:54,2026-08-29 02:02:54,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 22:02:51,2026-08-29 03:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 23:02:58,2026-08-29 04:02:58,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 00:03:02,2026-08-29 05:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 01:03:02,2026-08-29 06:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 02:03:00,2026-08-29 07:03:00,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 03:02:57,2026-08-29 08:02:57,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 04:02:52,2026-08-29 09:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
