hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
sbp.org.pk,State Bank of Pakistan,government,60223,23674,,,,2026-06-06T17:08:18.154735+00:00
sbp.org.pk,State Bank of Pakistan,government,62224,38193,,,,2026-06-06T17:08:18.155133+00:00
sbp.org.pk,State Bank of Pakistan,government,7613,152605,,,,2026-06-06T17:08:18.155467+00:00
pitc.com.pk,PITC,government,60223,23674,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",2026-06-06T17:08:23.662096+00:00
pitc.com.pk,PITC,government,62224,38193,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",2026-06-06T17:08:23.662423+00:00
pitc.com.pk,PITC,government,7613,152605,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",2026-06-06T17:08:23.662655+00:00
pseb.org.pk,PSEB,government,60223,23674,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",2026-06-06T17:08:28.898396+00:00
pseb.org.pk,PSEB,government,62224,38193,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",2026-06-06T17:08:28.898707+00:00
pseb.org.pk,PSEB,government,7613,152605,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",2026-06-06T17:08:28.898939+00:00
bisp.gov.pk,BISP,government,60223,23674,104.21.43.243;172.67.190.163,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:32.241994+00:00
bisp.gov.pk,BISP,government,62224,38193,104.21.43.243;172.67.190.163;188.114.96.6;188.114.97.6,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:32.242352+00:00
bisp.gov.pk,BISP,government,7613,152605,188.114.96.6;188.114.96.7;188.114.97.6;188.114.97.7,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:34.484981+00:00
moitt.gov.pk,Ministry of IT,government,60223,23674,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:37.745400+00:00
moitt.gov.pk,Ministry of IT,government,62224,38193,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:37.745708+00:00
moitt.gov.pk,Ministry of IT,government,7613,152605,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:37.745937+00:00
pbs.gov.pk,Pakistan Bureau of Statistics,government,60223,23674,113.197.54.86,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:08:41.041692+00:00
pbs.gov.pk,Pakistan Bureau of Statistics,government,62224,38193,113.197.54.86,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:08:41.041929+00:00
pbs.gov.pk,Pakistan Bureau of Statistics,government,7613,152605,113.197.54.86,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",2026-06-06T17:08:41.042100+00:00
railways.gov.pk,Pakistan Railways,government,60223,23674,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:42.212520+00:00
railways.gov.pk,Pakistan Railways,government,62224,38193,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:42.212717+00:00
railways.gov.pk,Pakistan Railways,government,7613,152605,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",2026-06-06T17:08:42.212888+00:00
pid.gov.pk,Press Information Dept,government,60223,23674,203.124.45.87,7590,"COMSATS - Commission on Science and Technology for, PK",2026-06-06T17:08:47.670375+00:00
pid.gov.pk,Press Information Dept,government,62224,38193,203.124.45.87,7590,"COMSATS - Commission on Science and Technology for, PK",2026-06-06T17:08:47.670702+00:00
pid.gov.pk,Press Information Dept,government,7613,152605,203.124.45.87,7590,"COMSATS - Commission on Science and Technology for, PK",2026-06-06T17:08:47.670935+00:00
nltpk.gov.pk,NLT,government,60223,23674,,,,2026-06-06T17:08:48.625185+00:00
nltpk.gov.pk,NLT,government,62224,38193,,,,2026-06-06T17:08:48.625515+00:00
nltpk.gov.pk,NLT,government,7613,152605,,,,2026-06-06T17:08:48.625821+00:00
nlc.com.pk,National Logistics Cell,government,60223,23674,104.26.6.113;104.26.7.113;172.67.71.233,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:52.108068+00:00
nlc.com.pk,National Logistics Cell,government,62224,38193,104.26.6.113;104.26.7.113;172.67.71.233,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:52.108484+00:00
nlc.com.pk,National Logistics Cell,government,7613,152605,104.26.6.113;104.26.7.113;172.67.71.233,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:08:52.108836+00:00
