Probe,Median RTT (ms),Loss (%),Median Hops
cybernet.khi,203.7,0.0,13.0
nayatel.isb,222.1,0.6,19.0
cybernet.hrp,218.5,0.2,14.0
zcom.lhe,217.8,0.2,15.0
nova.lhe,230.0,0.7,16.0
transworld.lhe,224.7,0.3,
ptcl.lhe,226.7,75.5,3.0
ptcl.khi,212.1,0.2,15.0
