hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
faysal.com,Faysal Bank,banking,60223,23674,205.178.189.131,19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US",2026-06-06T17:40:26.132236+00:00
faysal.com,Faysal Bank,banking,62224,38193,205.178.189.131,19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US",2026-06-06T17:40:26.132810+00:00
faysal.com,Faysal Bank,banking,7613,152605,205.178.189.131,19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US",2026-06-06T17:40:26.133841+00:00
habibmetro.com,Habib Metro,banking,60223,23674,52.128.23.26,19324,"DOSARREST - Dosarrest Internet Security LTD, US",2026-06-06T17:40:31.808236+00:00
habibmetro.com,Habib Metro,banking,62224,38193,52.128.23.26,19324,"DOSARREST - Dosarrest Internet Security LTD, US",2026-06-06T17:40:31.808622+00:00
habibmetro.com,Habib Metro,banking,7613,152605,52.128.23.26,19324,"DOSARREST - Dosarrest Internet Security LTD, US",2026-06-06T17:40:31.808866+00:00
daraz.pk,Daraz,ecommerce,60223,23674,47.246.167.152;47.246.167.168;47.246.174.148;47.246.174.23,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",2026-06-06T17:40:37.239814+00:00
daraz.pk,Daraz,ecommerce,62224,38193,47.246.167.152;47.246.167.168;47.246.174.148;47.246.174.23,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",2026-06-06T17:40:37.240791+00:00
daraz.pk,Daraz,ecommerce,7613,152605,47.246.167.152;47.246.167.168;47.246.174.148;47.246.174.23,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",2026-06-06T17:40:37.241549+00:00
olx.com.pk,OLX Pakistan,ecommerce,60223,23674,108.139.86.12;108.139.86.16;108.139.86.61;108.139.86.68,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:40:40.636046+00:00
olx.com.pk,OLX Pakistan,ecommerce,62224,38193,13.35.202.103;13.35.202.114;13.35.202.12;13.35.202.89,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:40:42.881358+00:00
olx.com.pk,OLX Pakistan,ecommerce,7613,152605,13.224.163.14;13.224.163.34;13.224.163.55;13.224.163.97;13.35.202.103;13.35.202.114;13.35.202.12;13.35.202.89,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:40:45.173620+00:00
pakwheels.com,PakWheels,ecommerce,60223,23674,104.26.6.233;104.26.7.233;172.67.72.209,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:48.605559+00:00
pakwheels.com,PakWheels,ecommerce,62224,38193,104.26.6.233;104.26.7.233;172.67.72.209,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:48.606594+00:00
pakwheels.com,PakWheels,ecommerce,7613,152605,104.26.6.233;104.26.7.233;172.67.72.209,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:48.607618+00:00
priceoye.pk,PriceOye,ecommerce,60223,23674,104.20.35.152;172.66.148.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:51.878417+00:00
priceoye.pk,PriceOye,ecommerce,62224,38193,104.20.35.152;172.66.148.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:51.878790+00:00
priceoye.pk,PriceOye,ecommerce,7613,152605,104.20.35.152;172.66.148.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:51.879080+00:00
shophive.com,ShopHive,ecommerce,60223,23674,104.26.10.152;104.26.11.152;172.67.73.72,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:55.393450+00:00
shophive.com,ShopHive,ecommerce,62224,38193,104.26.10.152;104.26.11.152;172.67.73.72,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:55.394546+00:00
shophive.com,ShopHive,ecommerce,7613,152605,104.26.10.152;104.26.11.152;172.67.73.72,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:40:55.395397+00:00
symbios.pk,Symbios,ecommerce,60223,23674,69.167.171.64,32244,"LIQUIDWEB - Liquid Web, L.L.C, US",2026-06-06T17:41:01.106321+00:00
symbios.pk,Symbios,ecommerce,62224,38193,69.167.171.64,32244,"LIQUIDWEB - Liquid Web, L.L.C, US",2026-06-06T17:41:01.106902+00:00
symbios.pk,Symbios,ecommerce,7613,152605,69.167.171.64,32244,"LIQUIDWEB - Liquid Web, L.L.C, US",2026-06-06T17:41:01.107256+00:00
goto.com.pk,GoTo,ecommerce,60223,23674,116.0.44.219,55340,"TELECARD-AS-AP - Telecard Limited, PK",2026-06-06T17:41:06.885970+00:00
goto.com.pk,GoTo,ecommerce,62224,38193,116.0.44.219,55340,"TELECARD-AS-AP - Telecard Limited, PK",2026-06-06T17:41:06.886214+00:00
goto.com.pk,GoTo,ecommerce,7613,152605,116.0.44.219,55340,"TELECARD-AS-AP - Telecard Limited, PK",2026-06-06T17:41:06.886386+00:00
telemart.pk,Telemart,ecommerce,60223,23674,104.21.65.247;172.67.195.207,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:41:10.278367+00:00
telemart.pk,Telemart,ecommerce,62224,38193,104.21.65.247;172.67.195.207,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:41:10.278805+00:00
telemart.pk,Telemart,ecommerce,7613,152605,104.21.65.247;172.67.195.207,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:41:10.279165+00:00
