rank,domain,ahrefs_category,ip,asn,country,as_name,infra_type
56,pcb.com.pk,Sports,172.67.69.134,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
57,spotify.com,Entertainment,35.186.224.24,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
58,weather.com,Science,173.222.146.176,16625,US,"AKAMAI-AS - Akamai Technologies, Inc., US",CDN
59,samsung.com,Computers & Electronics,211.45.27.231,6619,KR,"SAMSUNGSDS-AS-KR-KR - SamsungSDS Inc., KR",Abroad
60,amazon.com,Shopping,98.87.170.74,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
61,remove.bg,Computers & Electronics,104.18.34.156,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
62,fdown.net,Internet & Telecom,104.26.7.202,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
63,clevelandclinic.org,Health,104.18.32.216,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
64,vidmateapp.com,Internet & Telecom,161.117.94.213,45102,SG,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",Abroad
65,sarmaaya.pk,Shopping,104.26.8.60,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
66,pexels.com,Entertainment,104.18.67.220,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
67,poki.com,Games,104.18.144.9,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
68,weather.gov.pk,Reference,188.114.96.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
69,shutterstock.com,Entertainment,99.83.219.164,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
70,hdhub4u.med,Reference,,,,,resolve-failed
71,sonypictures.com,Entertainment,2.18.130.86,16625,NL,"AKAMAI-AS - Akamai Technologies, Inc., US",CDN
72,fbr.gov.pk,Law & Government,103.125.60.60,138424,PK,"FBR-AS-AP - Federal Board of Revenue, PK",Pakistani
73,dictionary.com,Reference,172.64.145.130,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
74,tradingview.com,Finance,18.64.141.115,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
75,wise.com,Finance,172.64.148.140,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
76,healthwire.pk,Health,104.21.28.189,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
77,psx.com.pk,Finance,52.128.23.16,19324,US,"DOSARREST - Dosarrest Internet Security LTD, US",Abroad
78,magnific.com,Reference,23.210.250.123,20940,US,"AKAMAI-ASN1 - Akamai International B.V., NL",CDN
79,cricketworld.com,Sports,104.26.11.219,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
80,propakistani.pk,Internet & Telecom,104.26.12.229,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
81,nih.gov,Health,156.40.212.210,3527,US,"NIH-NET - National Institutes of Health, US",Abroad
82,zameen.com,Real Estate,54.171.88.82,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
83,crazygames.com,Games,104.17.122.62,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
84,wiley.com,Jobs & Education,44.214.121.213,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
85,fiverr.com,Jobs & Education,104.18.113.47,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
86,leopardscourier.com,Business & Industrial,119.8.174.171,136907,SG,"HWCLOUDS-AS-AP - HUAWEI CLOUDS, HK",Abroad
87,zellbury.com,Shopping,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
88,router-network.com,Internet & Telecom,104.18.16.91,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
89,biselahore.com,Jobs & Education,104.21.61.15,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
90,dawaai.pk,Health,35.233.79.206,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
91,themoviebox.xyz,Reference,18.161.97.78,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
92,mayoclinic.org,Health,129.176.1.88,7973,US,"MAYO - Mayo Foundation for Medical Education and Research, US",Abroad
93,yahoo.com,News,98.137.11.163,36647,US,"YAHOO-GQ1 - Yahoo Holdings Inc., US",Abroad
94,vivo.com,Computers & Electronics,156.59.238.29,21859,SG,"ZEN-ECN - Zenlayer Inc, US",Abroad
95,espncricinfo.com,Sports,13.213.108.63,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
96,foodpanda.pk,Food & Drink,172.64.154.226,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
97,kfcpakistan.com,Food & Drink,47.130.184.200,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
98,dawateislami.net,People & Society,18.220.69.190,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
99,temp-mail.org,Internet & Telecom,104.26.7.95,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
100,indeed.com,Jobs & Education,162.159.129.67,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
