website,hosting,isp_cdn,rank,cisa_sector
gudgk.edu.pk,CDN,Cloudflare,140103,Education
iba.edu.pk,CDN,Sucuri,148651,Education
uet.edu.pk,CDN,Cloudflare,152048,Education
pieas.edu.pk,Pakistani,HEC,159734,Education
iqra.edu.pk,Pakistani,Iqra University,161571,Education
duhs.edu.pk,CDN,Microsoft/Azure,161933,Education
uaf.edu.pk,Pakistani,COMSATS,165073,Education
abasynisb.edu.pk,CDN,Cloudflare,171077,Education
gcuf.edu.pk,CDN,Microsoft/Azure,173561,Education
bisesahiwal.edu.pk,CDN,Cloudflare,174730,Education
gcu.edu.pk,CDN,Sucuri,177547,Education
hu.edu.pk,CDN,Cloudflare,189116,Education
uoh.edu.pk,Abroad,Hetzner Online GmbH (DE),192344,Education
bisefsd.edu.pk,CDN,Cloudflare,194735,Education
etea.edu.pk,Pakistani,Orient Express LDI Limited,201321,Education
paf-iast.edu.pk,CDN,Cloudflare,202760,Education
gift.edu.pk,CDN,AWS,203870,Education
bisesargodha.edu.pk,Pakistani,CMPak Limited,209947,Education
bisep.edu.pk,CDN,Cloudflare,213969,Education
cu.edu.pk,CDN,Cloudflare,214314,Education
iulms.edu.pk,Pakistani,Iqra University,215354,Education
kfueit.edu.pk,Pakistani,NTC LHR F-51/1 Dynamic BRAS,226455,Education
biselrk.edu.pk,Abroad,HOSTINGER MY (MY),227733,Education
numl.edu.pk,Pakistani,HEC,230948,Education
pectaa.edu.pk,Abroad,WHG Hosting Services Ltd (US),240660,Education
iiu.edu.pk,CDN,Cloudflare,278505,Education
bnu.edu.pk,Pakistani,NEXLINX,283995,Education
iub.edu.pk,Pakistani,HEC,294518,Education
fccollege.edu.pk,CDN,Cloudflare,319641,Education
bzu.edu.pk,Abroad,Hetzner Online GmbH (DE),320642,Education
ue.edu.pk,Abroad,Hetzner Online GmbH (FI),321654,Education
eduvision.edu.pk,CDN,Cloudflare,322437,Education
au.edu.pk,CDN,Cloudflare,332549,Education
hbs.edu.pk,Abroad,Enix Ltd (GB),338357,Education
giki.edu.pk,Pakistani,Pakistan Telecommuication company limited,339768,Education
uvas.edu.pk,Abroad,HOSTINGER (SG),340898,Education
uop.edu.pk,Pakistani,HEC,354886,Education
uettaxila.edu.pk,CDN,Cloudflare,374457,Education
kmu.edu.pk,CDN,Cloudflare,383180,Education
szabist.edu.pk,Pakistani,HEC,383813,Education
zu.edu.pk,CDN,Cloudflare,384473,Education
su.edu.pk,CDN,Cloudflare,385287,Education
ntu.edu.pk,CDN,Cloudflare,386442,Education
uok.edu.pk,Pakistani,National Telecommunication Corporation,395271,Education
uob.edu.pk,Abroad,,396959,Education
iobm.edu.pk,Abroad,HOSTINGER US (US),405086,Education
stmu.edu.pk,CDN,Cloudflare,422711,Education
alqadir.edu.pk,Abroad,Hetzner Online GmbH (DE),428046,Education
ric.edu.pk,CDN,Cloudflare,432461,Education
kinnaird.edu.pk,Abroad,netcup GmbH (DE),463415,Education
iba-suk.edu.pk,Pakistani,HEC,464344,Education
biek.edu.pk,Abroad,Contabo GmbH (FR),467438,Education
lcwu.edu.pk,Abroad,UK Dedicated Servers Limited (GB),476651,Education
fui.edu.pk,CDN,Cloudflare,478814,Education
iiui.edu.pk,Abroad,Namecheap  Inc. (US),505304,Education
ist.edu.pk,CDN,Cloudflare,505474,Education
itu.edu.pk,Abroad,HOSTINGER SG (SG),508028,Education
hamdard.edu.pk,Abroad,LiquidNet US LLC (US),509141,Education
qurtuba.edu.pk,Abroad,Hetzner Online GmbH (DE),517098,Education
lumhs.edu.pk,Abroad,GoDaddy.com  LLC (US),518333,Education
habib.edu.pk,CDN,AWS,520467,Education
bisedgkhan.edu.pk,Abroad,Tier.Net Technologies LLC (US),524798,Education
lgu.edu.pk,CDN,Cloudflare,532983,Education
szabist-isb.edu.pk,Pakistani,HEC,549506,Education
salu.edu.pk,Pakistani,HEC,550370,Education
duet.edu.pk,Abroad,Limestone Networks (US),555488,Education
ssuet.edu.pk,Abroad,FortressITX (DE),571139,Education
numspak.edu.pk,CDN,Cloudflare,571429,Education
juw.edu.pk,Abroad,TierPoint  LLC (US),575346,Education
thecityschool.edu.pk,CDN,Cloudflare,581704,Education
biseatd.edu.pk,Abroad,Namecheap  Inc. (US),599084,Education
uos.edu.pk,CDN,Cloudflare,602396,Education
csn.edu.pk,Pakistani,PTCL ITI Lahore 7,602541,Education
imsciences.edu.pk,CDN,Cloudflare,604227,Education
ndu.edu.pk,Pakistani,National Telecommunication Corporation,606704,Education
ibcc.edu.pk,CDN,Cloudflare,607569,Education
kiet.edu.pk,CDN,Cloudflare,607770,Education
bisebwp.edu.pk,Pakistani,Pakistan Telecommuication company limited,610540,Education
riphahfsd.edu.pk,Abroad,Host Europe GmbH (GB),611370,Education
awkum.edu.pk,CDN,Cloudflare,623496,Education
kpbte.edu.pk,Pakistani,LINKdotNET Telecom Limited,626004,Education
dsu.edu.pk,CDN,Google,630408,Education
pac.edu.pk,CDN,Cloudflare,634054,Education
bisekt.edu.pk,CDN,Cloudflare,634739,Education
isp.edu.pk,CDN,Cloudflare,635557,Education
kohat.edu.pk,Pakistani,HEC,635744,Education
beaconhouse.edu.pk,CDN,Cloudflare,654179,Education
tuf.edu.pk,CDN,Cloudflare,659605,Education
cuiatd.edu.pk,CDN,Cloudflare,662600,Education
seecs.edu.pk,Pakistani,HEC,664261,Education
bnbwu.edu.pk,CDN,Sucuri,666388,Education
lahoreschool.edu.pk,Abroad,Hetzner Online GmbH (DE),668284,Education
scholastic.edu.pk,Abroad,HOSTINGER (SG),672869,Education
isra.edu.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,714488,Education
bisemdn.edu.pk,Abroad,Hetzner Online GmbH (FI),723983,Education
giu.edu.pk,CDN,Cloudflare,730981,Education
nca.edu.pk,Abroad,HostDime.com  Inc. (US),731047,Education
mmi.edu.pk,Abroad,DigitalOcean  LLC (SG),732602,Education
ayubmed.edu.pk,Abroad,Liquid Web  L.L.C (US),733315,Education
must.edu.pk,CDN,Cloudflare,743812,Education
smiu.edu.pk,Abroad,HostGator.com LLC (US),744471,Education
beaconlightacademy.edu.pk,CDN,AWS,744510,Education
biserawalpindi.edu.pk,CDN,Cloudflare,746580,Education
rihs.edu.pk,Pakistani,LINKdotNET Telecom Limited,747851,Education
aror.edu.pk,CDN,Microsoft/Azure,760401,Education
aust.edu.pk,Pakistani,LINKdotNET Telecom Limited,761391,Education
baraniinstitute.edu.pk,CDN,Cloudflare,762721,Education
bgnu.edu.pk,Abroad,Hetzner Online GmbH (DE),764372,Education
bisedik.edu.pk,Abroad,Hetzner Online GmbH (DE),764991,Education
bisemalakand.edu.pk,Abroad,Hetzner Online AG (DE),764992,Education
bisess.edu.pk,Abroad,20i Limited (GB),764994,Education
brightvision.edu.pk,Abroad,Namecheap  Inc. (US),766470,Education
bsek.edu.pk,Abroad,Hetzner Online GmbH (DE),766662,Education
cuiwah.edu.pk,Pakistani,COMSATS,772668,Education
fuuast.edu.pk,CDN,Cloudflare,783415,Education
ilmauniversity.edu.pk,Abroad,org.interserver.net (US),790911,Education
jdihs.edu.pk,CDN,Cloudflare,793493,Education
kasbit.edu.pk,Abroad,GoDaddy.com  LLC (SG),795706,Education
lnh.edu.pk,Abroad,Contabo GmbH (FR),800517,Education
maju.edu.pk,Pakistani,Wateen Telecom Limited,802558,Education
millenniumschools.edu.pk,Pakistani,CIS Islamabad,805438,Education
ngss.edu.pk,Abroad,Hetzner Online GmbH (FI),810163,Education
pbte.edu.pk,Pakistani,Punjab Information Technology Board,814984,Education
pef.edu.pk,Pakistani,National Telecom Corporation,815174,Education
pgc.edu.pk,CDN,Cloudflare,815666,Education
pmei.edu.pk,Abroad,GoDaddy.com  LLC (US),817037,Education
pmfpunjab.edu.pk,Pakistani,Punjab Information Technology Board,817038,Education
quest.edu.pk,Pakistani,HEC,819761,Education
rills.edu.pk,Abroad,Hostinger MY (MY),821930,Education
rmur.edu.pk,Abroad,Hetzner Online GmbH (FI),822161,Education
szabmu.edu.pk,CDN,Cloudflare,831419,Education
ubas.edu.pk,CDN,Cloudflare,836811,Education
ucs.edu.pk,CDN,Cloudflare,836891,Education
unique.edu.pk,Abroad,GD MASS Network (FR),837637,Education
upr.edu.pk,Abroad,Oracle Corporation (US),837962,Education
zueb.edu.pk,CDN,Cloudflare,845698,Education
bims.edu.pk,Abroad,Hostinger International Limited (SG),870543,Education
case.edu.pk,Pakistani,COMSATS,871082,Education
dps.edu.pk,CDN,Cloudflare,872285,Education
sundarstem.edu.pk,Abroad,The Constant Company (SG),880980,Education
uchenab.edu.pk,Abroad,Hostinger International Limited (US),882033,Education
uetmardan.edu.pk,Abroad,GoDaddy.com  LLC (US),882058,Education
stbb.edu.pk,CDN,Cloudflare,884252,Education
tu.edu.pk,CDN,Cloudflare,921202,Education
fjwu.edu.pk,CDN,Cloudflare,926007,Education
kemu.edu.pk,Abroad,Hostinger International Limited (SG),955028,Education
uo.edu.pk,CDN,AWS,979372,Education
pct.edu.pk,CDN,Cloudflare,982944,Education
google.com.pk,CDN,Google,3963,Commercial Facilities
ogomovies1.com.pk,CDN,Cloudflare,10087,Commercial Facilities
olx.com.pk,CDN,AWS CloudFront,14547,Commercial Facilities
watch-movies.com.pk,CDN,Cloudflare,22080,Commercial Facilities
psx.com.pk,Abroad,Dosarrest Internet Security LTD (US),62082,Commercial Facilities
host.com.pk,Abroad,Oracle Corporation (US),64504,Commercial Facilities
tes.com.pk,CDN,Cloudflare,75628,Commercial Facilities
express.com.pk,CDN,Cloudflare,77218,Commercial Facilities
borjan.com.pk,CDN,Cloudflare,86723,Commercial Facilities
batik.com.pk,CDN,Cloudflare,88769,Commercial Facilities
missrose.com.pk,CDN,Cloudflare,89907,Commercial Facilities
capcutapkdownload.com.pk,Abroad,PUSHPKT OU (EE),90451,Commercial Facilities
almirah.com.pk,CDN,Cloudflare,90509,Commercial Facilities
zarr.com.pk,CDN,Cloudflare,93345,Commercial Facilities
castleapk.com.pk,Abroad,PUSHPKT OU (NL),93989,Commercial Facilities
cll.com.pk,Pakistani,NEXLINX,94036,Healthcare & Public Health
maxfun.com.pk,Abroad,,94860,Commercial Facilities
hushpuppies.com.pk,CDN,Cloudflare,96908,Commercial Facilities
app.com.pk,CDN,Cloudflare,97113,Commercial Facilities
simosa.com.pk,CDN,Cloudflare,98794,Commercial Facilities
plinko.com.pk,CDN,Cloudflare,119140,Commercial Facilities
ubuy.com.pk,CDN,Cloudflare,134881,Commercial Facilities
ypel.com.pk,CDN,Cloudflare,150492,Commercial Facilities
nbp.com.pk,CDN,Cloudflare,156541,Commercial Facilities
logon.com.pk,Pakistani,Logon Broadband Pvt. Limited,158595,Commercial Facilities
pcb.com.pk,CDN,Cloudflare,170868,Commercial Facilities
kkn.com.pk,Pakistani,AMBITIONS COMMUNICATION SYSTEM (SMC-PRIVATE) LIMITED,171971,Commercial Facilities
japanelectronics.com.pk,CDN,Cloudflare,172779,Commercial Facilities
springs.com.pk,CDN,Cloudflare,180453,Commercial Facilities
royaltag.com.pk,CDN,Cloudflare,185074,Commercial Facilities
mepco-it.com.pk,Pakistani,PITC,193482,Commercial Facilities
shell.com.pk,CDN,Microsoft/Azure,193651,Commercial Facilities
rollover.com.pk,CDN,Cloudflare,194978,Commercial Facilities
atlashonda.com.pk,CDN,Sucuri,197220,Commercial Facilities
herbiotics.com.pk,CDN,Cloudflare,198970,Commercial Facilities
miniclub.com.pk,CDN,Cloudflare,199693,Commercial Facilities
calza.com.pk,CDN,Cloudflare,209617,Commercial Facilities
alahmar.com.pk,Abroad,Hostinger International Limited (US),213640,Commercial Facilities
cocobee.com.pk,CDN,Cloudflare,214197,Commercial Facilities
dakkhana.com.pk,Pakistani,Nayatel (Pvt) Ltd,214362,Commercial Facilities
gepcoerp.com.pk,Pakistani,Pakistan Telecommuication company limited,214973,Commercial Facilities
hrd1902.com.pk,Pakistani,HEC,215205,Commercial Facilities
mgacs.com.pk,Pakistani,Connect Communication,215983,Commercial Facilities
moltyfoam.com.pk,CDN,Cloudflare,216060,Commercial Facilities
ourelitehealth.com.pk,CDN,Cloudflare,216421,Healthcare & Public Health
apkjackpot.com.pk,Abroad,Namecheap  Inc. (US),227628,Commercial Facilities
castleapp.com.pk,CDN,Cloudflare,227792,Commercial Facilities
datacorporation.com.pk,CDN,Cloudflare,227884,Commercial Facilities
ipaddress.com.pk,CDN,Cloudflare,232717,Commercial Facilities
mostbet.com.pk,CDN,AWS,248678,Commercial Facilities
kknetworks.com.pk,Pakistani,KK Networks (Pvt) Ltd.,252690,Commercial Facilities
shopatshams.com.pk,CDN,Cloudflare,263604,Commercial Facilities
jazzesl.com.pk,Pakistani,Nayatel (Pvt) Ltd,277572,Commercial Facilities
nawaiwaqt.com.pk,Abroad,Hetzner Online GmbH (FI),294028,Commercial Facilities
generations.com.pk,CDN,Cloudflare,307694,Commercial Facilities
twinkl.com.pk,CDN,Imperva/Incapsula,324877,Commercial Facilities
zcomnetworks.com.pk,Pakistani,Z COM NETWORKS,326580,Commercial Facilities
armored.com.pk,Abroad,UK Dedicated Servers Limited (GB),347924,Commercial Facilities
minutemirror.com.pk,CDN,Cloudflare,350039,Commercial Facilities
hblibank.com.pk,CDN,Imperva/Incapsula,354625,Commercial Facilities
rawayat.com.pk,CDN,Cloudflare,356521,Commercial Facilities
elb.com.pk,Pakistani,Z COM NETWORKS,371462,Commercial Facilities
apkshoot.com.pk,CDN,Cloudflare,372065,Commercial Facilities
phoneworld.com.pk,CDN,Cloudflare,373441,Commercial Facilities
youtube.com.pk,CDN,Google,383314,Commercial Facilities
connectel.com.pk,Abroad,OVH SAS (US),393449,Commercial Facilities
alfatah.com.pk,Abroad,Hostinger International Limited (ID),395212,Commercial Facilities
readings.com.pk,CDN,AWS CloudFront,400219,Commercial Facilities
tgtstore.com.pk,CDN,Cloudflare,410687,Commercial Facilities
oup.com.pk,Abroad,Hetzner Online GmbH (FI),428926,Commercial Facilities
apkshoots.com.pk,CDN,Cloudflare,432686,Commercial Facilities
home360.com.pk,CDN,Cloudflare,445673,Commercial Facilities
homenet.com.pk,Abroad,OVH SAS (AU),448896,Commercial Facilities
sngpl.com.pk,Pakistani,Wateen Telecom Limited,450507,Commercial Facilities
honda.com.pk,CDN,Cloudflare,465788,Commercial Facilities
dailyaaj.com.pk,CDN,Cloudflare,467050,Commercial Facilities
babiesworld.com.pk,CDN,Cloudflare,472401,Commercial Facilities
onic.com.pk,CDN,Cloudflare,475445,Commercial Facilities
thesiswritinghelp.com.pk,Abroad,Hostinger International Limited (GB),485009,Commercial Facilities
medicalstore.com.pk,CDN,Cloudflare,496446,Healthcare & Public Health
dogar.com.pk,CDN,Cloudflare,503389,Commercial Facilities
dnd.com.pk,CDN,Cloudflare,525890,Commercial Facilities
charaghdinrice.com.pk,Abroad,Hetzner Online GmbH (DE),526719,Commercial Facilities
ptv.com.pk,CDN,Cloudflare,533233,Commercial Facilities
opendata.com.pk,CDN,AWS,541449,Commercial Facilities
islamabadairport.com.pk,Pakistani,Pakistan Telecommuication company limited,542722,Commercial Facilities
max.com.pk,Abroad,Hostinger International Limited (GB),545852,Commercial Facilities
brandedcutpieces.com.pk,CDN,Cloudflare,546547,Commercial Facilities
pgf.com.pk,Abroad,SoftLayer (US),549696,Commercial Facilities
fasttel.com.pk,Abroad,Namecheap  Inc. (US),552423,Commercial Facilities
extremesportswear.com.pk,Abroad,Namecheap  Inc. (US),554462,Commercial Facilities
qeemat.com.pk,CDN,Cloudflare,557463,Commercial Facilities
sundaybazar.com.pk,CDN,Cloudflare,560694,Commercial Facilities
vs.com.pk,CDN,Cloudflare,560714,Commercial Facilities
almumtaz.com.pk,CDN,Cloudflare,560917,Commercial Facilities
accountancy.com.pk,CDN,Cloudflare,562423,Commercial Facilities
mgmotors.com.pk,Abroad,Hetzner Online GmbH (DE),564516,Commercial Facilities
pakhome.com.pk,Abroad,FranTech Solutions (LU),566282,Commercial Facilities
albaraka.com.pk,CDN,Sucuri,566495,Commercial Facilities
essentia.com.pk,CDN,Cloudflare,582099,Commercial Facilities
philips.com.pk,CDN,Cloudflare,584302,Commercial Facilities
lahoreairport.com.pk,Pakistani,Pakistan Telecommuication company limited,588109,Commercial Facilities
metroshoes.com.pk,Pakistani,COMSATS,592654,Commercial Facilities
tanabana.com.pk,CDN,Cloudflare,593439,Commercial Facilities
monark.com.pk,CDN,Cloudflare,593842,Commercial Facilities
broadwaypizza.com.pk,CDN,AWS,596636,Commercial Facilities
shifa.com.pk,CDN,Cloudflare,597497,Healthcare & Public Health
safrinskincare.com.pk,CDN,Cloudflare,597987,Commercial Facilities
thehijabeez.com.pk,CDN,Cloudflare,598249,Commercial Facilities
lifestyle-collection.com.pk,CDN,Cloudflare,599957,Commercial Facilities
nlc.com.pk,CDN,Cloudflare,600016,Commercial Facilities
ijc.com.pk,Abroad,WEBSITEWELCOME.COM (US),603101,Commercial Facilities
callcourier.com.pk,Pakistani,Gerrys Information Technology (PVT) Ltd,613351,Commercial Facilities
list.com.pk,CDN,Cloudflare,613780,Commercial Facilities
ffc.com.pk,CDN,Cloudflare,615451,Commercial Facilities
dominos.com.pk,CDN,AWS,616528,Commercial Facilities
laptab.com.pk,Abroad,Hostinger International Limited (LT),618850,Commercial Facilities
hianime.com.pk,CDN,Cloudflare,620065,Commercial Facilities
gotest.com.pk,CDN,Cloudflare,625335,Commercial Facilities
skmei.com.pk,CDN,Cloudflare,629601,Commercial Facilities
trovit.com.pk,Abroad,COLT Technology Services Group Limited (ES),629621,Commercial Facilities
ppl.com.pk,CDN,AWS,629900,Commercial Facilities
apricot.com.pk,CDN,Cloudflare,633903,Commercial Facilities
goldenpearl.com.pk,CDN,Cloudflare,634018,Commercial Facilities
dex.com.pk,Abroad,Alibaba (US) Technology Co.  Ltd. (SG),635026,Commercial Facilities
glaxydollars.com.pk,Abroad,WHG Hosting Services Ltd (US),635311,Commercial Facilities
okla.com.pk,Abroad,GoDaddy.com  LLC (US),636183,Commercial Facilities
qalamkar.com.pk,CDN,Cloudflare,636402,Commercial Facilities
recruitments.com.pk,CDN,Cloudflare,636451,Commercial Facilities
sapphirestudio.com.pk,CDN,Cloudflare,636545,Commercial Facilities
mns.com.pk,CDN,Cloudflare,641679,Commercial Facilities
watchprice.com.pk,Abroad,Ultahost  Inc. (NL),659099,Commercial Facilities
tulips.com.pk,CDN,Cloudflare,662978,Commercial Facilities
powerhouseexpress.com.pk,CDN,Cloudflare,663507,Commercial Facilities
mustaqbel.com.pk,Abroad,Oracle Corporation (US),667207,Commercial Facilities
boe.com.pk,CDN,Cloudflare,668005,Commercial Facilities
pagalworld.com.pk,CDN,Cloudflare,668116,Commercial Facilities
skygames.com.pk,CDN,Cloudflare,668153,Commercial Facilities
miraalrestaurant.com.pk,CDN,Cloudflare,679331,Commercial Facilities
hub.com.pk,CDN,Cloudflare,679587,Commercial Facilities
wbm.com.pk,CDN,Cloudflare,684068,Commercial Facilities
paradigmshift.com.pk,CDN,Cloudflare,689557,Commercial Facilities
nuinternet.com.pk,Abroad,OVH SAS (GB),691854,Commercial Facilities
purchaser.com.pk,CDN,Cloudflare,693467,Commercial Facilities
flickbizz.com.pk,Pakistani,INNOKAT (PVT.) LIMITED,697482,Commercial Facilities
charcoal.com.pk,CDN,Cloudflare,698797,Commercial Facilities
cssprep.com.pk,CDN,Cloudflare,703951,Commercial Facilities
cdcaccess.com.pk,CDN,Cloudflare,705545,Commercial Facilities
hustlenholla.com.pk,CDN,Cloudflare,705722,Commercial Facilities
bankislami.com.pk,CDN,Cloudflare,709290,Commercial Facilities
humsub.com.pk,CDN,Cloudflare,716145,Commercial Facilities
islamabadpost.com.pk,CDN,Cloudflare,729886,Commercial Facilities
hostpro.com.pk,Abroad,WHG Hosting Services Ltd (SG),733597,Commercial Facilities
ubl.com.pk,Pakistani,Linkdotnet Telecom Limited,739787,Commercial Facilities
pk365.com.pk,Abroad,Namecheap  Inc. (HK),746392,Commercial Facilities
friendscables.com.pk,Abroad,Hostinger International Limited (LT),747643,Commercial Facilities
wisemarket.com.pk,CDN,AWS,749280,Commercial Facilities
multipec.com.pk,Abroad,Interserver  Inc (US),749574,Commercial Facilities
0gomovies.com.pk,CDN,Cloudflare,751194,Commercial Facilities
123movies.com.pk,Abroad,IP Connect Inc (NL),751503,Commercial Facilities
3pattibonuszone.com.pk,CDN,Cloudflare,752835,Commercial Facilities
3pattigoldgame.com.pk,Abroad,OVH SAS (DE),752838,Commercial Facilities
666-wgame.com.pk,Abroad,Namecheap  Inc. (US),753779,Commercial Facilities
6666d.com.pk,Abroad,OVH SAS (CA),753781,Commercial Facilities
666p.com.pk,Abroad,Namecheap (US),753807,Commercial Facilities
777-ad.com.pk,Abroad,OVH SAS (FR),754285,Commercial Facilities
777cx.com.pk,Abroad,OVH SAS (PL),754333,Commercial Facilities
92pkr.com.pk,Abroad,Namecheap  Inc. (US),755507,Commercial Facilities
999.com.pk,CDN,Cloudflare,755655,Commercial Facilities
aaenterprises.com.pk,Abroad,Namecheap  Inc. (US),756168,Commercial Facilities
adore.com.pk,CDN,Cloudflare,756953,Commercial Facilities
ajtraders.com.pk,CDN,Cloudflare,757728,Commercial Facilities
alaqsa.com.pk,Abroad,WHG Hosting Services Ltd (US),757961,Commercial Facilities
allpkrgames.com.pk,CDN,Cloudflare,758325,Commercial Facilities
aof.com.pk,Abroad,1515 ROUNDTABLE DR PROPERTY  LLC (US),759552,Commercial Facilities
apkamazon.com.pk,CDN,Cloudflare,759681,Commercial Facilities
apkcheers.com.pk,Abroad,OVH SAS (FR),759687,Commercial Facilities
apkearn.com.pk,Abroad,Namecheap  Inc. (US),759691,Commercial Facilities
apkjeeto.com.pk,Abroad,Namecheap (US),759703,Commercial Facilities
applepakistan.com.pk,Abroad,Namecheap  Inc. (US),759875,Commercial Facilities
ar999.com.pk,Abroad,Namecheap  Inc. (US),760063,Commercial Facilities
asktech.com.pk,Pakistani,Nayatel (Pvt) Ltd,760758,Commercial Facilities
baroque.com.pk,CDN,Cloudflare,762787,Commercial Facilities
bet939app.com.pk,CDN,Cloudflare,764024,Commercial Facilities
bioaqua.com.pk,CDN,Cloudflare,764875,Commercial Facilities
booksvilla.com.pk,CDN,Cloudflare,765917,Commercial Facilities
burgeroclock.com.pk,CDN,Cloudflare,766936,Commercial Facilities
butterfly.com.pk,CDN,Cloudflare,767045,Commercial Facilities
californiapizza.com.pk,CDN,Cloudflare,767502,Commercial Facilities
cartonhouse.com.pk,Abroad,HOSTINGER (SG),768104,Commercial Facilities
chemistry.com.pk,CDN,Cloudflare,769315,Commercial Facilities
crimson.com.pk,CDN,Cloudflare,772307,Commercial Facilities
currenwatches.com.pk,CDN,Cloudflare,772751,Commercial Facilities
dcode.com.pk,CDN,Microsoft/Azure,773696,Commercial Facilities
dhaga.com.pk,CDN,Cloudflare,774502,Commercial Facilities
dhanak.com.pk,CDN,Cloudflare,774516,Commercial Facilities
dreamnet.com.pk,CDN,Cloudflare,776010,Commercial Facilities
durafoam.com.pk,CDN,Cloudflare,776401,Commercial Facilities
efashion.com.pk,CDN,Cloudflare,777697,Commercial Facilities
elegantyou.com.pk,CDN,Cloudflare,778126,Commercial Facilities
enc.com.pk,Pakistani,PITC,778620,Commercial Facilities
esspl.com.pk,CDN,Cloudflare,779441,Commercial Facilities
fantasygms.com.pk,CDN,Cloudflare,780696,Commercial Facilities
farahtalibaziz.com.pk,CDN,Cloudflare,780718,Commercial Facilities
fikrfree.com.pk,Abroad,Huawei International Pte. LTD (SG),781467,Commercial Facilities
forex.com.pk,CDN,Cloudflare,782486,Commercial Facilities
freshbasket.com.pk,CDN,Cloudflare,782916,Commercial Facilities
fullstop.com.pk,CDN,Cloudflare,783191,Commercial Facilities
g555app.com.pk,CDN,Cloudflare,783576,Commercial Facilities
gamenow.com.pk,Abroad,DigitalOcean  LLC (SG),783894,Commercial Facilities
gamestop.com.pk,CDN,Cloudflare,783943,Commercial Facilities
gdl.com.pk,Abroad,OVH SAS (CA),784356,Commercial Facilities
hajwarinetzone.com.pk,Abroad,WholeSale Internet (US),787455,Commercial Facilities
heritagejewels.com.pk,CDN,Cloudflare,788314,Commercial Facilities
highnoon.com.pk,Pakistani,Wateen Telecom Limited,788561,Commercial Facilities
hydrisupermarket.com.pk,CDN,Cloudflare,789971,Commercial Facilities
hyundaipower.com.pk,CDN,Cloudflare,790019,Commercial Facilities
iescoebill.com.pk,CDN,Cloudflare,790638,Commercial Facilities
imtiaz.com.pk,CDN,Akamai,791152,Commercial Facilities
iwc.com.pk,CDN,Cloudflare,792748,Commercial Facilities
jalalsons.com.pk,CDN,Google,793156,Commercial Facilities
joystickicelolly.com.pk,CDN,Cloudflare,794463,Commercial Facilities
jw8game.com.pk,Abroad,OVH SAS (DE),794922,Commercial Facilities
k666.com.pk,Abroad,Namecheap  Inc. (US),795097,Commercial Facilities
kaprang.com.pk,CDN,Cloudflare,795578,Commercial Facilities
kayseria.com.pk,CDN,Cloudflare,795838,Commercial Facilities
kb.com.pk,Pakistani,Pakistan Telecommuication company limited,795870,Commercial Facilities
kdramasmaza.com.pk,CDN,Cloudflare,795948,Commercial Facilities
keduplicatebill.com.pk,CDN,Cloudflare,795974,Commercial Facilities
kjunction.com.pk,CDN,Cloudflare,796972,Commercial Facilities
kk333.com.pk,Abroad,SpectraIP B.V. (NL),796980,Commercial Facilities
laservision.com.pk,Abroad,wix com inc (US),798967,Commercial Facilities
login.com.pk,CDN,Cloudflare,800651,Commercial Facilities
londonbridge.com.pk,CDN,Cloudflare,800838,Commercial Facilities
masoodstore.com.pk,CDN,Cloudflare,803351,Commercial Facilities
mcsol.com.pk,Abroad,Unlimited Web Hosting UK LTD (GB),803974,Commercial Facilities
mnptracking.com.pk,Abroad,Hetzner Online GmbH (DE),806144,Commercial Facilities
mocciani.com.pk,CDN,Cloudflare,806279,Commercial Facilities
mrstore.com.pk,CDN,Cloudflare,807303,Commercial Facilities
mulphilog.com.pk,Abroad,HostGator.com LLC (US),807583,Commercial Facilities
mygsm.com.pk,Abroad,Hostinger International Limited (LT),808271,Commercial Facilities
n999.com.pk,Abroad,Namecheap  Inc. (US),808844,Commercial Facilities
navigator.com.pk,Pakistani,GCS (Private) Limited,809352,Commercial Facilities
netmirror.com.pk,Abroad,Telkom Internet LTD (AZ),809775,Commercial Facilities
nexton.com.pk,CDN,Cloudflare,810076,Commercial Facilities
npcn.com.pk,Abroad,Interserver  Inc (US),811055,Commercial Facilities
onedegree.com.pk,CDN,Cloudflare,812450,Commercial Facilities
orient.com.pk,CDN,Cloudflare,813131,Commercial Facilities
oxford.com.pk,CDN,Cloudflare,813647,Commercial Facilities
pakarmy.com.pk,CDN,Cloudflare,814057,Commercial Facilities
paksuzuki.com.pk,CDN,Cloudflare,814096,Commercial Facilities
pbc.com.pk,Abroad,GoDaddy.com  LLC (SG),814968,Commercial Facilities
pel.com.pk,CDN,Cloudflare,815208,Commercial Facilities
pharmahealth.com.pk,CDN,Cloudflare,815821,Healthcare & Public Health
philipspersonalcare.com.pk,CDN,Cloudflare,815885,Commercial Facilities
pifraregistration.com.pk,Abroad,OVH SAS (CA),816154,Commercial Facilities
pizzamax.com.pk,Abroad,Unified Layer (US),816424,Commercial Facilities
pk8888.com.pk,Abroad,Namecheap  Inc. (US),816468,Commercial Facilities
pkapps.com.pk,Abroad,HOSTINGER (SG),816473,Commercial Facilities
pkrbet.com.pk,Abroad,OVH SAS (DE),816504,Commercial Facilities
postextracking.com.pk,Abroad,SpectraIP B.V. (NL),817757,Commercial Facilities
psosahulat.com.pk,Pakistani,Pakistan State Oil Company Limited,818854,Commercial Facilities
ptclspeed.com.pk,CDN,Cloudflare,818900,Commercial Facilities
