website,hosting,isp_cdn,rank,cisa_sector
customnews.pk,Abroad,InMotion Hosting  Inc. (US),,Commercial Facilities
24newshd.tv,Abroad,Hetzner Online GmbH (FI),254133,Commercial Facilities
timesofislamabad.com,CDN,Cloudflare,520870,Commercial Facilities
publicnews.com,Abroad,Hetzner Online GmbH (FI),,Commercial Facilities
pakistannews.net,CDN,AWS,,Commercial Facilities
neonews.pk,Abroad,Hetzner Online GmbH (FI),,Commercial Facilities
aiknewshd.tv,CDN,Cloudflare,,Commercial Facilities
lahorenews.tv,Abroad,Digital LLC (US),698360,Commercial Facilities
dialoguepakistan.com,CDN,Cloudflare,,Commercial Facilities
hq.com.pk,CDN,Cloudflare,,Commercial Facilities
thepakistan.pk,CDN,Cloudflare,,Commercial Facilities
soontimes.pk,Abroad,Hostinger International Limited (LT),,Commercial Facilities
daraz.pk,Abroad,Alibaba (US) Technology Co.  Ltd. (SG),5979,Commercial Facilities
naheed.pk,CDN,AWS,65746,Commercial Facilities
servis.pk,CDN,Cloudflare,88370,Commercial Facilities
libertybooks.com,CDN,Cloudflare,132098,Commercial Facilities
khazanay.pk,CDN,Cloudflare,175712,Commercial Facilities
samsung.com,Abroad,SamsungSDS Inc. (KR),94,Commercial Facilities
priceoye.pk,CDN,Cloudflare,9438,Commercial Facilities
whatmobile.com.pk,CDN,Cloudflare,21341,Commercial Facilities
saya.pk,CDN,Cloudflare,9371,Commercial Facilities
junaidjamshed.com,CDN,Cloudflare,10269,Commercial Facilities
zellbury.com,CDN,Cloudflare,9822,Commercial Facilities
edenrobe.com,CDN,Cloudflare,23017,Commercial Facilities
stylo.pk,CDN,Cloudflare,22137,Commercial Facilities
nishatlinen.com,CDN,Cloudflare,9973,Commercial Facilities
gulahmedshop.com,CDN,Cloudflare,63182,Commercial Facilities
outfitters.com.pk,CDN,Cloudflare,83839,Commercial Facilities
beechtree.pk,CDN,Cloudflare,21551,Commercial Facilities
nutrifactor.com.pk,CDN,Cloudflare,82477,Commercial Facilities
jenpharm.com,CDN,Cloudflare,86037,Commercial Facilities
exportleftovers.com,CDN,Cloudflare,66349,Commercial Facilities
dawlance.com.pk,Abroad,Vodafone Net Iletisim Hizmetleri A.S. (TR),86815,Commercial Facilities
sapphireonline.pk,Abroad,easyDNS Technologies  Inc. (CA),9831,Commercial Facilities
limelight.pk,CDN,Cloudflare,10615,Commercial Facilities
khaadi.com,CDN,AWS CloudFront,22433,Commercial Facilities
breakout.com.pk,CDN,Cloudflare,90736,Commercial Facilities
audionic.co,CDN,Cloudflare,88406,Commercial Facilities
ndure.com,CDN,Cloudflare,82535,Commercial Facilities
engine.com.pk,CDN,Cloudflare,87906,Commercial Facilities
bachaaparty.com,CDN,Cloudflare,60688,Commercial Facilities
mistore.pk,CDN,Cloudflare,80717,Commercial Facilities
crossstitch.pk,CDN,Cloudflare,84930,Commercial Facilities
alfatah.pk,CDN,Cloudflare,70640,Commercial Facilities
bonanzasatrangi.com,CDN,Cloudflare,74067,Commercial Facilities
czone.com.pk,CDN,Cloudflare,552131,Commercial Facilities
asimjofa.com,CDN,Cloudflare,83526,Commercial Facilities
metro-online.pk,Abroad,WHG Hosting Services Ltd (SG),556388,Commercial Facilities
bata.com.pk,CDN,Cloudflare,84915,Commercial Facilities
unze.com.pk,CDN,Cloudflare,87301,Commercial Facilities
chasevalue.pk,CDN,Cloudflare,76212,Commercial Facilities
paklap.pk,CDN,Cloudflare,178170,Commercial Facilities
alkaramstudio.com,CDN,Cloudflare,67384,Commercial Facilities
haier.com,Abroad,IDC  China Telecommunications Corporation (CN),26822,Commercial Facilities
shopecs.com,CDN,Cloudflare,85421,Commercial Facilities
zahcomputers.pk,CDN,Cloudflare,520826,Commercial Facilities
mariab.pk,CDN,Cloudflare,83520,Commercial Facilities
peekaboo.guru,CDN,Cloudflare,346563,Commercial Facilities
generation.com.pk,CDN,Cloudflare,198954,Commercial Facilities
alladin.pk,CDN,Cloudflare,209133,Commercial Facilities
alfamall.com,CDN,AWS,598079,Commercial Facilities
saeedghani.pk,CDN,Cloudflare,84648,Commercial Facilities
diners.com.pk,CDN,Cloudflare,91639,Commercial Facilities
eezepc.com,CDN,Cloudflare,423549,Commercial Facilities
