probe,probe_id,target_ip,target_label,min_rtt_ms,pie_found,pkix_found,measurement_id
Zcom Lahore,7613,43.132.69.1,ACE-CDN-1,0.6,False,False,190442451
Zcom Lahore,7613,43.132.69.2,ACE-CDN-2,0.3,False,False,190442457
Nova Lahore,1015679,43.132.69.1,ACE-CDN-1,1.9,False,False,190442479
Nova Lahore,1015679,43.132.69.2,ACE-CDN-2,2.0,False,False,190442497
Cybernet Hrp,1016036,43.132.69.1,ACE-CDN-1,1.1,False,False,190442517
Cybernet Hrp,1016036,43.132.69.2,ACE-CDN-2,1.1,False,False,190442538
Transworld Lhe,62224,43.132.69.1,ACE-CDN-1,0.5,False,False,190442553
Transworld Lhe,62224,43.132.69.2,ACE-CDN-2,0.9,False,False,190442567
PTCL Lahore,7764,43.132.69.1,ACE-CDN-1,0.8,False,False,190442580
PTCL Lahore,7764,43.132.69.2,ACE-CDN-2,0.6,False,False,190442591
PTCL Karachi,1016126,43.132.69.1,ACE-CDN-1,1.1,False,False,190442602
PTCL Karachi,1016126,43.132.69.2,ACE-CDN-2,1.1,False,False,190442609
Nayatel ISB,60223,43.132.69.1,ACE-CDN-1,1.3,False,False,190442614
Nayatel ISB,60223,43.132.69.2,ACE-CDN-2,0.9,False,False,190442627
