trace_id,trace_time,probe_id,site_id,probe_asn_measured,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
1,2026-06-11T09:14:30+00:00,1016036,5,9541,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,7,9541 > 9557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
2,2026-06-11T09:14:33+00:00,1016036,2,9541,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,211.471,13,1,9541 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
3,2026-06-11T09:15:49+00:00,1015679,3,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.773,12,0,6327 > 38193 > 6762 > 3257 > 30148,CA > PK > IT > US,"London, England, GB",handoff 87.119.92.2,True,179311300
4,2026-06-11T09:15:50+00:00,1016036,1,9541,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.794,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
5,2026-06-11T09:15:59+00:00,1016036,4,9541,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.496,7,1,9541 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
6,2026-06-11T09:16:07+00:00,60223,3,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,197.572,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,179311300
7,2026-06-11T09:16:10+00:00,62224,3,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,133.824,3,5,30148,US,,,True,179311300
8,2026-06-11T09:16:26+00:00,1015679,1,136174,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.828,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
9,2026-06-11T09:16:48+00:00,7613,2,152605,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,201.978,11,1,152605 > 38193 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
10,2026-06-11T09:17:05+00:00,7613,5,152605,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,6,152605 > 38193 > 17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
11,2026-06-11T09:17:05+00:00,1015679,5,136174,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,6,6327 > 38193 > 17557,CA > PK,"Islamabad, Islamabad, PK",server IP,False,179311305
12,2026-06-11T09:17:35+00:00,1015679,4,136174,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,37.651,8,0,6327 > 38193 > 9260,CA > PK,"Karachi, Sindh, PK",server IP,True,179311308
13,2026-06-11T09:17:44+00:00,1015679,2,136174,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,208.581,12,1,6327 > 38193 > 174 > 19551,CA > PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
14,2026-06-11T09:18:01+00:00,1016036,3,9541,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,138.379,12,1,9541 > 1299 > 20773 > 30148,PK > SE > DE > US,"Cologne, North Rhine-Westphalia, DE",handoff 87.230.126.3,True,179311300
15,2026-06-11T09:18:06+00:00,60223,5,23674,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,6,8,17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
16,2026-06-11T09:18:06+00:00,62224,5,38193,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,179311305
17,2026-06-11T09:18:33+00:00,7613,1,152605,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,1.575,6,0,152605 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
18,2026-06-11T09:19:02+00:00,62224,1,38193,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,7.191,3,5,9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
19,2026-06-11T09:19:06+00:00,60223,1,23674,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,39.178,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
20,2026-06-11T09:19:06+00:00,60223,4,23674,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.654,9,0,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
