trace_id,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout
8,1,192.168.100.1,0.294,,,,RFC1918,True,False
8,2,70.70.140.114,1.668,6327.0,70.70.140.0/22,CA,"SHAW - Shaw Communications, CA",False,False
8,3,110.93.212.161,2.126,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
8,4,110.93.197.229,2.644,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
8,5,202.142.160.201,2.558,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
8,6,125.209.73.226,2.758,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
8,7,202.142.167.148,2.828,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
33,1,192.168.100.1,0.307,,,,RFC1918,True,False
33,2,70.70.140.114,1.46,6327.0,70.70.140.0/22,CA,"SHAW - Shaw Communications, CA",False,False
33,3,110.93.212.161,2.096,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
33,4,110.93.197.229,2.772,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
33,5,202.142.160.201,2.476,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
33,6,125.209.73.226,2.949,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
33,7,202.142.167.148,2.824,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
58,1,192.168.100.1,0.303,,,,RFC1918,True,False
58,2,70.70.140.114,1.586,6327.0,70.70.140.0/22,CA,"SHAW - Shaw Communications, CA",False,False
58,3,110.93.212.161,2.138,38193.0,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
58,4,110.93.197.229,2.646,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
58,5,202.142.160.201,2.824,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
58,6,125.209.73.226,3.015,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
